carparkid,descriptio,source,gfa,type,amount,x,y
"0",The Quayside,Est,"139837",o,"584",840105.814,819684.895
"1",One Bay East,Official,"147965",o,"400",840139.173,819610.760
"2",NEO,Official,"86996",o,"382",840306.446,819448.387
"3",MG Tower,Est,"71018",o,"309",840441.239,819302.176
"4",Seaview Centre,Est,"21135",o,"109",840488.355,819257.439
"5",China Aerospace Centre,Est,"20231",o,"105",840492.424,819253.269
"6",D.J. Securities Building,Est,"15713",o,"87",840636.483,819069.368
"7",Kwun Tong Harbour Plaza,Est,"33044",o,"157",840830.145,818915.834
"8",Two Harbour Square,Est,"67077",o,"293",840833.450,818918.530
"9",Pioneer Place,Est,"27317",o,"134",840921.037,818914.571
"10",Westley Square,Est,"48298",o,"218",841083.442,818907.389
"11",ELI PARKING @Lemmi Centre,Est,"21194",o,"109",841077.795,818913.072
"12",Benson Tower,Est,"15299",o,"86",841113.161,818871.352
"13",Kras Asia Industrial Building,Est,"11992",i,"17",841154.532,818821.101
"14",ELI PARKING @Ray Centre,Est,"6326",o,"36",841198.164,818768.132
"15",EGL Tower,Est,"45323",o,"206",841188.180,818780.033
"16",Lu Plaza,Est,"62101",o,"273",841029.317,818651.347
"17",Lever Tech Centre,Est,"6437",o,"36",841432.816,818956.324
"18",Sunbeam Centre,Est,"61062",o,"269",841428.273,818961.834
"19",Shing Yip Industrial Building,Est,"39816",i,"58",841415.958,818976.436
"20",Cha Kwo Ling Road,Count,,o,"200",841610.477,818953.476
"21",Chung Mei Centre,Est,"27394",o,"134",841244.742,818920.554
"22",Camel Paint Building Block 3/Camel,Est,"47717",o,"215",841207.014,818966.146
"23",Glenplas Factory Building,Est,"13243",i,"19",841130.755,819004.467
"24",Hewlett Centre,Est,"52506",o,"235",841087.549,818968.472
"25",Aitken Vanson Centre Car Park,Est,"22909",o,"116",841190.746,819054.120
"26",Hoi Leun Industrial Centre,Est,"125230",i,"185",841137.444,819010.074
"27",Pang Kwong Building,Est,"5685",o,"32",841001.251,819001.908
"28",Nanyang Plaza,Est,"60201",o,"265",840985.973,819021.182
"29",COS Centre,Est,"91494",o,"390",840959.798,819130.772
"30",Capital Trade Centre,Est,"12047",o,"68",841025.754,819187.874
"31",South Asia Commercial Building,Est,"13974",o,"79",841049.342,819208.282
"32",Speedy Industrial Building,Est,"15104",i,"22",841168.276,819164.555
"33",Entreport Centre,Est,"14229",o,"81",841181.132,819149.124
"34",Futura Plaza,Official,"35762",o,"63",841144.316,819194.395
"35",Wing Cheung Industrial Building,Est,"9023",i,"13",841131.048,819210.285
"36",Fully Industrial Building,Est,"6877",i,"10",841111.324,819278.217
"37",Camel Paint Building Blocks 1 & 2/C,Est,"17518",o,"95",841228.887,819085.243
"38",Yen Sheng Centre,Est,"23477",o,"118",841308.816,819103.927
"39",Prosperity Place Car Park,Est,"18068",o,"97",841329.339,819079.404
"40",TG Place,Est,"47011",o,"213",841335.210,819072.538
"41",Kwun Tong Plaza,Est,"29518",o,"143",841312.879,819099.328
"42",Legend Tower,Est,"69658",o,"303",841339.187,819067.861
"43",apm,Official,"321206",o,"268",841242.479,819304.697
"44",One Pacific Centre,Est,"39341",o,"182",841185.569,819326.326
"45",Kwun Tong View,Est,"16511",o,"91",841168.957,819335.358
"46",Assun Pacific Centre,Est,"7941",o,"45",840839.656,819035.709
"47",Sitoy Tower,Est,"2936",o,"16",840748.414,819100.982
"48",China Trade Centre,Est,"11557",o,"66",840510.217,819360.000
"49",Pan Asia Centre,Est,"6846",o,"39",840493.829,819392.128
"50",Draco Industrial Building,Est,"6224",i,"9",840479.565,819482.410
"51",Bunhoi Group Centre,Est,"2446",o,"13",840261.389,819695.936
"52",International Trade Tower,Est,"96614",o,"411",840405.494,819502.564
"53",NO. 1 Hung To Road,Est,"94070",o,"401",840548.244,819467.720
"54",Kinox Centre,Est,"18427",o,"98",840567.502,819448.729
"55",Prosperity Center Car Park,Est,"37339",o,"174",840642.673,819459.380
"56",Millennium City 2 & 3,Est,"43967",o,"200",840696.347,819470.754
"57",Montery Plaza,Est,"16266",o,"90",840745.900,819420.228
"58",Fullerton Centre,Est,"15228",o,"85",840643.208,819379.710
"59",Infotech Centre,Est,"15696",o,"87",840660.388,819362.589
"60",Remington Centre,Est,"15414",o,"86",840686.881,819337.644
"61",Westin Centre,Est,"29984",o,"144",840662.331,819351.136
"62",Billion Trade Centre,Est,"15653",o,"87",840743.557,819277.277
"63",Wah Hung Centre,Est,"10822",o,"61",840809.035,819212.881
"64",Paul Y. Centre (Wilson Parking),Est,"21524",o,"111",840871.540,819151.324
"65",Millennium City 1 (Wilson Parking),Est,"188966",o,"780",840829.070,819361.039
"66",Millennium City 6 (Wilson Parking),Est,"93047",o,"397",840907.461,819328.776
"67",Landmark East Carpark,Official,"32673",o,"454",840945.644,819313.191
"68",How Ming Factory Building,Est,"22141",i,"32",841035.852,819277.515
"69",King Palace Plaza,Est,"42610",o,"196",841293.000,818804.877
"70",Manulife Financial Centre,Est,"106275",o,"451",841032.755,818786.357
