buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"0","1108238639",T,81.4,"27","38791",840413.613,819383.266
"1","1108239505",T,11.8,"3","169",841035.941,819220.772
"3","1108238871",T,14.9,"4","89",840965.907,819355.005
"8","1108241428",T,6.3,"2","576",841079.074,818625.568
"9","1108240773",T,28.5,"9","432",841110.302,818763.693
"10","1108241372",T,9.4,"3","1444",841041.233,818631.579
"11","1108237905",T,101.8,"33","67214",840568.481,819520.828
"12","1108238058",T,95.9,"31","34033",840720.329,819496.450
"13","1108237990",T,100.7,"33","23108",840674.745,819513.893
"14","1108240928",T,22.3,"7","1825",841090.402,818723.557
"16","1108240912",T,28.5,"9","432",841133.520,818735.840
"17","1108240528",T,120.7,"40","38389",841217.511,818806.937
"20","1108238161",T,42.2,"14","59901",840777.124,819450.823
"22","1108238875",T,14.2,"4","194",841017.436,819352.841
"23","1108241268",T,7.0,"2","624",841081.696,818655.759
"24","1109261408",T,20.4,"6","101",841374.820,819140.849
"25","1109261478",T,118.8,"39","73145",840834.118,819427.666
"26","1109261349",T,118.7,"39","72814",840894.144,819403.940
"27","1109261323",T,91.2,"30","41755",841353.183,819099.088
"28","1810083359",T,111.6,"37","35807",841288.047,818812.368
"29","1108238145",T,76.3,"25","11191",840625.276,819481.695
"30","1810070514",T,82.2,"27","58533",840440.547,819336.625
"31","1108238654",T,27.7,"9","13024",841007.971,819382.914
"32","1108238922",T,14.1,"4","48",841024.477,819347.018
"33","1108238967",T,28.9,"9","14882",841062.046,819310.188
"34","1810090338",T,80.8,"26","25164",840616.615,819366.905
"35","1108239862",T,43.0,"14","15713",840656.194,819095.016
"36","1108239268",T,191.5,"63","84355",841038.006,819249.779
"37","1108237677",T,8.4,"2","541",840194.021,819586.685
"38","1108237865",T,42.5,"14","13698",840480.769,819540.034
"39","1108239440",T,45.8,"15","6806",840708.367,819222.476
"41","1108240287",T,19.7,"6","6744",841013.477,818933.253
"42","1108240278",T,45.6,"15","27036",841204.605,818933.625
"43","1108240327",T,42.5,"14","25799",841367.551,818902.955
"44","1108240359",T,77.3,"25","48298",841044.316,818895.643
"45","1108240294",T,3.0,"1","13",841323.136,818952.551
"46","1108240301",T,22.6,"7","6437",841424.350,818930.336
"47","1108241177",T,5.3,"1","150",841086.504,818678.386
"48","1108238599",T,6.2,"2","122",840373.052,819410.337
"50","1108239543",T,3.0,"1","14",841296.885,819213.937
"51","1108239516",T,21.5,"7","112",841300.827,819221.780
"52","1108240411",T,47.1,"15","47847",841028.302,818835.704
"53","1108238638",T,3.5,"1","31",840366.339,819403.013
"54","1108239559",T,42.5,"14","40227",840649.318,819174.744
"55","1108239614",T,47.1,"15","13720",841119.705,819171.786
"56","1108240425",T,29.3,"9","8228",841161.705,818856.896
"57","1108240414",T,55.4,"18","16587",841073.458,818861.630
"58","1108239570",T,49.1,"16","15156",841107.950,819186.252
"59","1108239668",T,42.7,"14","11625",841130.810,819158.291
"60","1108239576",T,46.8,"15","20857",840587.535,819180.665
"61","1108239662",T,46.8,"15","46310",841424.088,819144.598
"62","1108239577",T,45.9,"15","32369",841384.019,819178.997
