sampleid,x,y
0,840664.373,819364.538
1,840659.453,819359.345
2,841124.177,818648.823
3,841103.203,818675.651
4,841137.011,818632.654
5,841130.987,818640.155
6,841098.516,818681.505
7,841118.674,818655.920
8,841112.303,818664.244
9,841106.975,818670.939
10,841127.358,818644.761
11,841095.122,818685.701
12,841087.196,818695.354
13,841091.389,818690.247
14,841115.602,818659.934
15,841198.811,819060.943
16,841221.629,819079.906
17,841179.260,819044.695
18,841194.301,819057.195
19,841170.667,819037.553
20,841230.714,819087.457
21,841188.078,819052.024
22,841165.957,819033.639
23,841216.138,819075.343
24,841211.496,819071.485
25,841157.885,819026.930
26,841183.864,819048.521
27,841202.939,819064.374
28,841207.433,819068.109
29,841175.358,819041.452
30,841161.906,819030.273
31,841226.614,819084.050
32,841106.139,818984.854
33,841122.041,818997.780
34,841096.519,818977.034
35,841144.143,819015.746
36,841056.082,818944.164
37,841114.151,818991.367
38,841063.224,818949.970
39,841091.183,818972.696
40,841152.627,819022.642
41,841135.023,819008.332
42,841072.696,818957.669
43,841126.945,819001.766
44,841101.103,818980.760
45,841079.480,818963.183
46,841085.386,818967.985
47,841139.691,819012.127
48,841156.777,819026.015
49,841110.199,818988.154
50,841067.635,818953.555
51,841148.128,819018.985
52,841118.085,818994.564
53,841131.091,819005.136
54,841091.228,818700.501
55,841108.251,818680.169
56,841117.197,818669.615
57,841123.162,818663.195
58,841112.674,818674.853
59,841101.559,818688.162
60,841127.199,818658.466
61,841097.050,818693.547
62,841104.970,818684.088
63,841087.641,818700.071
64,840702.291,819524.855
65,840657.442,819542.740
66,840748.310,819509.343
67,840717.191,819518.789
68,840739.228,819511.522
69,840729.163,819513.937
70,840687.950,819530.694
71,840667.314,819539.095
72,840680.318,819533.801
73,840694.382,819528.075
74,840724.438,819515.838
75,840712.023,819520.893
76,840673.325,819536.648
77,840734.240,819512.719
78,840662.277,819541.146
79,840651.006,819544.467
80,840707.316,819522.810
81,840612.651,819559.449
82,840592.462,819567.358
83,840633.639,819551.227
84,840598.569,819564.965
85,840639.720,819548.845
86,840619.647,819556.708
87,840607.617,819561.421
88,840626.162,819554.156
89,840586.024,819569.880
90,840649.070,819545.182
91,840581.055,819571.826
92,840644.399,819547.012
93,841237.299,819307.266
94,841285.072,819284.122
95,841298.917,819276.992
96,841267.896,819292.710
97,841226.079,819312.452
98,841259.557,819296.879
99,841290.259,819281.529
100,841218.294,819316.050
101,841274.228,819289.544
102,841307.206,819272.274
103,841253.503,819299.777
104,841231.848,819309.786
105,841243.853,819304.237
106,841279.455,819286.931
107,841248.525,819302.078
108,841201.965,819323.283
109,841190.407,819328.396
110,841212.466,819318.638
111,841217.219,819316.535
112,841206.870,819321.114
113,841195.744,819326.035
114,841181.634,819332.126
115,841163.256,819339.925
116,841168.455,819337.718
117,841173.075,819335.758
118,841156.631,819346.236
119,841186.447,819330.084
120,841081.182,818918.447
121,841076.413,818914.653
122,841186.150,819323.717
123,841184.194,819318.722
124,841182.169,819313.549
125,841188.281,819329.161
126,840990.480,818826.193
127,841001.451,818804.896
128,841012.281,818792.138
129,841022.263,818780.380
130,840987.421,818835.137
131,841018.069,818785.321
132,841005.180,818800.503
133,840997.657,818809.654
134,840993.176,818818.734
135,841026.054,818775.915
136,840985.795,818839.890
137,841008.548,818796.536
138,840995.331,818814.090
139,841077.028,818904.821
140,841073.254,818901.475
141,841187.732,818761.149
142,841193.982,818766.299
143,841031.584,818777.453
144,841037.694,818782.110
145,841027.518,818774.354
146,840874.731,819152.178
147,840879.193,819156.603
148,840882.788,819160.169
149,840679.715,819500.556
150,840684.890,819480.799
151,840682.058,819509.371
152,840694.662,819469.083
153,840651.331,819544.038
154,840688.927,819477.555
155,840682.528,819527.446
156,840667.349,819534.708
157,840677.307,819490.436
158,840672.743,819532.344
159,840657.574,819539.212
160,840683.384,819514.808
161,840684.968,819522.725
162,840677.387,819530.247
163,840680.513,819483.403
164,840662.609,819536.784
165,840692.046,819473.574
166,840678.309,819495.356
167,840834.908,819371.003
168,840831.841,819362.568
169,840911.000,819336.035
170,840914.510,819345.315
171,840909.008,819330.767
172,840853.915,819355.288
