sample_id,x,y,routeid,distance,accessibility
0,841139.037,818630.274,0,0,0.0058797604917301865
1,841135.796,818634.081,0,5,0.005892144979316301
2,841132.687,818637.997,0,10,0.005904457278664682
3,841129.593,818641.924,0,15,0.00591669722081149
4,841126.499,818645.852,0,20,0.005928864645186605
5,841123.423,818649.794,0,25,0.0059409593949523625
6,841120.355,818653.742,0,30,0.005953068811138288
7,841117.307,818657.706,0,35,0.005965165968840875
8,841114.268,818661.676,0,40,0.005977189979291534
9,841111.219,818665.639,0,45,0.005989140684924002
10,841108.094,818669.542,0,50,0.006001017925806188
11,841104.969,818673.445,0,55,0.00601282155306692
12,841101.844,818677.348,0,60,0.006024551413292924
13,841098.719,818681.251,0,65,0.006036207354021973
14,841095.598,818685.158,0,70,0.0060477892238210915
15,841092.487,818689.072,0,75,0.006059296872543193
16,841089.376,818692.987,0,80,0.0060707301496726995
17,841231.463,819088.08,1,0,0.005810884686339769
18,841227.618,819084.884,1,5,0.005294126560491741
19,841223.772,819081.688,1,10,0.005311537782937301
20,841219.927,819078.492,1,15,0.005328885303191028
21,841216.082,819075.297,1,20,0.005346168890704602
22,841212.236,819072.101,1,25,0.005363388316139709
23,841208.391,819068.905,1,30,0.005380543350255543
24,841204.546,819065.709,1,35,0.00539772244024891
25,841200.7,819062.513,1,40,0.0054148962360095355
26,841196.855,819059.318,1,45,0.005432004955274673
27,841193.009,819056.122,1,50,0.005449048370167398
28,841189.164,819052.926,1,55,0.005461011757429188
29,841185.319,819049.73,1,60,0.005477979707265453
30,841181.473,819046.534,1,65,0.005494881745890434
31,841177.628,819043.339,1,70,0.0055117176477215415
32,841173.783,819040.143,1,75,0.005528487187924818
33,841169.937,819036.947,1,80,0.005545190142379943
34,841166.092,819033.751,1,85,0.005561826287733859
35,841162.246,819030.555,1,90,0.005578395401568737
36,841158.401,819027.36,1,95,0.00559489726164656
37,841157.089,819026.269,2,0,0.005600511917460305
38,841153.209,819023.115,2,5,0.005422868324677806
39,841149.329,819019.962,2,10,0.005439768418361446
40,841145.449,819016.808,2,15,0.005456603080151496
41,841141.57,819013.654,2,20,0.005473372085421624
42,841137.69,819010.5,2,25,0.005490075210566045
43,841133.81,819007.346,2,30,0.005492347216613975
44,841129.93,819004.192,2,35,0.0055075626527049115
45,841126.05,819001.039,2,40,0.005524198312480523
46,841122.17,818997.885,2,45,0.00554076742562685
47,841118.29,818994.731,2,50,0.005557269769864334
48,841114.41,818991.577,2,55,0.005573705124200182
49,841110.531,818988.423,2,60,0.005590174776239995
50,841106.651,818985.27,2,65,0.005606623718656159
51,841102.771,818982.116,2,70,0.005623005009861683
52,841098.891,818978.962,2,75,0.0056393184300172
53,841095.011,818975.808,2,80,0.005655563760411551
54,841091.131,818972.654,2,85,0.005671740783226625
55,841087.251,818969.501,2,90,0.005687849280810248
56,841083.371,818966.347,2,95,0.005686384891760185
57,841079.492,818963.193,2,100,0.005702500681044438
58,841075.612,818960.039,2,105,0.005718547544991193
59,841071.732,818956.885,2,110,0.005734525267328384
60,841067.852,818953.731,2,115,0.005750433632656482
61,841063.972,818950.578,2,120,0.005766272426823995
62,841060.092,818947.424,2,125,0.005782041436028657
63,841056.212,818944.27,2,130,0.005797740447325389
64,841052.332,818941.116,2,135,0.0058133692489679475
65,841089.925,818702.056,3,0,0.005999212853645028
66,841093.135,818698.223,3,5,0.0060114811324710835
