originid,destinationid,distance,duration
1,2,1360,1146
1,3,2089,1705
1,4,1776,1333
1,5,1485,1140
1,6,1323,1022
1,7,1788,1342
1,8,1526,1200
1,9,1814,1587
1,10,2967,2332
1,11,1300,985
1,12,782,562
1,13,1805,1401
1,14,2174,1724
1,15,1491,1228
1,16,1440,1177
1,17,2053,1624
1,18,1379,1112
1,19,1694,1281
1,20,1599,1337
1,21,1708,1399
1,22,1824,1375
1,23,713,625
1,24,1455,1243
1,25,1455,1243
1,26,531,440
1,27,1997,1496
1,28,1600,1337
2,1,1360,993
2,3,2832,2213
2,4,1861,1403
2,5,803,563
2,6,701,484
2,7,1872,1412
2,8,561,396
2,9,648,632
2,10,2687,2036
2,11,704,503
2,12,732,497
2,13,1528,1109
2,14,1382,1060
2,15,140,119
2,16,160,130
2,17,1262,960
2,18,214,157
2,19,1851,1399
2,20,171,157
2,21,743,593
2,22,1981,1493
2,23,831,615
2,24,95,101
2,25,95,101
2,26,1013,739
2,27,2081,1566
2,28,173,158
3,1,2089,1568
3,2,2832,2249
3,4,3198,2389
3,5,3341,2540
3,6,3180,2423
3,7,3209,2397
3,8,3382,2601
3,9,3179,2584
3,10,4442,3390
3,11,3156,2386
3,12,2638,1962
3,13,3558,2714
3,14,4030,3124
3,15,2972,2369
3,16,2992,2380
3,17,3909,3024
3,18,3046,2407
3,19,3079,2301
3,20,2887,2299
3,21,3564,2799
3,22,3064,2290
3,23,2001,1573
3,24,2860,2287
3,25,2860,2287
3,26,1820,1396
3,27,3243,2420
3,28,2889,2299
4,1,1776,1399
4,2,1861,1623
4,3,3198,2578
4,5,1302,1114
4,6,1236,1051
4,7,11,8
4,8,1493,1294
4,9,2161,1977
4,10,1383,1124
4,11,1156,967
4,12,1403,1132
4,13,692,570
4,14,1772,1527
4,15,1838,1617
4,16,1787,1567
4,17,1651,1427
4,18,1726,1502
4,19,247,199
4,20,1992,1751
4,21,1771,1570
4,22,295,217
4,23,2100,1729
4,24,1952,1720
4,25,1952,1720
4,26,1918,1551
4,27,220,162
4,28,1990,1751
5,1,1551,1164
5,2,803,698
