id,name,address,number,lat,lon
1,East Kowloon General Out-patient Clinic,118 SHATIN PASS ROAD,99033,22.34555,114.19657
2,Hong Kong Buddhist Hospital General Out-patient Clinic,10 HENG LAM STREET,43871,22.33511,114.18907
3,Our Lady of Maryknoll Hospital Family Medicine Clinic,118 SHATIN PASS ROAD,133458,22.34557,114.19696
4,Robert Black General Out-patient Clinic,600 PRINCE EDWARD ROAD EAST,80023,22.33273,114.19572
5,Wang Tau Hom Jockey Club General Out-patient Clinic,200 JUNCTION ROAD,37963,22.33917,114.18531
6,Wu York Yu General Out-patient Clinic,55 SHEUNG FUNG STREET,34285,22.34691,114.19745
7,"CHAK, NGAI CHUEN","New Tech Plaza, 34 Tai Yau Street, San Po Kong, Kowloon",,22.33669,114.1972
8,"CHAN, CHUEN","Wan Fung Street, Fung Wong New Village, Wong Tai Sin, Kowloon",,22.34301,114.19692
9,"CHAN, KA SHING RICKY","Ground Floor, 40 Yuk Wah Street, Tsz Wan Shan, Kowloon",,22.3486,114.20036
10,"CHAN, KING HONG","Plaza Hollywood, 3 Lung Poon Street, Diamond Hill, Kowloon",,22.3407,114.20197
11,"CHAN, KWOK PING","103 Ching Tak Street, Wong Tai Sin Lower Estate, Wong Tai Sin, Kowloon",,22.34133,114.19419
12,"CHAN, LAI MAN","Lok Fu Shopping Centre, Lok Fu, Wong Tai Sin, Kowloon",,22.34153,114.18507
13,"CHAN, PUI KWONG","Chuk Yuen Plaza, 15 Chuk Yuen Road, Wong Tai Sin, Kowloon",,22.34493,114.19248
14,"CHAN, TAI SHAN","Po Fat Building, 54 Wan Fung Street, Wong Tai Sin, Kowloon",,22.34435,114.19847
15,"CHANG, CHIA YAN","Tropicana Gardens , 110 Lung Cheung Road, Wong Tai Sin, Kowloon",,22.34216,114.19704
16,"CHEUNG, SZE MAN","Shop 116B, Plaza Hollywood, Diamond Hill, Kowloon",,22.3407,114.20197
17,"CHEUNG, TAK SUI","Lung Cheung Mall, 136 Lung Cheung Road, Wong Tai Sin, Kowloon",,22.34196,114.19281
18,"CHEUNG, TAK SUI","198 Junction Road, Lok Fu, Wong Tai Sin, Kowloon",,22.33847,114.18751
19,"CHIANG, CHAY KUNG","Choi Wan Shopping Centre, 45 Clear Water Bay Road, Ngau Chi Wan, Kowloon",,22.33472,114.20853
20,"CHIU, SIN MAN ANGELA","Wong Tai Sin Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin, Kowloon",,22.34196,114.19281
21,"CHOI, WING KIN","Infinity Eight, 8 Clear Water Bay Road, Ngau Chi Wan, Kowloon",,22.33472,114.20853
22,"CHONG, MAN YUK","1st Floor, Plaza Hollywood, Diamond Hill, Kowloon",,22.3407,114.20197
