originid,destinationid,distance,duration
1,2,3302,479
1,3,2265,551
1,4,4076,620
1,5,3522,432
1,6,1969,422
1,7,1539,350
1,8,2103,538
1,9,1472,312
1,10,1199,290
1,11,2574,429
1,12,2814,400
1,13,2139,482
1,14,2103,538
1,15,3312,581
1,16,1199,290
1,17,2918,557
1,18,2814,400
1,19,1700,275
1,20,2495,405
1,21,2538,471
1,22,1199,290
1,23,3766,559
1,24,1075,194
1,25,2263,621
1,26,1942,469
1,27,1900,458
1,28,2492,404
1,29,1521,332
1,30,1199,290
1,31,1464,346
1,32,1199,290
1,33,1800,367
1,34,1470,311
1,35,2769,595
1,36,1251,288
1,37,1919,381
1,38,2860,625
1,39,1521,332
1,40,2023,405
1,41,1919,381
1,42,2743,648
1,43,821,192
1,44,2257,619
1,45,1199,290
1,46,2814,400
1,47,705,158
1,48,1199,290
1,49,2814,400
1,51,1314,320
1,52,1960,486
1,53,2814,400
1,54,3258,695
1,55,13032,1090
1,56,1441,255
1,57,1521,333
1,58,1831,427
1,59,2040,408
1,60,1422,326
1,61,1433,340
1,62,2257,619
1,63,2039,444
1,64,1942,469
1,65,687,193
1,66,13032,1090
1,67,295,93
1,68,2769,595
1,69,1255,295
1,70,3246,577
1,71,2814,400
1,72,2498,582
1,73,2495,405
1,74,1219,302
1,75,2814,400
1,76,1199,290
1,77,1900,455
1,78,998,242
1,79,1381,290
1,80,2814,400
1,81,477,118
1,82,2917,624
1,83,295,93
1,84,2495,405
1,86,832,175
2,1,3431,517
2,3,1990,422
2,4,1396,332
2,5,736,175
2,6,2257,451
2,7,3113,482
2,8,2118,459
2,9,3383,605
2,10,2427,310
2,11,1366,416
2,12,523,155
2,13,1643,318
2,14,2118,459
2,15,1936,269
2,16,2427,310
2,17,1542,245
2,18,523,155
2,19,4140,473
2,20,1287,392
2,21,4313,666
2,22,2427,310
2,23,1087,271
2,24,3515,392
2,25,2278,542
2,26,1243,382
2,27,2072,632
2,28,1285,391
2,29,3432,626
2,30,2427,310
2,31,2330,359
2,32,2427,310
2,33,1626,460
2,34,3380,604
2,35,1756,374
2,36,4016,588
2,37,1746,474
2,38,1847,404
2,39,3432,626
2,40,2402,378
2,41,1746,474
2,42,2247,485
2,43,3585,493
2,44,2272,540
2,45,2427,310
2,46,523,155
2,47,3765,519
2,48,2427,310
2,49,523,155
2,51,3552,622
2,52,2891,537
2,53,523,155
2,54,1882,383
2,55,14546,1139
2,56,2670,433
2,57,3432,626
2,58,2697,440
2,59,2418,382
2,60,2995,459
2,61,2299,353
2,62,2272,540
2,63,2084,415
2,64,1243,382
2,65,3057,442
2,66,14546,1139
2,67,3356,455
2,68,1756,374
2,69,2829,427
2,70,1870,265
2,71,523,155
2,72,2002,418
2,73,1287,392
2,74,2635,398
2,75,523,155
2,76,2427,310
2,77,1202,368
2,78,3309,530
2,79,3292,583
2,80,523,155
2,81,3537,479
2,82,1291,351
2,83,3356,455
2,84,1287,392
2,86,3272,373
3,1,2467,595
3,2,1945,431
3,4,2719,573
3,5,1910,423
3,6,1304,318
3,7,2057,544
3,8,1165,326
3,9,2060,471
3,10,2354,338
3,11,2648,591
3,12,1458,352
3,13,336,125
3,14,1165,326
3,15,1863,297
3,16,2354,338
3,17,1469,273
3,18,1458,352
3,19,4067,501
3,20,2569,566
3,21,3615,791
3,22,2354,338
3,23,2410,512
3,24,3442,420
3,25,1325,409
3,26,2193,589
3,27,2497,659
3,28,2566,566
3,29,2109,491
3,30,2354,338
3,31,1224,349
3,32,2354,338
3,33,2051,487
3,34,2057,470
3,35,3079,615
3,36,3052,667
3,37,2170,501
3,38,3170,645
3,39,2109,491
3,40,1295,365
3,41,2170,501
3,42,627,214
3,43,2622,571
3,44,1318,407
3,45,2354,338
3,46,1458,352
3,47,2554,512
3,48,2354,338
3,49,1458,352
3,51,2496,684
3,52,2557,687
3,53,1458,352
3,54,928,250
3,55,13601,1145
3,56,1890,406
3,57,2109,491
3,58,1713,351
3,59,1311,369
3,60,1940,521
3,61,1193,343
3,62,1318,407
3,63,1131,282
3,64,2193,589
3,65,2094,520
3,66,13601,1145
3,67,2628,519
3,68,3079,615
3,69,1773,489
3,70,1797,293
3,71,1458,352
3,72,382,148
3,73,2569,566
3,74,2562,426
3,75,1458,352
3,76,2354,338
3,77,2152,576
3,78,2036,563
3,79,1969,448
3,80,1458,352
3,81,2446,494
3,82,2614,592
3,83,2628,519
3,84,2569,566
3,86,3199,401
4,1,2506,549
4,2,1588,352
4,3,2421,518
4,5,2076,412
4,6,2076,414
4,7,1642,341
4,8,2260,498
4,9,2673,559
4,10,1814,317
4,11,1616,417
4,12,1895,401
4,13,2295,441
4,14,2260,498
4,15,2902,438
4,16,1814,317
4,17,2508,414
4,18,1895,401
4,19,3536,511
4,20,1536,393
4,21,3200,588
4,22,1814,317
4,23,914,228
4,24,2911,430
4,25,2420,580
4,26,1302,290
4,27,2003,450
4,28,1534,392
4,29,2722,579
4,30,1814,317
4,31,1620,313
4,32,1814,317
4,33,1613,277
4,34,2670,558
4,35,787,161
4,36,1942,454
4,37,1732,292
4,38,878,191
4,39,2722,579
4,40,1691,332
4,41,1732,292
4,42,2900,607
4,43,1821,414
4,44,2413,578
4,45,1814,317
4,46,1895,401
4,47,3031,550
4,48,1814,317
4,49,1895,401
4,51,2081,481
4,52,2063,478
4,53,1895,401
4,54,2848,552
4,55,13062,1124
4,56,1960,387
4,57,2722,579
4,58,1987,394
4,59,1708,335
4,60,1525,318
4,61,1589,306
4,62,2413,578
4,63,2146,437
4,64,1302,290
4,65,2490,487
4,66,13062,1124
4,67,2431,487
4,68,787,161
4,69,1358,286
4,70,2836,434
4,71,1895,401
4,72,2654,541
4,73,1536,393
4,74,2023,405
4,75,1895,401
4,76,1814,317
4,77,1261,276
4,78,1621,361
4,79,2582,536
4,80,1895,401
4,81,2613,511
4,82,936,190
4,83,2431,487
4,84,1536,393
4,86,2668,411
5,1,3625,450
5,2,736,154
5,3,1964,337
5,4,2015,403
5,6,2980,394
5,7,3307,415
5,8,2401,450
5,9,3578,538
5,10,2622,243
5,11,1854,468
5,12,255,48
5,13,1952,318
5,14,2401,450
5,15,2130,202
5,16,2622,243
5,17,1736,178
5,18,255,48
5,19,4334,406
5,20,1774,444
5,21,4451,643
5,22,2622,243
5,23,1422,278
5,24,3710,325
5,25,2561,532
5,26,1731,434
5,27,3747,531
5,28,1772,443
5,29,3626,559
5,30,2622,243
5,31,2524,292
5,32,2622,243
5,33,3301,358
5,34,3575,537
5,35,2375,445
5,36,4210,521
5,37,3420,373
5,38,2466,476
5,39,3626,559
5,40,2596,311
5,41,3420,373
5,42,2530,475
5,43,3780,426
5,44,2555,530
5,45,2622,243
5,46,255,48
5,47,3959,452
5,48,2622,243
5,49,255,48
5,51,3746,555
5,52,3029,514
5,53,255,48
5,54,2164,374
5,55,13744,1026
5,56,2864,366
5,57,3626,559
5,58,2891,373
5,59,2612,315
5,60,3190,392
5,61,2494,286
5,62,2555,530
5,63,2367,406
5,64,1731,434
5,65,3251,375
5,66,13744,1026
5,67,3550,388
5,68,2375,445
5,69,3023,360
5,70,2064,198
5,71,255,48
5,72,2285,409
5,73,1774,444
5,74,2830,331
5,75,255,48
5,76,2622,243
5,77,1689,420
5,78,3286,435
5,79,3487,516
5,80,255,48
5,81,3732,412
5,82,1910,422
5,83,3550,388
5,84,1774,444
5,86,3467,306
6,1,1887,384
6,2,2326,468
6,3,448,120
6,4,3101,609
6,5,3005,419
6,7,1466,369
6,8,465,148
6,9,1118,280
6,10,1009,223
6,11,2057,416
6,12,1839,389
6,13,1071,234
6,14,465,148
6,15,2244,333
6,16,1009,223
6,17,1850,310
6,18,1839,389
6,19,2730,417
6,20,1977,392
6,21,3024,616
6,22,1009,223
6,23,2791,548
6,24,2106,336
6,25,625,230
