district1,STREETTYPE,len
H25,MAR,21.924
H25,MAR,28.106
H25,SER,118.673
H25,SER,54.642
H25,SER,49.393
H25,SER,85.235
H25,SER,93.787
H25,MAR,97.607
H25,SER,34.87
H25,MAR,141.507
H25,SER,197.892
H25,SER,111.581
H25,SER,52.577
H25,MAR,32.466
H25,MAR,129.32
H25,SER,89.57
H25,SER,100.188
H25,SER,82.705
H25,MAR,14.731
H25,MAR,306.923
H25,SER,60.994
H25,SER,11.074
H25,SER,8.652
H25,SER,21.214
H25,MAR,85.8
H25,MAR,107.432
H25,SER,69.15
H25,SER,94.633
H25,SER,91.823
H25,SER,122.084
H25,MAR,95.128
H01,SER,221.359
H01,SER,95.795
H01,SER,69.975
H01,SER,25.933
H01,SER,91.172
H01,SER,130.955
H01,SER,76.218
H01,SER,1.68
H01,SER,7.803
H01,SER,169.86
H01,SER,66.318
H01,SER,45.151
H01,MAR,472.886
H01,SER,125.363
H01,SER,135.038
H01,SER,1.194
H01,SER,121.956
H01,SER,49.197
H01,SER,29.054
H01,MAR,118.132
H01,SER,36.766
H01,MAR,118.838
H01,MAR,171.079
H01,SER,273.995
H01,MAR,181.536
H01,MAR,3.533
H01,SER,94.014
H01,SER,78.779
H01,SER,86.141
H02,SER,24.41
H02,SER,44.773
H02,SER,0.001
H02,SER,13.502
H02,SER,0.478
H02,SER,15.721
H02,SER,70.854
H02,SER,0.551
H02,SER,100.983
H02,SER,0.001
H02,SER,59.593
H02,SER,27.754
H02,SER,100.559
H02,SER,4.231
H02,SER,16.558
H02,SER,22.919
H02,SER,55.764
H02,MAR,63.111
H02,SER,48.171
H02,SER,45.469
H02,SER,41.971
H02,SER,134.395
H02,MAR,84.203
H02,MAR,45.038
H02,SER,53.82
H02,SER,22.255
H02,SER,49.808
H02,SER,19.262
H02,SER,135.908
H02,MAR,18.122
H02,SER,0.259
H02,SER,55.831
H02,MAR,134.105
H03,SER,57.029
H03,SER,80.25
H03,SER,19.891
H03,SER,19.3
H03,SER,31.719
H03,SER,77.929
H03,SER,60.419
H03,SER,64.183
H03,SER,35.464
H03,SER,0.392
H03,SER,150.969
H03,SER,53.552
H03,MAR,132.361
H03,SER,15.016
H03,SER,45.89
H03,SER,18.875
H03,MAR,39.797
H03,MAR,82.876
H03,MAR,1.482
H03,MAR,216.95
H03,SER,0.299
H03,SER,119.714
H03,SER,0.031
H03,SER,70.441
H03,SER,60.331
H03,SER,14.468
H03,SER,147.718
H03,SER,0.001
H03,SER,84.754
H03,SER,212.416
H03,SER,19.774
H03,SER,25.27
H03,SER,0.001
H03,SER,50.929
H03,SER,21.271
H03,SER,5.31
H03,SER,7.006
H03,SER,11.167
H03,SER,17.012
H03,SER,158.959
H03,SER,231.141
H03,SER,63.868
H03,SER,59.605
H03,SER,70.637
H03,SER,93.528
H03,SER,67.993
H03,SER,135.49
H03,SER,76.278
H03,SER,16.129
H03,SER,60.048
H03,SER,28.714
H03,SER,110.439
H03,SER,17.845
H03,SER,23.548
H03,SER,8.445
H03,SER,286.575
H03,SER,90.388
H04,SER,84.641
H04,SER,23.938
H04,SER,0.156
H04,SER,59.199
H04,SER,2.714
H04,SER,19.051
H04,SER,18.678
H04,SER,20.248
H04,SER,63.616
H04,SER,222.536
H04,SER,309.19
H04,SER,207.036
H04,MAR,0.158
H04,SER,41.657
H04,SER,58.52
H04,SER,52.676
H04,SER,43.829
H04,SER,101.247
H04,SER,58.186
H04,SER,9.233
H04,SER,6.919
H04,SER,44.66
H04,SER,87.299
H04,SER,22.951
H04,SER,142.992
H04,SER,30.855
H04,SER,49.866
H04,SER,1.574
H04,SER,54.302
H04,SER,33.919
H04,SER,56.269
H04,SER,157.354
H04,SER,143.209
H04,SER,150.521
H04,SER,19.624
H04,SER,0.001
H04,SER,1.361
H04,SER,117.039
H04,SER,66.061
H04,SER,168.618
H04,SER,38.627
H04,SER,39.299
H04,MAR,0.001
H04,SER,114.676
H04,SER,42.338
H04,SER,0.502
H04,SER,121.259
H04,SER,16.738
H04,SER,0.089
H04,SER,73.991
H04,SER,34.664
H04,SER,14.457
H04,SER,33.174
H04,SER,48.941
H04,SER,158.09
H04,SER,21.191
H04,SER,77.164
H04,SER,25.682
H04,SER,134.579
H04,SER,42.521
H04,SER,130.738
H04,SER,17.778
H04,SER,67.01
H04,SER,24.875
H04,SER,17.897
H04,MAR,18.223
H04,SER,88.939
H04,SER,1.473
H04,SER,0.001
H05,SER,1.94
H05,SER,10.828
H05,SER,42.055
H05,SER,0.018
H05,SER,53.613
H05,SER,116.856
H05,SER,27.561
H05,SER,24.12
H05,SER,22.696
H05,SER,192.817
H05,SER,114.624
H05,SER,10.345
H05,SER,135.237
H05,SER,0.001
H05,SER,60.18
H05,SER,46.452
H05,SER,130.757
H05,SER,0.189
H05,SER,52.635
H05,SER,145.746
H05,SER,259.667
H05,SER,218.383
H06,SER,43.162
H06,SER,3.01
H06,SER,97.844
H06,SER,124.747
H06,MAR,94.198
H06,MAR,88.336
H06,MAR,23.797
H06,MAR,46.867
H06,SER,359.948
H06,SER,63.402
H06,SER,274.998
H06,SER,156.736
H06,MAR,97.825
H06,SER,56.564
H06,SER,45.625
H06,SER,29.66
H06,SER,293.665
H06,TUN,430.984
H06,TUN,419.288
H06,SER,109.015
H06,MAR,51.843
H06,SER,0.001
H06,MAR,140.55
H06,SER,10.214
H06,MAR,66.797
H06,SER,119.137
H06,SER,200.989
H06,MAR,114.663
H06,SER,57.65
H06,SER,50.168
H06,SER,89.817
H06,SER,49.084
H06,SER,55.609
H06,SER,2.616
H06,SER,90.83
H06,SER,154.321
H06,SER,52.179
H06,SER,128.094
H06,SER,75.415
H06,SER,70.959
H06,SER,356.036
H06,SER,175.442
H06,SER,245.76
H06,SER,131.469
H06,SER,107.468
H06,MAR,3.992
H06,SER,33.431
H06,SER,51.922
H06,SER,162.235
H06,SER,79.777
H06,SER,71.939
H06,SER,62.419
H06,MAR,8.659
H06,SER,15.617
H06,MAR,208.368
H06,SER,27.041
H06,SER,171.5
H06,MAR,0.001
H06,MAR,102.532
H06,SER,61.281
H06,SER,68.413
H06,SER,0.131
H06,SER,131.271
H06,MAR,49.703
H06,SER,111.33
H06,SER,4.728
H06,SER,64.416
H06,SER,156.011
H06,SER,0.001
H06,SER,0.052
H06,SER,243.975
H06,MAR,70.315
H06,SER,66.426
H06,MAR,45.033
H06,MAR,58.167
H06,MAR,127.208
H06,MAR,58.831
H06,MAR,21.521
H06,MAR,53.278
H06,MAR,9.313
H06,SER,32.075
H06,SER,53.571
H06,SER,34.945
H06,SER,38.755
H06,SER,16.247
H06,SER,215.573
H06,MAR,229.796
H06,SER,297.572
H06,SER,58.163
H06,MAR,88.493
H06,SER,197.02
H06,MAR,219.452
H06,MAR,45.845
H06,SER,187.14
H06,SER,0.163
H06,MAR,252.015
H06,SER,61.337
H06,SER,55.124
H06,SER,49.868
H06,SER,116.762
H06,MAR,156.09
H06,SER,24.657
H06,SER,123.191
H06,SER,75.944
H06,MAR,268.619
H06,MAR,164.676
H06,MAR,159.396
H06,MAR,70.442
H06,MAR,210.604
H06,MAR,152.947
H06,SER,45.526
H06,SER,49.478
H06,SER,56.711
H06,SER,30.752
H07,SER,241.292
H07,SER,96.686
H07,SER,108.704
H07,SER,14.754
H07,MAR,49.556
H07,SER,27.522
H07,SER,121.249
H07,SER,29.278
H07,SER,147.126
H07,SER,214.951
H07,SER,85.315
H07,SER,124.38
H07,SER,75.214
H07,SER,103.815
H07,SER,74.816
H07,SER,7.232
H07,SER,47.519
H07,SER,12.086
H07,SER,105.347
H07,SER,79.656
H07,SER,74.911
H07,SER,51.448
H07,SER,3.795
H07,SER,104.823
H07,SER,18.763
H07,SER,99.639
H07,SER,66.232
H07,SER,25.621
H07,SER,86.502
H07,SER,48.903
H07,SER,121.355
H07,SER,68.914
H07,SER,323.253
H07,SER,9.515
H07,MAR,6.042
H07,SER,67.593
H07,MAR,45.492
H07,SER,42.581
H07,MAR,45.077
H07,MAR,88.279
H07,SER,80.498
H07,SER,49.31
H07,SER,59.017
H07,SER,48.474
H07,SER,76.573
H07,SER,82.882
H07,SER,35.505
H07,SER,61.238
H07,SER,22.751
H07,SER,29.531
H07,TUN,127.499
H07,SER,111.389
H07,SER,106.801
H07,SER,36.094
H07,SER,28.055
H07,SER,23.509
H07,SER,17.063
H07,SER,128.987
H07,SER,77.257
H07,SER,51.865
H07,SER,146.763
H07,MAR,46.037
H07,SER,119.779
H07,SER,0.044
H07,MAR,44.632
H07,MAR,51.218
H07,SER,109.638
H07,MAR,1.542
H07,SER,60.995
H07,SER,124.205
H07,MAR,44.09
H07,SER,58.652
H07,SER,33.565
H07,SER,144.004
H07,SER,19.342
H07,SER,18.015
H07,SER,82.863
H07,SER,17.067
H07,SER,16.301
H07,SER,103.325
H07,SER,45.097
H07,SER,31.315
