code,ename,cname,area,total_length,road_density
H22,Choi Wan South,彩雲南,80770.947,1365.652,0.016907713
H08,Tung Tau,東頭,245713.467,5389.044,0.021932229
H25,Choi Hung,彩虹,92388.145,2611.681,0.028268573
H09,Tung Mei,東美,243872.823,2603.641,0.010676224
H07,San Po Kong,新蒲崗,334443.629,5971.41,0.017854758
H23,Choi Wan West,彩雲西,178971.996,2388.326,0.013344691
H10,Lok Fu,樂富,175553.496,2992.996,0.017048911
H02,Lung Ha,龍下,145845.528,1510.38,0.010356025
H21,Choi Wan East,彩雲東,649716.861,2483.123,0.003821854
H24,Chi Choi,池彩,412173.95,4408.156,0.010694892
H01,Lung Tsui,龍趣,153658.114,3099.72,0.020172836
H11,Wang Tau Hom,橫頭磡,133385.354,2146.929,0.016095688
H03,Lung Sheung,龍上,321483.684,3671.887,0.01142169
H12,Tin Keung,天強,146427.544,2489.736,0.017003194
H14,Chuk Yuen South,竹園南,134684.605,2074.536,0.015402919
H05,Fung Tak,鳳德,111076.961,1666.72,0.015005092
H06,Lung Sing,龍星,662553.765,11696.568,0.017653764
H04,Fung Wong,鳳凰,182455.886,4156.82,0.022782603
H19,Tsz Wan East,慈雲東,136605.029,1824.226,0.013354018
H20,King Fu,瓊富,1622889.691,5124.407,0.003157582
H15,Chuk Yuen North,竹園北,261514.819,1110.974,0.004248226
H16,Tsz Wan West,慈雲西,176747.311,2505.49,0.014175548
H13,Tsui Chuk & Pang Ching,翠竹及鵬程,602882.952,2993.217,0.004964839
H17,Ching Oi,正愛,467828.388,2794.102,0.005972493
H18,Ching On,正安,1628960.366,6982.675,0.004286584
