sampleid,x,y,accessibility,accessibility_relative
1,839454.1308,822280.3629,0.192521458,0.910987786
2,837511.1374,821827.7441,0.131812868,0.623722231
3,838308.3878,822941.6674,0.194880182,0.92214898
4,838197.8116,821494.0041,0.106542125,0.504144191
5,837142.9709,822232.3554,0.125770669,0.59513129
6,838391.2081,823090.9051,0.168263778,0.796203439
7,838357.8734,821952.5559,0.096936502,0.45869157
8,838490.7346,822810.7483,0.208894823,0.988464529
9,838777.364,823121.2932,0.108155572,0.511778824
10,838874.5014,822386.6931,0.125179573,0.592334294
11,838139.4041,822478.2754,0.135737447,0.642292851
12,837335.0898,822139.6158,0.151658436,0.71762901
13,838056.3421,822767.2839,0.154439239,0.730787425
14,838490.7346,822810.7483,0.208894823,0.988464529
15,838327.3937,822550.3877,0.180489378,0.854053471
16,838874.5014,822386.6931,0.125179573,0.592334294
17,837933.2059,822542.3121,0.095647871,0.452593923
18,837335.0898,822139.6158,0.151658436,0.71762901
19,840172.5926,821637.6665,0.02355361,0.111452775
20,838060.1868,822479.2073,0.119386725,0.564923252
21,839664.0355,821658.5533,0.061304285,0.290084312
22,838874.5014,822386.6931,0.125179573,0.592334294
23,837821.3971,821502.2226,0.101667594,0.481078513
24,839589.8743,821697.682,0.080516371,0.380993532
25,838431.9401,822780.465,0.211332644,1
26,838366.9694,822411.3099,0.151656585,0.717620248
27,838294.4397,821685.322,0.110401217,0.522404936
28,838075.5348,822487.9904,0.124341126,0.588366866
29,838776.3175,823095.5249,0.112754298,0.533539427
30,838874.5014,822386.6931,0.125179573,0.592334294
31,838517.9437,822784.2423,0.208165324,0.985012633
32,838874.5014,822386.6931,0.125179573,0.592334294
33,838126.4494,821926.6145,0.111370897,0.526993346
34,838780.1354,823118.7024,0.107813695,0.510161105
35,838046.8835,822068.069,0.09760296,0.461845165
36,838518.3982,822207.7338,0.109134395,0.516410494
37,838064.4963,821826.5692,0.119481502,0.565371727
38,838053.8326,822106.8602,0.090435312,0.42792874
39,838776.3175,823095.5249,0.112754298,0.533539427
40,838687.5962,822696.5325,0.174361542,0.825057304
41,838064.4963,821826.5692,0.119481502,0.565371727
42,837681.0658,822832.4459,0.032656502,0.154526537
43,838892.9415,822017.982,0.095190619,0.450430264
44,838431.9186,822787.1313,0.211130925,0.999045487
45,838874.5014,822386.6931,0.125179573,0.592334294
46,837335.0898,822139.6158,0.151658436,0.71762901
47,839588.3763,822631.6424,0.127608465,0.603827511
48,838874.5014,822386.6931,0.125179573,0.592334294
49,837335.0898,822139.6158,0.151658436,0.71762901
51,838951.2058,821849.5309,0.063614764,0.301017215
52,838231.3929,821681.2167,0.114301333,0.540859805
53,837335.0898,822139.6158,0.151658436,0.71762901
54,838317.0627,822697.4867,0.197087593,0.932594173
55,839157.5082,821795.7508,0.089903474,0.425412145
56,838735.9685,823032.8092,0.133117893,0.629897445
57,838778.285,823095.481,0.112190045,0.530869449
58,838460.5854,823013.965,0.182943909,0.865668008
59,838707.012,822709.0707,0.170492322,0.806748634
60,838471.7701,822014.7826,0.092777322,0.439010839
61,838508.4606,822754.8297,0.209395279,0.990832629
62,838431.9186,822787.1313,0.211130925,0.999045487
63,838412.7613,822915.8802,0.200619172,0.949305171
64,838366.9694,822411.3099,0.151656585,0.717620248
65,839274.4196,822398.2819,0.190948607,0.903545251
66,839157.5082,821795.7508,0.089903474,0.425412145
67,839483.67,822455.0645,0.173516818,0.821060176
68,838046.8835,822068.069,0.09760296,0.461845165
69,838562.9294,822153.1148,0.097972895,0.463595651
70,838266.8953,822542.4069,0.170241101,0.805559888
71,837335.0898,822139.6158,0.151658436,0.71762901
72,837927.3597,822881.2159,0.111926866,0.52962412
73,838060.1868,822479.2073,0.119386725,0.564923252
74,838663.9794,822538.6428,0.158315478,0.74912931
75,837335.0898,822139.6158,0.151658436,0.71762901
76,838874.5014,822386.6931,0.125179573,0.592334294
77,838327.2973,822345.8381,0.1322048,0.625576803
78,838718.5128,822027.4434,0.080063834,0.378852185
79,838868.7246,823110.1572,0.081317214,0.384783025
80,837335.0898,822139.6158,0.151658436,0.71762901
81,839532.4492,822639.7031,0.130490194,0.617463498
82,837915.3269,821923.8554,0.118623946,0.561313879
83,839483.67,822455.0645,0.173516818,0.821060176
84,838060.1868,822479.2073,0.119386725,0.564923252
86,839477.3641,821865.2445,0.135715149,0.642187343
