frame,length,angle
2601,496.8913362,0.715611533
2602,466.0482808,0.802088571
2603,479.116896,0.872583987
2604,547.4029594,0.888922838
2605,472.4510557,0.959896962
2606,455.4119015,1.081613994
2607,480.3207262,1.099700066
2608,548.5918337,1.20349162
2609,673.8909407,1.187534377
2610,672.6492399,1.239173033
2611,700.9279564,1.325817664
2612,960.0630188,1.360939716
2613,669.287681,1.413262339
2614,899.7255137,1.431414199
2615,909.9725271,1.466206992
2616,910.4339625,1.48391526
2617,940.249435,1.501610553
2618,919.2306566,1.501116515
2619,1079.453565,1.518894928
2620,1080.504512,1.518018694
2621,1077.508701,1.517871818
2622,898.2304827,1.51844732
2623,896.1473093,1.50155596
2624,897.3962336,1.483768385
2625,880.8178018,1.466157087
2626,901.7061606,1.431722351
2627,717.9484661,1.412746225
2628,577.8113879,1.359823869
2629,731.7301415,1.326480574
2630,918.5303479,1.291748948
2631,498.8436629,1.273771233
2632,454.757078,1.239310336
2633,588.6977153,1.15274447
2634,553.8239793,1.082113562
2635,555.2269806,1.012769749
2636,574.8643318,0.942255828
2637,522.394487,0.872136502
2638,622.2539674,0.785398163
2639,540.166641,0.714650296
2640,597.8770777,0.627443606
2641,634.2018606,0.539878667
2654,511.124251,-0.696742282
2655,644.9806199,-0.767856103
2656,606.0140262,-0.854294792
2657,632.6025609,-0.924449826
2658,468.4805225,-0.995226475
2659,616.4576222,-1.047626089
2660,769.2366346,-1.098428009
2661,783.8475617,-1.151665262
2662,745.5742753,-1.185806792
2663,704.5736299,-1.256226977
2664,926.0863891,-1.290716782
2665,922.363269,-1.326606514
2666,764.5972796,-1.343899449
2667,881.3813023,-1.396321302
2668,904.726478,-1.396380243
2669,918.2036811,-1.414420925
2670,984.5780822,-1.431197458
2671,1034.70044,-1.44871896
2672,1084.066419,-1.448729658
2673,1083.073866,-1.448617234
2674,704.2705446,-1.448378632
2675,994.620028,-1.431600815
2676,966.8640028,-1.413979373
2677,921.9891539,-1.396375447
2678,667.1986211,-1.379279594
2679,913.3044399,-1.344407819
2680,903.8169062,-1.308911062
2681,664.9300715,-1.274729942
2682,490.6526266,-1.203915147
2683,702.1182237,-1.186851719
2684,735.0353733,-1.133922598
2685,547.4157469,-1.116952325
2686,581.1110049,-1.046314084
2687,529.7707051,-0.993788045
2688,537.6030134,-0.923947016
2689,534.4249246,-0.854254653
2704,485,0
2705,493.328491,0.697852722
2706,469.5955707,0.767327841
2707,454.3709938,0.855485981
2708,482.0010373,0.925220532
2709,499.5447928,0.995008552
2710,490.5965756,1.064291764
2711,547.4157469,1.116952325
2712,373.7004148,1.169418229
2713,530.2122217,1.204299541
2714,555.308923,1.255879379
2715,935.2887255,1.291321753
2716,682.0975004,1.309816185
2717,689.6441111,1.344106163
2718,712.8534211,1.413027589
2719,916.9776442,1.43074998
2720,915.8738996,1.448201894
2721,926.984358,1.467048693
2722,945.6495122,1.482912881
2723,1078.105746,1.483495513
2724,1083.17404,1.482978291
2725,1068.056646,1.483611885
2726,1045.696419,1.466369884
2727,947.1879433,1.466085171
2728,921.8291599,1.448997839
2729,677.3455544,1.413657187
2730,901.0998835,1.413675209
2731,750.3945629,1.361378346
2732,643.547978,1.343531604
2733,878.0091116,1.291557995
2734,718.1733774,1.256531322
2735,753.0663981,1.204099183
2736,718.460159,1.150734803
2737,558.1979935,1.063871826
2738,561.0570381,1.012952726
2739,574.9521719,0.978452217
2740,568.5103341,0.907593334
2741,509.082508,0.836813172
2742,650.93164,0.750629572
2743,511.9453096,0.68023204
2744,601.5787563,0.59261299
2758,658.7518501,-0.697264996
2759,560.3784436,-0.750059346
2760,609.5900262,-0.855052737
2761,629.0031796,-0.924115578
2762,445.1718769,-0.993385227
2763,609.2946742,-1.082190612
2764,550.9818509,-1.099843653
2765,657.6473219,-1.134352889
2766,1122.907832,-1.186486429
2767,1061.947268,-1.238921044
2768,1085.618718,-1.273516411
2769,784.9713371,-1.30789622
2770,970.8702282,-1.326317289
2771,665.4660021,-1.36190702
2772,889.2075123,-1.379576251
2773,965.7251162,-1.395944175
2774,1005.33477,-1.413987603
2775,1077.181507,-1.41419445
2776,1091.322134,-1.414384999
2777,1059.090176,-1.413409058
2778,1015.369883,-1.39658054
2779,942.206453,-1.39692339
2780,910.0549434,-1.360470453
2781,694.7409589,-1.344321138
2782,914.1170603,-1.326613631
2783,914.4096456,-1.291595361
2784,914.5621903,-1.257344337
2785,762.0872653,-1.22124057
2786,527.856041,-1.169884619
2787,487.9364713,-1.1685956
2788,514.4706017,-1.081067677
2789,451.6159873,-1.046706556
2790,555.8462018,-0.994270265
2791,586.2021836,-0.924565781
2792,437.2482133,-0.872836978
2807,429.3669759,0.576375221
2808,516.500726,0.663250671
2809,479.3506024,0.733745478
2810,490.8054604,0.802687507
2811,457.1312722,0.889222556
2812,455.8212369,0.958452822
2813,531.9069467,1.011997729
2814,427.2352982,1.080976685
2815,673.6839021,1.063986173
2816,643.1236273,1.116884154
2817,619.2447012,1.169297233
2818,538.5471196,1.255504872
2819,912.2115983,1.292044929
2820,705.051062,1.325817664
2821,933.3836296,1.361424033
2822,685.090505,1.360518571
2823,1002.220036,1.396297528
2824,968.839512,1.414301769
2825,1079.472556,1.431388459
2826,938.0517043,1.43176373
2827,898.7569193,1.448097417
2828,706.3780857,1.447319295
2829,1014.842845,1.431407628
2830,972.9465556,1.413927284
2831,965.5516558,1.39696406
2832,976.8710253,1.379222825
2833,962.9974039,1.361588689
2834,905.2844857,1.343500708
2835,877.0478892,1.291243732
2836,1021.767586,1.257402124
2837,710.3478021,1.203622493
2838,709.5414012,1.13425431
2839,613.3653071,1.134858618
2840,606.0825026,1.064338848
2841,594.9596625,0.994914342
2842,584.2756199,0.94338421
2843,616.9619113,0.819788269
2844,562.944047,0.80298429
2845,678.3575753,0.715501763
2846,585.6005464,0.644867228
2847,345.4533254,0.558292473
2849,551.6239661,0.400369084
2859,521.1842285,-0.540090445
2860,458.2597517,-0.62735236
2861,659.3944191,-0.69842758
2862,717.1192369,-0.767648548
2863,698.1761955,-0.838087687
2864,689.5462276,-0.906700509
2865,493.4136196,-0.977172647
2866,607.4421783,-1.063697822
2867,658.9423344,-1.082713664
2868,664.1460683,-1.117249384
2869,1147.491612,-1.168765272
2870,618.8093406,-1.205594877
2871,702.379527,-1.238690447
2872,589.6439604,-1.274791156
2873,736.2078511,-1.308356506
2874,681.0411148,-1.327598289
2875,866.2338022,-1.343737896
2876,931.2196304,-1.362028048
2877,933.3836296,-1.361424033
2878,952.5486864,-1.378547932
2879,948.4313365,-1.378777059
2880,996.731659,-1.36159494
2881,974.380829,-1.360921544
2882,958.6511357,-1.343528362
2883,1059.396054,-1.326733414
2884,663.6753725,-1.308640991
2885,1033.125355,-1.274147664
2886,1062.892751,-1.239227581
2887,789.4669087,-1.204168146
2888,537.4085969,-1.185452392
2889,765.6631113,-1.11649424
2890,750.2213007,-1.064215689
2891,426.0633756,-1.047283428
2892,541.4249717,-0.994575965
2893,609.8016071,-0.924999387
2894,480.5257537,-0.872327719
2895,467.4622979,-0.768758247
2909,494.7736856,0.541459361
2911,494.737304,0.698102653
2912,492.2194632,0.768158492
2913,470.1340234,0.836558301
2914,483.6992867,0.90703331
2915,466.7868893,0.977446181
2916,537.8196724,1.029739072
2917,470.485919,1.098593793
2918,534.5886269,1.082049387
2919,477.2022632,1.117457631
2920,645.2441398,1.169567528
2921,670.3290237,1.222152777
2922,912.2115983,1.292044929
2923,671.0067064,1.291473127
2924,1008.869665,1.34384889
2925,707.0084865,1.378671176
2926,1014.526983,1.379393349
2927,1086.56385,1.395964187
2928,949.2739331,1.397161535
2929,1090.490715,1.413336326
2930,1011.417322,1.413937446
2931,1066.173063,1.396395793
2932,1087.54862,1.396124128
2933,960.5925255,1.379117324
2934,966.1397414,1.361221101
2935,739.976351,1.326473186
2936,690.6489702,1.292098895
2937,691.9248514,1.256358256
2938,724.1892018,1.24031237
2939,878.9004494,1.187120723
2940,736.8371598,1.151469614
2941,684.853999,1.064690589
2942,525.5416254,1.046693916
2943,616.477899,0.943192646
2944,586.2021836,0.924565781
2945,596.1384067,0.855437988
2946,589.7270555,0.785398163
2947,552.2073886,0.714911791
2948,520.6006147,0.645037796
2949,650.415252,0.557295535
2962,486.8695924,-0.610221169
2963,563.1696015,-0.679732581
2964,687.728144,-0.750432996
2965,690.5548494,-0.820220147
2966,777.6046553,-0.85547466
2967,738.0819738,-0.942199263
2968,790.7780978,-0.994368092
2969,1189.5062,-1.046957859
2970,1039.35557,-1.099403606
2971,695.2078826,-1.151549652
2972,710.6595528,-1.187154345
2973,737.738436,-1.220751439
2974,742.5415813,-1.238824663
2975,606.4470298,-1.291817166
2976,972.6505025,-1.29164933
2977,971.0020597,-1.309331523
2978,967.7174174,-1.326569543
2979,1020.037744,-1.344364883
2980,1092.81746,-1.34468335
2981,1102.261312,-1.34386148
2982,1015.915351,-1.344440152
2983,1101.597476,-1.3269185
2984,982.4036848,-1.309275963
2985,1065.093893,-1.292109771
2986,1034.374207,-1.273505725
2987,1061.621872,-1.239811599
2988,693.8357154,-1.205278121
2989,788.6317265,-1.169567528
2990,782.4589446,-1.134014751
2991,780.1775439,-1.082497749
2992,627.251943,-1.04650887
2993,462.2650755,-1.012197011
2994,593.6977345,-0.958966458
2995,516.500726,-0.907545656
2996,580.1654936,-0.819531243
2997,555.8740865,-0.767588342
2998,425.8931791,-0.680608128
2999,454.5822258,-0.59288359
3011,483.1117883,0.541484463
3012,489.6529383,0.628796286
3013,496.1461478,0.698351164
3014,461.1117001,0.766995333
3015,500.9191552,0.819283493
3016,483.6992867,0.90703331
3017,509.070722,0.959909435
3018,509.2239193,0.97680251
3019,565.6023338,1.030376827
3020,459.0119824,1.134432394
3021,667.2810502,1.117872167
3022,481.27435,1.153626849
3023,753.0663981,1.204099183
3024,671.7038038,1.238688327
3025,734.0170298,1.308965327
3026,919.2105308,1.326873072
3027,948.2325664,1.344234614
3028,921.2301558,1.360840218
3029,955.7347959,1.362114564
3030,1094.146699,1.378598784
3031,1099.055049,1.379467787
3032,1098.264085,1.378400725
3033,960.5925255,1.379117324
3034,994.7753515,1.361177401
3035,950.1815616,1.344707426
3036,889.3784346,1.326635771
3037,906.7149497,1.309767678
3038,907.5511005,1.274484689
3039,691.9479749,1.238077291
3040,617.3005751,1.202924656
3041,1053.320939,1.151318865
3042,884.6174314,1.099059915
3043,458.6610949,1.012428118
3044,603.553643,0.994282188
3045,601.3118991,0.908002868
3046,501.952189,0.88983269
3047,601.1222837,0.768929064
3048,505.8903043,0.750447367
3049,484.9267986,0.680215928
3050,642.6274193,0.592750086
3051,395,0
3065,535.9636182,-0.696888297
3066,636.4966614,-0.767622258
3067,458.978213,-0.802345693
3068,747.9318151,-0.889582307
3069,844.1001125,-0.942696844
3070,847.3735894,-0.995558987
3071,828.8063706,-1.047759182
3072,716.0090782,-1.099653543
3073,566.8553607,-1.170305717
3074,1122.41258,-1.168946178
3075,818.2572945,-1.204587659
3076,917.4093961,-1.22146656
3077,748.5352363,-1.257072638
3078,973.6457261,-1.273732114
3079,975.80992,-1.291511308
3080,768.2219731,-1.308768479
3081,1116.066754,-1.308866451
3082,1116.066754,-1.308866451
3083,1114.842141,-1.309500574
3084,1015.369883,-1.291414417
3085,953.7216575,-1.273916265
3086,827.2810889,-1.25745536
3087,600.5305987,-1.255891374
3088,1061.026861,-1.221622714
3089,1062.369521,-1.186794072
3090,1061.84933,-1.151807033
3091,795.6293107,-1.116704357
3092,681.7653555,-1.0822195
3093,741.0458825,-1.029219687
3094,511.6610206,-1.012611347
3095,505.4661215,-0.959746213
3096,515.3299914,-0.855434732
3097,521.1237857,-0.836982794
