,min
1,675.6633777259206
15,1113.1621624902637
32,194.12624758130983
65,188.13027401245128
98,190.12890364171355
131,188.26576959181932
162,213.5883891975404
196,190.12890364171355
229,193.0932417253385
262,206.0
296,188.26576959181932
312,761.5700886983417
328,182.0
362,198.4263087395419
393,204.29635336931494
425,197.12178976460214
458,205.70367036103173
494,202.5487595617411
522,203.7670238286853
559,193.6620768245554
591,210.11663427725088
623,209.02152999152983
655,186.45374761586316
688,212.11553455605272
721,213.0211257129208
756,221.65062598603234
786,214.11445537375565
819,205.0219500443794
853,225.5681715136247
885,210.15232570685484
917,237.0
950,217.03686322834653
982,221.03619613086
1014,226.2675407565124
1048,219.14607000811125
1081,244.59149617270018
1093,707.8566239006315
1111,238.92467432226417
1145,165.0
1179,238.92467432226417
1210,230.0
1244,259.02316498722655
1275,230.0
1294,711.8911433639275
1308,254.04920783186867
1341,247.34186867572583
1373,247.1639132235934
1405,241.0
1436,233.54871012274933
1471,249.57964660604839
1501,251.3364279208249
1534,264.030301291348
1567,260.0
1601,241.91320757660174
1632,248.03225596683993
1665,270.36271932350434
1678,771.6871127600875
1696,255.03137061938085
1729,255.03137061938085
1759,283.5912551543154
1793,265.04716561397146
1826,269.04646438858845
1858,269.0
1891,284.17600180170035
1922,304.16442921551493
1934,673.0898899849856
1954,276.181100005051
1989,270.4533231446787
2018,295.7465130817268
2051,214.28252378577213
2084,281.0
2115,279.35103364763125
2150,310.17736861350795
2182,377.530131247825
2195,713.3372274037014
2213,306.04084694693944
2245,374.0
2280,373.63618668431997
2310,294.0425139329345
2343,331.79813139919884
2372,335.3445988829998
2384,630.80979700699
2407,329.4389169481954
2438,493.0
2472,366.4000545851488
2503,356.0505582076793
2513,584.992307641733
2536,380.9580029347067
2566,368.229547972457
2601,662.7073260497427
2627,501.1077728393364
2665,369.47665690811914
2693,365.40388613149696
2726,428.2627698037736
2757,423.61893253252975
2791,466.0
2824,565.0884886458049
2858,423.398157766422
2888,572.0707998141489
2898,670.7585258496533
2917,598.4755634109049
2953,606.8442963396789
2984,533.0759795751446
3020,453.5912256646947
3047,353.0509878190401
3081,409.53876495394184
3113,546.7174773134658
3144,678.0892271670448
3165,770.6704873031016
3177,636.9081566442685
3213,612.4197906665003
3229,738.0975545278551
3241,509.3181716766053
3272,573.0
3305,483.2990792459675
3338,548.7667992872747
3347,774.1421058177884
3369,457.28000174947516
3399,404.2425014765271
3423,613.9462517191549
3452,674.5405843980035
3465,591.3729787536796
3497,717.9540375260801
3518,815.6475954724565
3529,650.8886233450389
3538,696.2506732492257
3558,622.4869476543263
3588,639.7726158566026
3602,659.605942968982
3612,715.9622895097199
3621,571.105944637245
3633,796.6912827438242
3659,769.1716323422231
3681,715.4746676158422
3697,760.2907338643554
3723,680.7128616384445
3750,767.0436754188121
3777,885.2807464301932
3787,591.2596722253261
3814,687.9425848135875
3847,691.104188961404
3881,526.7447199545526
3903,781.2073988384902
3912,701.1027028902399
3933,835.6662013028887
3946,696.6756777726634
3962,822.1173882116835
3974,733.4609737402529
3983,753.2044875065469
4008,635.380988069363
4027,751.6129322995979
4047,743.9852149068555
4062,657.8639677015302
4103,718.0
4114,893.5306374154162
4124,805.5836393572055
4133,599.3680004805061
4165,732.9856751669844
4174,822.1301600111749
4198,878.14577377563
4232,708.9661486982294
4262,659.0
4299,693.230841783601
4326,726.0
4356,866.0808276367743
4365,756.6035950218582
4383,692.6507056229713
4422,715.0
4433,782.5215651980461
4457,839.1811485013233
4479,759.3846192806383
4492,704.7957150834559
4520,804.950309025346
4548,835.5387483534201
4572,767.5206837603791
4591,849.9694112143095
4602,723.581370683353
4642,723.7990052493855
4676,739.114334863017
4686,782.1726152199398
4702,664.1927431100102
4745,722.0110802473879
4770,678.6295012744436
4800,807.4862227926864
4812,757.0165123694462
4833,685.6821421037594
4865,742.7624115422104
4875,720.91955168382
4891,689.98115916306
4937,766.7835418160721
4966,848.0548331328582
4991,824.4974226763841
5020,733.0845790220935
5031,717.9282693974378
5056,715.6905755981421
5087,784.0420907068701
5126,732.7769101165784
5152,664.59386094065
5193,743.1722545951242
5215,717.7436868409224
5242,880.3965015832355
5255,704.8950276459609
5285,766.9035141398167
5301,1112.9964061038113
5318,749.0720926586439
5330,885.2553303990888
5345,665.0
5385,755.4449020279375
5408,700.102849587116
5430,837.4879103605018
5448,692.4738262201685
5464,760.7167672662408
5473,668.0
5484,883.3753449129084
5496,791.1289401861115
5505,682.0
5514,674.2610770317385
5532,696.7302203866285
5568,660.09166030181
5598,754.4832668787294
5620,857.8822763060209
5634,750.014666523262
5667,677.7019994068189
5696,698.1031442415941
5726,712.1186698858555
5751,690.4983707439142
5770,853.7054527177391
5782,856.8780543344543
5792,759.4451922291694
5819,795.9962311468566
5830,779.6569758554078
5847,796.7697283406292
5864,886.2623765003228
5886,663.0
5915,678.9550795155744
5947,685.9453330987827
5976,728.08309965278
5987,641.5083787449701
6013,701.1027028902399
6048,695.6579619324427
6080,716.0090781547397
6108,631.0958722729852
6119,1112.3884213708807
6141,667.0
6169,684.6152203975603
6196,714.6726523381177
6208,717.7436868409224
6236,681.0
6255,934.1161598002681
6269,670.1074540698678
6298,768.1275935676312
6310,884.509468575662
6331,668.0
6340,967.8517448452526
6354,613.5568433323843
6365,653.8845463841457
6385,689.5106960736722
6399,685.5435799422237
6419,1107.2605836026135
