,min
1,2.370508777006173
34,1.4369897762345678
76,1.5003443287037037
118,1.675745563271605
160,1.6179899691358024
201,1.525094039351852
242,1.479191261574074
284,1.5664617091049382
325,1.7366893325617283
368,1.5469839891975308
409,1.4429581404320988
451,1.6589781057098765
493,1.6542664930555555
533,1.5972453703703704
575,1.3605401234567902
616,1.5065359760802468
657,1.7466936728395062
700,1.6252035108024692
740,1.5469565007716048
783,1.526481963734568
824,1.6226673418209876
866,1.6987924382716049
907,1.4818614969135802
948,1.4259297839506173
988,1.6538175154320989
1030,1.6224590084876542
1071,1.6469507137345678
1114,1.4395847800925925
1155,1.5619743441358025
1195,1.74542293595679
1238,1.5957783564814816
1279,1.4920915316358025
1321,1.5645095486111111
1361,1.573584587191358
1402,1.6648051697530863
1444,1.4460329861111112
1485,1.4419825424382715
1526,1.6837094907407408
1568,1.5974262152777778
1609,1.5571638695987655
1650,1.444092399691358
1691,1.528058449074074
1730,1.6714438657407407
1774,1.5498717206790122
1814,1.3661337770061728
1855,1.6096248070987655
1898,1.6466174768518518
1937,1.6424281442901234
1978,1.47304012345679
2020,1.4581520061728395
2060,1.6877199074074074
2101,1.5939438657407408
2143,1.4813228202160493
2183,1.5298533950617283
2225,1.5908863811728395
2267,1.661366222993827
2307,1.5056650270061729
2348,1.4459818672839506
2389,1.631130401234568
2431,1.612920524691358
2470,1.5333912037037036
2512,1.4479933449074074
2554,1.5354600694444445
2596,1.6383738425925927
2635,1.5130507330246914
2676,1.3710185185185184
2716,1.5632171103395063
2758,1.6681327160493826
2798,1.5427425733024691
2840,1.3356028163580247
2881,1.4397005208333333
2920,1.631499324845679
2963,1.543016010802469
3003,1.4529494598765431
3044,1.528065200617284
3085,1.6105116705246914
3124,1.5995896026234568
3167,1.4253110532407407
3208,1.4771387924382715
3248,1.588993537808642
3290,1.5479325810185185
3331,1.405528549382716
3371,1.4536250964506172
3412,1.5486675347222223
3451,1.595173611111111
3494,1.4345466820987653
3535,1.4766758294753086
3575,1.5996812307098764
3617,1.5754224537037036
3658,1.5184514853395061
3698,1.408205536265432
3739,1.557001350308642
3781,1.6298350694444443
3820,1.5044835069444444
3860,1.396532600308642
3902,1.5649117476851853
3943,1.5527961033950617
3982,1.487583912037037
4024,1.3256293402777777
4065,1.5405589313271606
4104,1.592281539351852
4145,1.499522087191358
