buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"0","1108238639",T,81.4,"27","38791",840426.839,819401.265
"1","1108238871",T,14.9,"4","89",840979.184,819314.504
"2","1108240773",T,28.5,"9","432",841090.402,818723.557
"3","1108241372",T,9.4,"3","1444",841032.151,818641.861
"4","1108237905",T,101.8,"33","67214",840557.293,819473.214
"5","1108238058",T,95.9,"31","34033",840704.486,819472.176
"6","1108237990",T,100.7,"33","23108",840672.498,819496.265
"7","1108240928",T,22.3,"7","1825",841090.402,818723.557
"8","1108240912",T,28.5,"9","432",841090.117,818722.813
"9","1108240528",T,120.7,"40","38389",841195.086,818787.305
"10","1108238161",T,42.2,"14","59901",840754.725,819425.590
"11","1108238875",T,14.2,"4","194",840975.903,819319.576
"12","1108241268",T,7.0,"2","624",841067.672,818670.815
"13","1109261478",T,118.8,"39","73145",840841.208,819370.386
"14","1109261349",T,118.7,"39","72814",840841.208,819370.386
"15","1109261323",T,91.2,"30","41755",841342.388,819088.004
"16","1810083359",T,111.6,"37","35807",841293.000,818804.877
"17","1108238145",T,76.3,"25","11191",840636.349,819468.697
"18","1810070514",T,82.2,"27","58533",840425.565,819322.879
"19","1108238654",T,27.7,"9","13024",841011.921,819394.100
"20","1108238922",T,14.1,"4","48",840982.944,819313.754
"21","1108238967",T,28.9,"9","14882",841050.543,819283.284
"22","1810090338",T,80.8,"26","25164",840626.861,819379.130
"23","1108239862",T,43.0,"14","15713",840634.236,819079.193
"24","1108239268",T,191.5,"63","84355",841046.152,819267.892
"25","1108237677",T,8.4,"2","541",840190.537,819564.514
"26","1108237865",T,42.5,"14","13698",840495.438,819525.806
"27","1108239440",T,45.8,"15","6806",840688.459,819205.142
"28","1108240287",T,19.7,"6","6744",841032.323,818948.402
"29","1108240278",T,45.6,"15","27036",841215.506,818942.023
"30","1108240327",T,42.5,"14","25799",841385.580,818880.601
"31","1108240359",T,77.3,"25","48298",841062.547,818911.420
"32","1108240301",T,22.6,"7","6437",841433.920,818920.063
"33","1108238599",T,6.2,"2","122",840377.443,819405.511
"34","1108240411",T,47.1,"15","47847",841013.885,818806.932
"35","1108238638",T,3.5,"1","31",840370.730,819398.187
"36","1108239559",T,42.5,"14","40227",840667.304,819188.051
"37","1108239614",T,47.1,"15","13720",841138.959,819186.021
"38","1108240425",T,29.3,"9","8228",841145.494,818844.004
"39","1108240414",T,55.4,"18","16587",841091.689,818877.408
"40","1108239570",T,49.1,"16","15156",841127.205,819200.487
"41","1108239668",T,42.7,"14","11625",841150.065,819172.527
"42","1108239576",T,46.8,"15","20857",840572.610,819165.063
"43","1108239662",T,46.8,"15","46310",841442.835,819170.724
"44","1108239577",T,45.9,"15","32369",841365.209,819185.606
"45","1108239622",T,39.8,"13","12047",841038.475,819184.087
"46","1108238699",T,26.1,"8","3883",840533.898,819365.100
"47","1108239753",T,46.8,"15","52336",841485.083,819143.213
"48","1108240512",T,45.9,"15","13888",841175.711,818807.933
"49","1108238811",T,15.8,"5","5225",841090.063,819367.290
"50","1108238842",T,43.5,"14","6715",840565.268,819334.284
"51","1108239733",T,47.0,"15","125230",841152.214,819037.449
"52","1108239709",T,46.5,"15","15104",841161.810,819158.375
"53","1108240584",T,37.0,"12","11205",841149.286,818807.980
"54","1108238874",T,22.8,"7","4893",841118.156,819355.265
"55","1108239834",T,46.8,"15","53967",841524.191,819114.812
"56","1108239856",T,46.8,"15","14996",841209.178,819082.052
"57","1108239868",T,42.6,"14","23477",841263.153,819098.658
"58","1108240768",T,49.1,"16","6326",841189.713,818760.957
"59","1108238957",T,44.3,"14","5164",840523.598,819337.628
"60","1108240713",T,3.8,"1","71",840926.545,818777.365
"61","1108239948",T,46.8,"15","52401",841565.228,819089.061
"62","1108239928",T,31.7,"10","20449",840654.200,819056.169
"63","1108239873",T,43.4,"14","60201",840984.581,819043.455
"64","1108239010",T,6.0,"2","267",841119.279,819320.762
"65","1108239968",T,42.9,"14","7603",840752.282,819085.401
"66","1108240843",T,31.5,"10","3892",841203.098,818743.817
"67","1108239085",T,30.4,"10","8880",840612.163,819288.139
"68","1108240055",T,46.4,"15","34913",841203.527,819048.539
"69","1108240040",T,15.9,"5","9190",841101.070,818993.379
"70","1108240011",T,38.3,"12","12286",840937.751,819064.078
"71","1108238237",T,7.9,"2","385",840521.679,819479.989
"72","1108238187",T,21.7,"7","2065",840510.280,819491.817
"73","1108238282",T,34.4,"11","5377",840530.804,819470.651
"74","1108239112",T,4.1,"1","21",840600.969,819296.620
"75","1108239238",T,45.9,"15","5552",840588.857,819273.867
"76","1108240093",T,47.0,"15","86082",841364.752,819021.746
"77","1108240102",T,45.1,"15","19933",840695.598,818997.527
"78","1108239174",T,14.1,"4","1336",841072.902,819269.892
"79","1108240120",T,22.7,"7","5839",840860.942,819001.255
"80","1108240084",T,17.8,"5","2198",840865.955,819044.665
"81","1108240070",T,47.3,"15","17546",840682.597,819014.597
"82","1108240111",T,25.5,"8","9804",841200.707,819006.732
"83","1108240082",T,47.1,"15","28399",841084.506,818979.762
"84","1108238455",T,4.5,"1","29",840755.431,819423.679
"85","1108239170",T,8.5,"2","650",841088.388,819264.837
"86","1108240108",T,5.3,"1","140",841633.709,819034.248
"87","1108240201",T,47.3,"15","52506",841113.583,818974.318
"88","1108240258",T,48.6,"16","19398",840914.790,818938.155
"89","1108240195",T,45.8,"15","5609",841203.506,819048.753
"90","1108239385",T,12.3,"4","1213",841333.911,819239.925
"91","1108240264",T,44.6,"14","28038",841397.078,818982.607
"92","1108240207",T,43.5,"14","11417",841396.229,818983.031
"93","1108240222",T,43.3,"14","114",841396.936,818982.309
"94","1108239467",T,35.0,"11","9795",840782.888,819219.824
"95","1108240228",T,47.5,"15","27394",841235.339,818946.495
"96","1108240256",T,48.6,"16","14686",841416.008,818961.279
"97","1108238284",T,60.2,"20","14242",840601.086,819439.443
"98","1109261328",T,41.4,"13","6402",840575.704,819324.110
"99","1108246750",P,15.0,"5","3685",840507.163,819353.430
"100","1108246861",P,17.9,"5","4722",840956.712,819140.266
"101","1108246773",P,13.9,"4","1954",840687.537,819316.791
"102","1108246807",P,13.1,"4","1448",840610.346,819252.251
"103","1108246831",P,4.0,"1","903",840707.096,819190.327
"104","1108246774",P,14.9,"4","2900",841130.031,819310.973
"105","1108246907",P,13.1,"4","6897",841619.469,819049.218
"106","1108246604",P,15.5,"5","1654",840321.096,819629.815
"107","1109261298",T,83.3,"27","13048",840746.495,819288.215
"108","1810104342",T,115.7,"38","17487",840769.395,819257.947
"109","1108239105",T,27.4,"9","6463",840758.472,819276.483
"110","1108239228",T,34.3,"11","13475",840789.937,819240.670
"111","1109609128",T,42.7,"14","15274",840808.326,819074.345
"112","1108239118",T,36.3,"12","4446",840556.317,819305.671
"113","1810106833",T,83.3,"27","25744",840458.195,819286.149
"114","1108239689",T,29.2,"9","17324",840598.172,819130.780
"115","1108240013",T,41.3,"13","14903",840670.546,819030.740
"116","1108240130",T,37.4,"12","11876",840975.528,819018.578
"117","1108240701",T,44.8,"14","990",841245.768,818767.024
"118","1810099791",T,110.0,"36","18286",841261.312,818773.648
"119","1810099792",P,14.0,"4","3571",841258.782,818776.191
"120","1108239795",T,49.0,"16","20049",840620.761,819096.304
"121","1810088721",T,114.3,"38","31091",841196.629,819318.195
"122","1108239560",T,94.3,"31","36628",841306.653,819169.709
"123","1810070461",P,14.7,"4","12485",840427.177,819324.958
"124","1108240513",T,81.2,"27","14959",841126.970,818834.843
"125","1108239587",T,46.6,"15","13974",841052.166,819195.415
"126","1108238075",T,42.6,"14","11787",840416.424,819502.144
"127","1108238747",T,30.0,"10","13869",841057.963,819379.605
"128","1108238727",T,30.1,"10","3773",840479.917,819379.916
"129","1108238734",T,46.2,"15","7328",840544.347,819354.843
"130","1108238693",T,46.0,"15","5621",840468.946,819390.739
"131","1108238793",T,33.8,"11","5420",840554.879,819344.532
"132","1108239000",T,44.4,"14","10342",840539.952,819321.669
"133","1108239157",T,46.7,"15","5454",840567.156,819295.089
"134","1108239280",T,20.8,"6","2214",840599.783,819263.218
"135","1108239598",T,6.4,"2","283",841325.420,819187.110
"136","1108239590",T,46.0,"15","14013",840723.119,819171.977
"137","1108238679",T,29.8,"9","10403",840765.886,819389.867
"138","1109609281",T,31.6,"10","18709",840938.332,819331.921
"139","1108236886",T,42.6,"14","8592",840237.427,819712.682
"140","1108236794",T,30.5,"10","3305",840217.462,819731.419
"141","1108246854",P,17.4,"5","4655",841011.137,819161.286
"142","1108246851",P,15.3,"5","4660",841024.860,819172.659
"143","1108246872",P,16.3,"5","9292",840949.516,819110.207
"144","1108237585",T,29.2,"9","2941",840334.071,819617.142
"145","1108246584",P,13.8,"4","2514",840343.956,819625.442
"146","1108236814",T,39.5,"13","3183",840252.433,819714.494
"147","1108236913",T,24.6,"8","2446",840264.214,819700.511
"148","1108237147",T,29.8,"9","3529",840305.248,819663.704
"149","1108246477",P,13.0,"4","3487",840207.876,819761.002
"150","1108246554",P,14.0,"4","1383",840291.064,819676.033
"151","1108246502",P,13.0,"4","2709",840232.089,819733.398
