sampleid,x,y,routeid,distance
"0",841139.037,818630.274,"0","0"
"1",841135.796,818634.081,"0","5"
"2",841132.687,818637.997,"0","10"
"3",841129.593,818641.924,"0","15"
"4",841126.499,818645.852,"0","20"
"5",841123.423,818649.794,"0","25"
"6",841120.355,818653.742,"0","30"
"7",841117.307,818657.706,"0","35"
"8",841114.268,818661.676,"0","40"
"9",841111.219,818665.639,"0","45"
"10",841108.094,818669.542,"0","50"
"11",841104.969,818673.445,"0","55"
"12",841101.844,818677.348,"0","60"
"13",841098.719,818681.251,"0","65"
"14",841095.598,818685.158,"0","70"
"15",841092.487,818689.072,"0","75"
"16",841089.376,818692.987,"0","80"
"17",841231.463,819088.080,"1","0"
"18",841227.618,819084.884,"1","5"
"19",841223.772,819081.688,"1","10"
"20",841219.927,819078.492,"1","15"
"21",841216.082,819075.297,"1","20"
"22",841212.236,819072.101,"1","25"
"23",841208.391,819068.905,"1","30"
"24",841204.546,819065.709,"1","35"
"25",841200.700,819062.513,"1","40"
"26",841196.855,819059.318,"1","45"
"27",841193.009,819056.122,"1","50"
"28",841189.164,819052.926,"1","55"
"29",841185.319,819049.730,"1","60"
"30",841181.473,819046.534,"1","65"
"31",841177.628,819043.339,"1","70"
"32",841173.783,819040.143,"1","75"
"33",841169.937,819036.947,"1","80"
"34",841166.092,819033.751,"1","85"
"35",841162.246,819030.555,"1","90"
"36",841158.401,819027.360,"1","95"
"37",841157.089,819026.269,"2","0"
"38",841153.209,819023.115,"2","5"
"39",841149.329,819019.962,"2","10"
"40",841145.449,819016.808,"2","15"
"41",841141.570,819013.654,"2","20"
"42",841137.690,819010.500,"2","25"
"43",841133.810,819007.346,"2","30"
"44",841129.930,819004.192,"2","35"
"45",841126.050,819001.039,"2","40"
"46",841122.170,818997.885,"2","45"
"47",841118.290,818994.731,"2","50"
"48",841114.410,818991.577,"2","55"
"49",841110.531,818988.423,"2","60"
"50",841106.651,818985.270,"2","65"
"51",841102.771,818982.116,"2","70"
"52",841098.891,818978.962,"2","75"
"53",841095.011,818975.808,"2","80"
"54",841091.131,818972.654,"2","85"
"55",841087.251,818969.501,"2","90"
"56",841083.371,818966.347,"2","95"
"57",841079.492,818963.193,"2","100"
"58",841075.612,818960.039,"2","105"
"59",841071.732,818956.885,"2","110"
"60",841067.852,818953.731,"2","115"
