sample_id,x,y,routeid,distance,accessibility
0,841139.037,818630.274,0,0,0.011300748766948893
1,841135.796,818634.081,0,5,0.011458570685946926
2,841132.687,818637.997,0,10,0.011615622411231085
3,841129.593,818641.924,0,15,0.01177189310661736
4,841126.499,818645.852,0,20,0.011927372064504805
5,841123.423,818649.794,0,25,0.012082048638328121
6,841120.355,818653.742,0,30,0.012235912183511126
7,841117.307,818657.706,0,35,0.01238895211119209
8,841114.268,818661.676,0,40,0.012541157838216816
9,841111.219,818665.639,0,45,0.012692518809878671
10,841108.094,818669.542,0,50,0.012850329088157872
11,841104.969,818673.445,0,55,0.013019902944932849
12,841101.844,818677.348,0,60,0.013188599132381875
13,841098.719,818681.251,0,65,0.013356406134801206
14,841095.598,818685.158,0,70,0.013523312474325377
15,841092.487,818689.072,0,75,0.013690213075345271
16,841089.376,818692.987,0,80,0.013857546282426275
17,841231.463,819088.08,1,0,0.0457128685970315
18,841227.618,819084.884,1,5,0.02980626494241541
19,841223.772,819081.688,1,10,0.0301778965588953
20,841219.927,819078.492,1,15,0.03054753672003886
21,841216.082,819075.297,1,20,0.0309151593049797
22,841212.236,819072.101,1,25,0.03128083603973899
23,841208.391,819068.905,1,30,0.031645484754934734
24,841204.546,819065.709,1,35,0.032008037952110886
25,841200.7,819062.513,1,40,0.03236846978676143
26,841196.855,819059.318,1,45,0.03272935224388666
27,841193.009,819056.122,1,50,0.03312331668966053
28,841189.164,819052.926,1,55,0.03313118971544815
29,841185.319,819049.73,1,60,0.03352616719413436
30,841181.473,819046.534,1,65,0.033919930723178664
31,841177.628,819043.339,1,70,0.03431408301043254
32,841173.783,819040.143,1,75,0.03470595163137417
33,841169.937,819036.947,1,80,0.035095508827808805
34,841166.092,819033.751,1,85,0.035482814672995716
35,841162.246,819030.555,1,90,0.03586833109001145
36,841158.401,819027.36,1,95,0.036251453377645924
37,841157.089,819026.269,2,0,0.03638161387614394
38,841153.209,819023.115,2,5,0.022984397050983485
39,841149.329,819019.962,2,10,0.023368182380971696
40,841145.449,819016.808,2,15,0.023750392445757145
41,841141.57,819013.654,2,20,0.024131002402092584
42,841137.69,819010.5,2,25,0.02451747374467384
43,841133.81,819007.346,2,30,0.02366057846553985
44,841129.93,819004.192,2,35,0.023936304615955632
45,841126.05,819001.039,2,40,0.024331012813233223
46,841122.17,818997.885,2,45,0.02472409117916088
47,841118.29,818994.731,2,50,0.02511551392795321
48,841114.41,818991.577,2,55,0.025505255296718606
49,841110.531,818988.423,2,60,0.025893289577402456
50,841106.651,818985.27,2,65,0.026279591102930513
51,841102.771,818982.116,2,70,0.026664134242220146
52,841098.891,818978.962,2,75,0.027046893427292648
53,841095.011,818975.808,2,80,0.027437031209079272
54,841091.131,818972.654,2,85,0.02783607966811594
55,841087.251,818969.501,2,90,0.02823326612166686
56,841083.371,818966.347,2,95,0.026658249124795964
57,841079.492,818963.193,2,100,0.027051803097912726
58,841075.612,818960.039,2,105,0.02744579042776925
59,841071.732,818956.885,2,110,0.02784089447108762
60,841067.852,818953.731,2,115,0.028239371755498698
61,841063.972,818950.578,2,120,0.028636916520024387
62,841060.092,818947.424,2,125,0.029032553550767726
63,841056.212,818944.27,2,130,0.02942625611215766
64,841052.332,818941.116,2,135,0.029817997522642695
65,841089.925,818702.056,3,0,0.025013921720752393
66,841093.135,818698.223,3,5,0.025360931217358256
67,841096.345,818694.389,3,10,0.025706594759931305
68,841099.555,818690.555,3,15,0.026051253277639276
69,841102.765,818686.722,3,20,0.026397055854443338
70,841105.975,818682.888,3,25,0.02674194064855354
71,841109.185,818679.055,3,30,0.027085072459320687
72,841112.379,818675.208,3,35,0.02742642685310345
73,841115.574,818671.362,3,40,0.02776640045197816
74,841118.977,818667.699,3,45,0.028104791290585504
75,841122.38,818664.036,3,50,0.028441331637034644
76,841125.673,818660.276,3,55,0.02878096316887656
77,840752.49,819508.34,4,0,0.004840186984065094
78,840747.628,819509.506,4,5,0.0053233885263659735
79,840742.766,819510.673,4,10,0.005851598478165804
80,840737.904,819511.84,4,15,0.00639313452614628
81,840733.042,819513.006,4,20,0.006934272655473035
82,840728.221,819514.298,4,25,0.0074749812177751515
83,840723.59,819516.184,4,30,0.008015228973612948
