sample_id,x,y,routeid,distance,accessibility
22,841212.236,819072.101,1,25,0.03128083603973899
49,841110.531,818988.423,2,60,0.025893289577402456
105,840622.72,819555.504,5,30,0.019913605657044173
138,841208.642,819320.33,7,10,0.020601868744036488
159,841000.888,818805.562,9,40,0.01845853103771074
212,840882.056,819456.548,12,75,0.002316680240262404
239,840756.693,819506.631,12,210,0.004408679520759028
290,840528.027,819534.92,15,20,0.03049078679248627
394,840862.994,818982.952,23,40,0.015156519487965297
421,841388.404,819215.531,24,5,0.0315322774254242
433,841259.152,819110.302,25,35,0.040589609879226135
458,841312.052,819269.516,27,30,0.017774108289636506
499,841048.761,819391.063,30,115,0.02513433618210592
589,840558.12,819329.285,36,130,0.03570974813060201
632,840553.412,819319.551,37,115,0.013511316264453276
841,840504.357,819601.371,49,10,0.005807401748117404
1015,840710.952,819149.716,57,155,0.002235688917114834
1075,840746.746,819123.595,58,180,0.017649448201799176
1107,841591.574,818915.997,59,45,0.023160658555456456
1210,841464.24,819169.792,67,90,0.02390584082526462
1261,840264.983,819606.235,68,165,0.012372569212413625
1283,840854.694,818978.287,69,35,0.0
1336,840605.495,819096.214,70,225,0.0070932752491451225
1375,840608.676,819100.662,71,95,0.007985444090405615
1495,841330.593,819171.107,76,25,0.02869297334328574
1700,840202.515,819541.009,87,165,0.014014935716473985
1735,840323.227,819414.914,87,340,0.022460345270732367
1754,840590.928,819210.889,88,50,0.0058528497450276145
1804,840871.444,819061.827,90,50,0.029446479953718803
1823,840945.528,819119.944,91,30,0.019729788402500052
1850,841048.027,819207.293,91,165,0.02539453195262484
1868,840769.786,818974.675,92,25,0.022102899026320216
1899,841087.46,818704.968,94,35,0.02475500571681532
1904,840826.466,819362.403,96,5,0.03445462914876779
1938,841371.989,819027.332,97,130,0.028162697450217978
2004,841380.18,818861.775,100,65,0.029872152841458808
2041,841283.331,818783.065,102,75,0.028755923946061634
2062,841186.037,818991.816,103,45,0.01748480388588528
2091,841279.314,818880.801,103,190,0.022218203756241246
2131,840845.738,818926.047,106,40,0.015923053573939427
2175,840767.12,819253.63,111,35,0.02027389652676849
2201,840859.79,819162.458,111,165,0.028607543409203445
2252,840973.12,819039.054,114,80,0.022689700013845925
2308,840993.957,819293.411,116,110,0.03497496522917585
2328,840871.248,819343.885,118,20,0.038219631966195794
2354,841118.105,819223.531,120,85,0.026417586340967237
2373,840749.863,819345.261,121,55,0.034294724651831004
2393,840669.354,819277.669,122,45,0.047103585595290196
2417,841192.95,819134.088,123,60,0.020036784441629554
2437,841093.566,818892.759,125,20,0.019668468971542456
2461,841170.219,818800.433,125,140,0.02497655418097579
2481,840744.412,819420.099,126,55,0.03928000629958736
2491,840708.767,819455.159,126,105,0.04276302157636423
2513,840624.866,819441.322,127,90,0.05032752341351476
2549,840692.09,819332.558,129,130,0.04299991471553815
2567,840438.647,819536.126,130,70,0.004055712873458089
2595,840101.482,819673.679,131,25,0.03171486262594042
2643,840197.428,819536.327,133,50,0.028551966055975653
2665,840411.565,819323.7,134,60,0.0025391202419114424
2694,840515.099,819222.21,134,205,0.004817419016265149
2716,840318.131,819409.371,135,50,0.023312732833008127
2979,840644.75,819368.371,158,90,0.0328147957712382
