id,x,y,routeid,distance,accessibility,occupancy,flow,speed,severity,accRank,sevRank,diff2
632,840553.412,819319.551,37,115,0.020225299,0.136124081,1034.005972,7596.054762,0.266082014,50,57,49
1804,840871.444,819061.827,90,50,0.042826555,0.460813208,516.0894555,1119.953697,0.914854926,25,15,100
105,840622.72,819555.504,5,30,0.030711803,0.226691309,728.6506359,3214.285714,0.70504568,41,34,49
2354,841118.105,819223.531,120,85,0.03872854,0.798195529,275.6646081,345.3597497,0.992453402,29,3,676
2175,840767.12,819253.63,111,35,0.029446195,0.072644132,407.9483265,5615.709304,0.464472138,43,53,100
22,841212.236,819072.101,1,25,0.051517321,0.503899559,1045.603219,2075.023089,0.819176501,11,26,225
1700,840202.515,819541.009,87,165,0.021127651,0.056253457,383.8643679,6823.836038,0.343442541,49,56,49
1283,840854.694,818978.287,69,35,0,0.257666296,960.8936311,3729.217382,0.653460056,62,42,400
2308,840993.957,819293.411,116,110,0.050663192,0.242148276,489.1482656,2020.036131,0.82468507,13,25,144
2252,840973.12,819039.054,114,80,0.035368162,0.409901912,395.0124688,963.675595,0.930510797,33,10,529
239,840756.693,819506.631,12,210,0.008991041,0.166552426,1287.438534,7729.929619,0.252670491,55,58,9
2328,840871.248,819343.885,118,20,0.055671933,0.236441622,790.0118036,3341.255221,0.692325932,8,36,784
1823,840945.528,819119.944,91,30,0.028857091,0.589870834,336.1714474,569.9068813,0.969958371,44,6,1444
841,840504.357,819601.371,49,10,0.008921162,0.105948768,556.3099422,5250.744786,0.50103412,56,51,25
433,841259.152,819110.302,25,35,0.06466221,0.652187895,835.4412754,1280.982493,0.898723133,3,18,225
2491,840708.767,819455.159,126,105,0.061828509,0.102434959,474.3426731,4630.671769,0.563152758,4,47,1849
1495,841330.593,819171.107,76,25,0.04431083,0.514281143,707.974041,1376.628427,0.889141367,23,19,16
458,841312.052,819269.516,27,30,0.02561288,0.139673244,864.4120364,6188.816198,0.407058545,46,55,81
1075,840746.746,819123.595,58,180,0.026397193,0.607991213,611.0732056,1005.06914,0.92636401,45,12,1089
2481,840744.412,819420.099,126,55,0.055667505,0.320123503,1099.706022,3435.255489,0.682909027,9,39,900
2979,840644.75,819368.371,158,90,0.050813042,0.675395046,310.0087107,459.0035308,0.981068619,12,4,64
2062,841186.037,818991.816,103,45,0.03465407,0.298794865,294.7340844,986.4094695,0.928233327,34,11,529
1735,840323.227,819414.914,87,340,0.032519366,0.426261789,250.6174272,587.9425123,0.968151569,37,7,900
2567,840438.647,819536.126,130,70,0.004554057,0.144587719,247.9883747,1715.14134,0.855229294,59,23,1296
138,841208.642,819320.33,7,10,0.030815886,0.154635211,796.0084215,5147.653093,0.5113618,40,49,81
2373,840749.863,819345.261,121,55,0.04859928,0.084253782,95.44166625,1132.787917,0.9135692,15,16,1
2201,840859.79,819162.458,111,165,0.040607523,0.066235319,257.2497661,3883.87603,0.637966422,27,44,289
2643,840197.428,819536.327,133,50,0.04059101,0.092324411,889.6295428,9635.908171,0.061730411,28,61,1089
159,841000.888,818805.562,9,40,0.031938549,0.379078446,1077.607711,2842.703727,0.742270598,39,32,49
290,840528.027,819534.92,15,20,0.046440631,0.276628662,380.8226695,1376.656589,0.889138545,18,20,4
1336,840605.495,819096.214,70,225,0.011626598,0.084561085,670.3175031,7927.021076,0.232925957,53,59,36
212,840882.056,819456.548,12,75,0.002788019,0.212873862,1180.589831,5545.959572,0.471459635,61,52,81
2041,841283.331,818783.065,102,75,0.05606475,0.308125354,816.2604259,2649.118012,0.761663928,7,30,529
2004,841380.18,818861.775,100,65,0.058275935,0.322568125,900.7361786,2792.390537,0.747310951,6,31,625
394,840862.994,818982.952,23,40,0.022541945,0.111119994,1139.213942,10252.10588,0,48,62,196
2665,840411.565,819323.7,134,60,0.003810462,0.301607355,720.0096001,2387.24152,0.787898598,60,29,961
2694,840515.099,819222.21,134,205,0.008178349,0.08113151,347.8492653,4287.474333,0.597534124,57,45,144
1107,841591.574,818915.997,59,45,0.048424644,0.077625025,406.4554692,5236.13963,0.502497258,16,50,1156
2417,841192.95,819134.088,123,60,0.029730799,0.585128791,346.782946,592.6608827,0.967678885,42,8,1156
589,840558.12,819329.285,36,130,0.052152516,0.293075625,1308.32272,4464.113036,0.579838538,10,46,1296
1899,841087.46,818704.968,94,35,0.044322802,0.186087133,916.7722304,4926.575083,0.533509296,22,48,676
1850,841048.027,819207.293,91,165,0.03753289,0.885911169,239.221732,270.0290281,1,30,1,841
2549,840692.09,819332.558,129,130,0.061765115,0.779819733,250.2424638,320.8978348,0.994903986,5,2,9
2091,841279.314,818880.801,103,190,0.044724871,0.209111376,407.0488625,1946.564885,0.832045387,19,24,25
2513,840624.866,819441.322,127,90,0.073583434,0.154089832,572.5930712,3715.969206,0.654787252,1,41,1600
1904,840826.466,819362.403,96,5,0.04881068,0.285912773,619.4989197,2166.740972,0.809988245,14,28,196
1868,840769.786,818974.675,92,25,0.032177162,0.757621951,359.4632016,474.4624955,0.979519947,38,5,1089
1261,840264.983,819606.235,68,165,0.018070393,0.135113705,1103.404162,8166.485847,0.208936483,51,60,81
1938,841371.989,819027.332,97,130,0.043346704,0.371000228,583.4085745,1572.528883,0.869516146,24,21,9
1754,840590.928,819210.889,88,50,0.009739025,0.276859408,180.2252816,650.9631844,0.961838186,54,9,2025
2716,840318.131,819409.371,135,50,0.033870558,0.212115563,719.0245234,3389.77731,0.687465011,35,38,9
2437,841093.566,818892.759,125,20,0.036917878,0.058923674,224.9114411,3816.996236,0.644666409,32,43,121
1210,841464.24,819169.792,67,90,0.033541809,0.536158005,561.4253967,1047.126764,0.922150696,36,14,484
49,841110.531,818988.423,2,60,0.0411864,0.454513207,768.5688198,1690.971369,0.857650631,26,22,16
2461,841170.219,818800.433,125,140,0.047556173,0.085251631,287.5782186,3373.287003,0.689117002,17,37,400
499,841048.761,819391.063,30,115,0.037418712,0.355505908,750.6702413,2111.554898,0.815516761,31,27,16
1015,840710.952,819149.716,57,155,0.004652702,0.335756409,1030.945,3070.514728,0.719448594,58,33,625
2131,840845.738,818926.047,106,40,0.022617838,0.229694265,767.3349764,3340.679736,0.692383584,47,35,144
2393,840669.354,819277.669,122,45,0.067754236,0.445032371,521.8852446,1172.690525,0.909571774,2,17,225
2595,840101.482,819673.679,131,25,0.044596484,0.607767269,611.8898598,1006.783174,0.926192299,21,13,64
1375,840608.676,819100.662,71,95,0.011888267,0.077904972,468.1701018,6009.502204,0.425022141,52,54,4
421,841388.404,819215.531,24,5,0.044698128,0.365093716,1254.590466,3436.351848,0.682799194,20,40,400
