originid,destinationid,distance,duration
1,2,1615,291
1,3,2318,426
1,4,1811,362
1,5,1853,511
1,6,2931,664
1,7,1822,364
1,8,1946,565
1,9,1962,413
1,10,3919,501
1,11,1093,314
1,12,1168,337
1,13,1886,430
1,14,2355,599
1,15,1867,409
1,16,1732,309
1,17,2235,561
1,18,1777,316
1,19,2430,487
1,20,1663,339
1,21,1743,438
1,22,2300,454
1,23,784,174
1,24,1996,477
1,25,1996,477
1,26,602,150
1,27,2031,393
1,28,1664,340
2,1,1666,297
2,3,3285,534
2,4,1471,288
2,5,1571,412
2,6,2889,614
2,7,1482,289
2,8,1664,466
2,9,763,196
2,10,3402,467
2,11,1263,286
2,12,732,173
2,13,1546,356
2,14,2526,559
2,15,668,192
2,16,117,17
2,17,2406,521
2,18,162,24
2,19,2090,412
2,20,464,122
2,21,1283,299
2,22,1960,379
2,23,831,124
2,24,797,259
2,25,797,259
2,26,1013,149
2,27,1691,318
2,28,465,122
3,1,2417,438
3,2,3102,531
3,4,2833,455
3,5,3401,642
3,6,4480,795
3,7,2845,456
3,8,3495,696
3,9,3843,686
3,10,4630,581
3,11,2642,445
3,12,2717,458
3,13,2908,523
3,14,3904,729
3,15,3748,682
3,16,2984,512
3,17,3783,692
3,18,2928,503
3,19,3452,579
3,20,3543,611
3,21,3291,577
3,22,3322,547
3,23,2665,446
3,24,3876,749
3,25,3876,749
3,26,2483,422
3,27,3054,485
3,28,3545,612
4,1,2438,541
4,2,2275,480
4,3,3667,614
4,5,2574,591
4,6,3083,648
4,7,11,1
4,8,2668,645
4,9,2962,632
4,10,2827,412
4,11,1815,394
4,12,1890,408
4,13,1417,327
4,14,3077,679
4,15,2943,672
4,16,2157,462
4,17,2956,641
4,18,2101,452
4,19,619,124
4,20,2738,602
4,21,2464,526
4,22,489,92
4,23,2686,549
4,24,3071,740
4,25,3071,740
4,26,2504,524
4,27,220,30
4,28,2740,602
5,1,1290,312
5,2,893,236
5,3,3125,538
5,4,1248,278
5,6,2064,427
5,7,1259,279
