sampleid,x,y,accessibility
1,839274.419603877,822398.2818876031,0.0006079220091728465
2,838869.6105353847,823048.3118241056,0.000809785610710135
3,840233.5059021874,821563.7442691983,0.00043205482134597145
4,838126.4494095386,821926.6144650398,0.0004760764463366744
5,838264.4764452723,822767.2761587315,0.0006526639662171403
6,838372.1197252995,822717.6368231607,0.0007230863373616262
7,838129.1708941904,821911.3112262818,0.0004772912968466971
8,838434.5666004663,823003.6408025807,0.00083528742019207
9,838802.0382912504,823414.1914853338,0.0005609824202705288
10,837319.5196958737,821901.7340138122,0.00011133346255586007
11,838391.2663526518,822666.1144338675,0.0006947379593110253
12,838707.0119812634,822709.0707352551,0.0008235385490832417
13,838424.5665733089,822321.6224829318,0.0004888752252018245
14,837685.4229472976,822835.2368501937,0.00012794735708847316
15,838771.9900396634,823038.5510567025,0.000909308372308196
16,838775.5237467815,823035.5839285848,0.0009075171050050818
17,837807.9508053089,822871.2042201414,0.0001912675131810401
18,838706.9618369453,823027.6554284324,0.0009472078706329331
19,838250.2273498145,821821.6309627983,0.0004799258464601567
20,838893.3555469264,823101.2693361922,0.000759883136933599
21,838506.0040615997,823216.2290626098,0.0007372774836480999
22,838195.8140321082,821734.1656740434,0.0004458944060072238
23,839532.4492146472,822639.703148491,0.0004883434695549243
24,838915.0575683472,823052.6714084847,0.0007501173891036211
25,838915.0575683472,823052.6714084847,0.0007501173891036211
26,839499.4927175699,822455.9093578436,0.0005734906832944252
27,838086.3050172395,821740.0213853922,0.00042403881570840355
28,838894.5055590294,823123.0400454926,0.0007506900029441007
