originid,destinationid,distance,duration
1,2,2867,2196
1,3,2074,1638
1,4,2400,1785
1,5,3313,2613
1,6,1834,1462
1,7,1615,1211
1,8,1676,1302
1,9,1480,1235
1,10,1043,766
1,11,1973,1550
1,12,3106,2394
1,13,2183,1703
1,14,1676,1302
1,15,1732,1348
1,16,1043,766
1,17,2332,1964
1,18,3106,2394
1,19,1485,1175
1,20,2014,1581
1,21,1489,1101
1,22,1043,766
1,23,2888,2156
1,24,846,595
1,25,1642,1268
1,26,1674,1331
1,27,1939,1452
1,28,2055,1611
1,29,1487,1262
1,30,1043,766
1,31,1588,1229
1,32,1043,766
1,33,1930,1436
1,34,1477,1233
1,35,2073,1565
1,36,1326,1000
1,37,2050,1522
1,38,2164,1632
1,39,1487,1262
1,40,1130,831
1,41,2050,1522
1,42,2511,1984
1,43,896,679
1,44,1649,1274
1,45,1043,766
1,46,3106,2394
1,47,705,631
1,48,1043,766
1,49,3106,2394
1,51,1389,1043
1,52,1982,1483
1,53,3106,2394
1,54,1712,1318
1,55,1188,892
1,56,1441,1197
1,57,1486,1262
1,58,1756,1393
1,59,1114,818
1,60,1497,1126
1,61,1578,1216
1,62,1649,1274
1,63,1823,1427
1,64,1674,1331
1,65,565,424
1,66,1188,892
1,67,295,256
1,68,2073,1565
1,69,1330,1002
1,70,1785,1380
1,71,3106,2394
1,72,2266,1788
1,73,2014,1581
1,74,1063,778
1,75,3106,2394
1,76,1043,766
1,77,1716,1359
1,78,1073,810
1,79,1389,1176
1,80,3106,2394
1,81,477,433
1,82,2221,1672
1,83,295,256
1,84,2014,1581
1,86,600,415
2,1,2871,2215
2,3,1844,1494
2,4,1138,825
2,5,695,600
2,6,2047,1662
2,7,1291,953
2,8,1837,1439
2,9,2384,1960
2,10,1912,1479
2,11,1210,883
2,12,488,397
2,13,1910,1486
2,14,1837,1439
2,15,1682,1270
2,16,1912,1479
2,17,1261,1070
2,18,488,397
2,19,3935,3053
2,20,1200,873
2,21,3939,2980
2,22,1912,1479
2,23,829,605
2,24,3294,2471
2,25,1778,1386
2,26,1243,910
2,27,1194,907
2,28,1198,871
2,29,2335,1920
2,30,1912,1479
2,31,1870,1459
2,32,1912,1479
2,33,1039,770
2,34,2386,1962
2,35,798,569
2,36,1545,1135
2,37,1159,856
2,38,822,588
2,39,2335,1920
2,40,2280,1748
2,41,1159,856
2,42,1642,1378
2,43,1975,1451
2,44,1785,1391
2,45,1912,1479
2,46,488,397
2,47,3281,2625
2,48,1912,1479
2,49,488,397
2,51,2125,1584
2,52,1134,862
2,53,488,397
2,54,1670,1291
2,55,2290,1679
2,56,2210,1783
2,57,2335,1920
2,58,2033,1635
2,59,2296,1758
2,60,1408,1045
2,61,1842,1431
2,62,1785,1391
2,63,1874,1483
2,64,1243,910
2,65,2623,2035
2,66,2290,1679
2,67,2859,2247
2,68,798,569
2,69,1575,1169
2,70,1629,1225
2,71,488,397
2,72,1887,1540
2,73,1200,873
2,74,2116,1631
2,75,488,397
2,76,1912,1479
2,77,1202,879
2,78,1792,1324
2,79,2448,2014
2,80,488,397
2,81,3041,2424
2,82,636,449
2,83,2859,2247
2,84,1200,873
2,86,3227,2440
3,1,2140,1605
3,2,1840,1423
3,4,1899,1424
3,5,2000,1586
3,6,449,368
3,7,1448,1139
3,8,440,313
3,9,842,712
3,10,1108,884
3,11,738,572
3,12,1516,1191
3,13,336,239
3,14,440,313
3,15,567,446
3,16,1108,884
3,17,1096,985
3,18,1516,1191
3,19,3480,2674
3,20,779,602
3,21,3483,2600
3,22,1108,884
3,23,1974,1496
3,24,2840,2093
3,25,428,296
3,26,850,654
3,27,1752,1347
3,28,820,633
3,29,861,721
3,30,1108,884
3,31,587,426
3,32,1108,884
3,33,1362,1079
3,34,845,714
3,35,1306,991
3,36,1346,1070
3,37,1481,1164
3,38,1330,1010
3,39,861,721
3,40,1010,752
3,41,1481,1164
3,42,627,492
3,43,1629,1276
3,44,421,292
3,45,1108,884
3,46,1516,1191
3,47,1832,1463
3,48,1108,884
3,49,1516,1191
3,51,2074,1603
3,52,1735,1337
3,53,1516,1191
3,54,430,330
3,55,2023,1562
3,56,761,621
3,57,861,721
3,58,434,349
3,59,1026,763
3,60,1471,1161
3,61,576,413
3,62,421,292
3,63,275,199
3,64,850,654
3,65,1808,1341
3,66,2023,1562
3,67,1906,1479
3,68,1306,991
3,69,1351,1073
3,70,515,402
3,71,1516,1191
3,72,382,296
3,73,779,602
3,74,1045,792
3,75,1516,1191
3,76,1108,884
3,77,809,622
3,78,1603,1256
3,79,933,785
3,80,1516,1191
3,81,1724,1361
3,82,1407,1062
3,83,1906,1479
3,84,779,602
3,86,2594,1913
4,1,2305,1819
4,2,1138,884
4,3,1899,1570
4,5,1585,1301
4,6,2103,1737
4,7,798,625
4,8,1892,1514
4,9,2439,2035
4,10,1547,1248
4,11,1282,974
4,12,1378,1098
4,13,1966,1561
4,14,1892,1514
4,15,1737,1346
4,16,1547,1248
4,17,1512,1284
4,18,1378,1098
4,19,3102,2461
4,20,1323,1004
4,21,3106,2387
4,22,1547,1248
4,23,914,679
4,24,2461,1879
4,25,1833,1461
4,26,1296,978
4,27,520,394
4,28,1363,1035
4,29,2390,1995
4,30,1547,1248
4,31,1926,1534
4,32,1547,1248
4,33,734,582
4,34,2442,2037
4,35,787,580
4,36,1215,929
4,37,616,486
4,38,878,647
4,39,2390,1995
4,40,1902,1549
4,41,616,486
4,42,2315,1891
4,43,1409,1054
4,44,1840,1467
4,45,1547,1248
4,46,1378,1098
4,47,2703,2226
4,48,1547,1248
4,49,1378,1098
4,51,1293,987
4,52,442,359
4,53,1378,1098
4,54,1726,1366
4,55,1457,1084
4,56,2266,1859
4,57,2390,1995
4,58,2088,1710
4,59,1886,1537
4,60,915,716
4,61,1897,1506
4,62,1840,1467
4,63,1929,1559
4,64,1296,978
4,65,2259,1804
4,66,1457,1084
4,67,2293,1850
4,68,787,580
4,69,1082,840
4,70,1685,1301
4,71,1378,1098
4,72,2069,1695
4,73,1323,1004
4,74,1752,1400
4,75,1378,1098
4,76,1547,1248
4,77,1254,946
4,78,1232,926
4,79,2504,2090
4,80,1378,1098
4,81,2475,2027
4,82,715,520
4,83,2293,1850
4,84,1323,1004
4,86,2395,1847
5,1,3317,2525
5,2,695,492
5,3,2006,1633
5,4,1585,1132
5,6,2335,1910
5,7,1737,1263
5,8,2283,1748
5,9,2728,2254
5,10,2359,1789
5,11,1657,1193
5,12,202,140
5,13,1783,1427
5,14,2283,1748
5,15,2128,1580
5,16,2359,1789
5,17,1708,1380
5,18,202,140
5,19,4382,3363
5,20,1647,1183
5,21,4385,3289
5,22,2359,1789
5,23,1275,913
5,24,3740,2781
5,25,2225,1695
5,26,1690,1220
5,27,1640,1215
5,28,1644,1181
5,29,2781,2230
5,30,2359,1789
5,31,2317,1769
5,32,2359,1789
5,33,1486,1080
5,34,2731,2257
5,35,1245,879
5,36,1991,1444
5,37,1605,1166
5,38,1269,898
5,39,2781,2230
5,40,2727,2057
5,41,1605,1166
5,42,1372,1167
5,43,2422,1760
5,44,2231,1701
5,45,2359,1789
5,46,202,140
5,47,3728,2934
5,48,2359,1789
5,49,202,140
5,51,2572,1889
5,52,1580,1170
5,53,202,140
5,54,2021,1566
5,55,2737,1989
5,56,2657,2093
5,57,2781,2230
5,58,2321,1892
5,59,2743,2068
5,60,1854,1354
5,61,2288,1740
5,62,2231,1701
5,63,2162,1740
5,64,1690,1220
5,65,3070,2344
5,66,2737,1989
5,67,3305,2557
5,68,1245,879
5,69,2021,1478
5,70,2076,1535
5,71,202,140
5,72,1618,1329
5,73,1647,1183
5,74,2563,1941
5,75,202,140
5,76,2359,1789
5,77,1649,1189
5,78,2238,1634
5,79,2819,2327
5,80,202,140
5,81,3487,2734
5,82,1083,759
5,83,3305,2557
5,84,1647,1183
5,86,3674,2750
6,1,1834,1359
6,2,2043,1553
6,3,449,350
6,4,2103,1553
6,5,2315,1838
6,7,1651,1268
6,8,336,233
6,9,485,413
6,10,1059,776
6,11,941,702
6,12,1831,1442
6,13,615,462
6,14,336,233
6,15,657,470
6,16,1059,776
6,17,1299,1115
6,18,1831,1442
6,19,3174,2428
6,20,982,732
6,21,3178,2354
6,22,1059,776
6,23,2177,1626
6,24,2534,1848
6,25,349,240
6,26,1053,783
6,27,1955,1477
6,28,1023,762
6,29,505,423
6,30,1059,776
6,31,445,318
6,32,1059,776
6,33,1565,1208
6,34,488,416
6,35,1510,1121
6,36,1520,1162
6,37,1684,1294
6,38,1533,1140
6,39,505,423
6,40,704,506
6,41,1684,1294
6,42,942,743
6,43,1802,1367
6,44,343,235
6,45,1059,776
6,46,1831,1442
6,47,1476,1168
6,48,1059,776
6,49,1831,1442
6,51,2247,1694
6,52,1938,1466
6,53,1831,1442
6,54,470,324
6,55,2196,1654
6,56,405,327
6,57,505,423
6,58,78,57
6,59,720,517
6,60,1691,1288
6,61,476,338
6,62,343,235
6,63,174,124
6,64,1053,783
6,65,1502,1095
6,66,2196,1654
6,67,1550,1185
6,68,1510,1121
6,69,1524,1164
6,70,682,495
6,71,1831,1442
6,72,697,548
6,73,982,732
6,74,959,721
6,75,1831,1442
6,76,1059,776
6,77,1012,752
6,78,1776,1348
6,79,576,486
6,80,1831,1442
6,81,1368,1066
6,82,1610,1192
6,83,1550,1185
6,84,982,732
6,86,2289,1668
7,1,1615,1300
7,2,1286,1015
7,3,1448,1272
7,4,798,616
7,5,1733,1432
7,6,1651,1439
7,8,1459,1225
7,9,1783,1570
7,10,749,624
7,11,830,677
7,12,1526,1212
7,13,1514,1264
7,14,1459,1225
7,15,1285,1048
7,16,749,624
7,17,1216,1086
7,18,1526,1212
7,19,2661,2113
7,20,871,707
7,21,2665,2039
7,22,749,624
7,23,1286,985
7,24,2020,1531
7,25,1426,1191
7,26,784,661
7,27,325,241
7,28,912,737
7,29,1734,1531
7,30,749,624
7,31,1372,1153
7,32,749,624
7,33,369,271
7,34,1786,1573
7,35,492,384
7,36,432,323
7,37,488,356
7,38,584,451
7,39,1734,1531
7,40,1104,925
7,41,488,356
7,42,1863,1594
7,43,719,535
7,44,1432,1197
7,45,749,624
7,46,1526,1212
7,47,2012,1707
7,48,749,624
7,49,1526,1212
7,51,851,639
7,52,368,272
7,53,1526,1212
7,54,1274,1068
7,55,1016,739
7,56,1712,1477
7,57,1734,1531
7,58,1692,1444
7,59,1088,912
7,60,117,91
7,61,1361,1139
7,62,1432,1197
7,63,1477,1261
7,64,784,661
7,65,1460,1179
7,66,1016,739
7,67,1602,1332
7,68,492,384
7,69,284,215
7,70,1233,1003
7,71,1526,1212
7,72,1618,1398
7,73,871,707
7,74,953,776
7,75,1526,1212
7,76,749,624
7,77,803,649
7,78,517,382
7,79,1727,1530
7,80,1526,1212
7,81,1784,1509
7,82,641,490
7,83,1602,1332
7,84,871,707
7,86,1953,1500
8,1,1742,1321
8,2,1832,1399
8,3,439,366
8,4,1892,1400
8,5,2241,1801
8,6,349,318
8,7,1440,1115
8,9,630,575
8,10,710,601
8,11,730,548
8,12,1757,1405
8,13,606,476
8,14,0,0
8,15,446,317
8,16,710,601
8,17,1089,962
8,18,1757,1405
8,19,3081,2390
8,20,771,579
8,21,3085,2316
8,22,710,601
8,23,1967,1472
8,24,2442,1810
8,25,111,78
8,26,843,630
8,27,1744,1324
8,28,812,609
8,29,649,585
8,30,710,601
8,31,189,142
8,32,710,601
8,33,1354,1055
8,34,633,577
8,35,1299,967
8,36,1171,985
