sampleid,x,y,accessibility
1,839274.419603877,822398.2818876031,2.5436432954589687
2,838869.6105353847,823048.3118241056,2.324510734080129
3,840233.5059021874,821563.7442691983,2.3782841481150863
4,838126.4494095386,821926.6144650398,1.006754505946813
5,838264.4764452723,822767.2761587315,1.2841711366239932
6,838372.1197252995,822717.6368231607,1.5595906105388886
7,838129.1708941904,821911.3112262818,0.962584444226823
8,838434.5666004663,823003.6408025807,1.8703062511779511
9,838802.0382912504,823414.1914853338,1.104027302409016
10,837319.5196958737,821901.7340138122,0.7098728679096054
11,838391.2663526518,822666.1144338675,1.3757516624451622
12,838707.0119812634,822709.0707352551,1.5870670446247386
13,838424.5665733089,822321.6224829318,1.2469098522279718
14,837685.4229472976,822835.2368501937,1.1235429640116972
15,838771.9900396634,823038.5510567025,1.814041663865096
16,838775.5237467815,823035.5839285848,1.5504313842965147
17,837807.9508053089,822871.2042201414,0.654521629912632
18,838706.9618369453,823027.6554284324,1.7176290103599414
19,838250.2273498145,821821.6309627983,0.6181270344705527
20,838893.3555469264,823101.2693361922,1.367158073503671
21,838506.0040615997,823216.2290626098,1.0684535657278675
22,838195.8140321082,821734.1656740434,1.0630803884803612
23,839532.4492146472,822639.703148491,0.9966395469251856
24,838915.0575683472,823052.6714084847,1.1729183165413806
25,838915.0575683472,823052.6714084847,1.7919247847913105
26,839499.4927175699,822455.9093578436,1.3230741308609952
27,838086.3050172395,821740.0213853922,0.9700773311431656
28,838894.5055590294,823123.0400454926,1.3808961788657321
29,838776.317518214,823095.5249459193,0.5335394274536539
30,838874.5014416911,822386.6930509607,0.5923342937405942
31,838517.9436599249,822784.2422817225,0.985012632700662
32,838874.5014416911,822386.6930509607,0.5923342937405942
33,838126.4494095386,821926.6144650398,0.5269933463084653
34,838780.1354001848,823118.7024139027,0.5101611050629141
35,838046.8835115066,822068.0689920898,0.46184516528636355
36,838518.3982227087,822207.7338440932,0.5164104940900521
37,838064.4963423244,821826.5692386071,0.5653717266791712
38,838053.8326172119,822106.8602400023,0.4279287398556123
39,838776.317518214,823095.5249459193,0.5335394274536539
40,838687.5962300379,822696.532487715,0.8250573038941222
41,838064.4963423244,821826.5692386071,0.5653717266791712
42,837681.0658421172,822832.4459290652,0.15452653652793577
43,838892.9415465796,822017.9819784214,0.45043026356708915
44,838431.9185883403,822787.1312855837,0.999045487480994
45,838874.5014416911,822386.6930509607,0.5923342937405942
46,837335.0897643432,822139.615847435,0.7176290103599413
47,839588.3762570133,822631.6424421342,0.6038275106162506
48,838874.5014416911,822386.6930509607,0.5923342937405942
49,837335.0897643432,822139.615847435,0.7176290103599413
51,838951.2058160341,821849.5309131711,0.30101721543394605
52,838231.392919136,821681.2167162966,0.5408598049698731
53,837335.0897643432,822139.615847435,0.7176290103599413
54,838317.0626588335,822697.4867439173,0.9325941728848675
55,839157.5082283512,821795.7508179706,0.42541214523179427
56,838735.9685207034,823032.8092015409,0.6298974445053972
57,838778.2850001886,823095.4809705135,0.5308694494462618
58,838460.5854050929,823013.964970188,0.8656680081786347
59,838707.0119812634,822709.0707352551,0.8067486343540515
60,838471.770147157,822014.7825800938,0.43901083942090857
61,838508.4605798593,822754.8296853387,0.9908326285667739
62,838431.9185883403,822787.1312855837,0.999045487480994
63,838412.7612832665,822915.88024424,0.9493051711067021
64,838366.9694373984,822411.3099017823,0.7176202478487971
65,839274.419603877,822398.2818876031,0.9035452511006239
66,839157.5082283512,821795.7508179706,0.42541214523179427
67,839483.6700337232,822455.0644823048,0.8210601759191521
68,838046.8835115066,822068.0689920898,0.46184516528636355
69,838562.9294121346,822153.1148228339,0.46359565083838383
70,838266.8953240601,822542.4068905558,0.8055598878413797
71,837335.0897643432,822139.615847435,0.7176290103599413
72,837927.3596629148,822881.2159321246,0.5296241196846257
73,838060.1868102403,822479.2072837495,0.5649232520955273
74,838663.9794328685,822538.6428470577,0.749129309958176
75,837335.0897643432,822139.615847435,0.7176290103599413
76,838874.5014416911,822386.6930509607,0.5923342937405942
77,838327.2972653585,822345.83806144,0.6255768027769195
78,838718.5128445245,822027.4434082103,0.3788521851161524
79,838868.7245753093,823110.1572086492,0.3847830254403417
80,837335.0897643432,822139.615847435,0.7176290103599413
81,839532.4492146472,822639.703148491,0.6174634976716019
82,837915.3268579873,821923.8554226395,0.5613138790003606
83,839483.6700337232,822455.0644823048,0.8210601759191521
84,838060.1868102403,822479.2072837495,0.5649232520955273
86,839477.364064212,821865.2445041542,0.642187342650997
