buildingid,gfa,height,x,y,buildingnameid,lastupdated,buildingname
1108225180,1939.447,10.9,840378.767,821605.546,,,
1108247512,33356.409,112.9,837389.006,821561.698,1109616423,01/07/2014,Mei Yan House
1108221709,1337.485,13.2,839211.208,822445.769,1109617866,01/07/2014,Chi Lin Nunnery Scripture Library
1108221866,166.52,8.9,840210.056,822402.482,,,
1108221698,326.461,8.3,839180.867,822453.269,1109617853,01/07/2014,Pu Tong Ta
1108221808,2016.646,15,839195.014,822417.748,1109617858,01/07/2014,Chi Lin Nunnery Main Hall
1108222196,197.168,4.6,838269.822,822285.18,,,
1108222045,6095.298,27,839505.606,822338.247,,,
1108221903,144.41,17.1,839663.957,822392.588,,,
1108223705,80.762,4.4,837684.62,821917.33,,,
1108222552,20904.163,68.2,838597.541,822190.7,1109617679,01/07/2014,Midas Plaza
1108220959,693.359,29.6,837836.692,822770.076,,,
1108221949,3245.362,10.1,839252.388,822363.618,1109617885,01/07/2014,Chi Lin Centre
1108220823,104.188,5.1,838007.885,822829.315,1109617330,01/07/2014,Chuk Yuen Market Central A/C Substation
1108223260,12204.306,74.9,838114.094,822026.264,1109617371,01/07/2014,Kai Tak Garden Block 3
1108222983,124.962,4.9,837640.558,822102.611,,,
1108223010,16567.543,90.8,838427.708,822089.681,1109617558,01/07/2014,Win Plaza
1108223569,25774.913,42.1,838130.295,821918.4,1109617375,01/07/2014,San Po Kong Mansion
1108221535,987.412,12,839053.609,822509.269,,,
1108220301,728.194,6.9,838258.967,823207.173,1109617429,01/07/2014,Diamond Hill Fresh Water and Salt Water Pumping Station
1108221125,489.45,22.3,837856.586,822700.048,,,
1108222553,111.825,4.7,837850.882,822202.871,,,
1108222458,20031.54,74.2,838079.345,822203.61,1109617354,01/07/2014,Lung Wah House
1108222465,25554.607,76,837806.312,822212.61,1109617142,01/07/2014,Lung Wo House
1108222650,25356.13,72.9,837876.066,822165.047,1109617211,01/07/2014,Lung Moon House
1108222588,6283.206,23.6,837993.94,822181.233,1109617310,01/07/2014,C.C.C. Kei Heep Secondary School
1108222633,20097.372,74.6,838127.999,822169.576,1109617374,01/07/2014,Lung Shun House
1108222582,148.814,4,838041.103,822195.614,,,
1108222737,20391.927,75.3,838175.286,822138.122,1109617394,01/07/2014,Lung Chak House
1108222741,19454.113,74.8,838028.141,822137.683,1109617336,01/07/2014,Lung Hong House
1108222885,16836.803,99.1,838082.06,822119.464,1109617356,01/07/2014,Kai Tak Garden Block 4
1108222872,97.379,5.4,838135.778,822129.444,,,
1108223076,17369.551,104.3,838147.533,822074.786,1109617379,01/07/2014,Kai Tak Garden Block 1
1108223161,17392.738,104.1,838130.827,822050.515,1109617376,01/07/2014,Kai Tak Garden Block 2
1108223088,13702.717,83,838049.361,822072.054,1109617344,01/07/2014,Kai Tak Garden Block 5
1108223187,3017.227,7.4,837616.292,822022.83,,,
1108223242,7090.902,18.5,838028.626,822022.824,1109617340,01/07/2014,Confucian Tai Shing Primary School
1108223269,45643.53,119.5,837575.508,822014.173,1109616788,01/07/2014,Hong Keung Court
1108223358,6833.748,21.6,838082.18,821992.294,1109617355,01/07/2014,Kei Tak Primary School
1108223560,5286.96,23.3,838268.233,821936.916,1109617441,01/07/2014,Hong Kong Examination And Assessment Authority
1108223604,31546.263,80.8,837850.007,821922.325,1109617193,01/07/2014,Kwai Tung House
1108223612,18347.062,69,837913.894,821923.908,1109617270,01/07/2014,Yue Tung House
1108223680,19800.025,74.2,837982.46,821908.174,1109617323,01/07/2014,Fu Tung House
1108223727,17294.584,68.5,838019.064,821896.694,1109617334,01/07/2014,Tai Tung House
1108223939,9541.59,37.2,837826.125,821860.09,1109617167,01/07/2014,Wing Tung House
1108223873,32600.113,81.7,837909.667,821859.542,1109617268,01/07/2014,Chun Tung House
1108223965,17865.106,68.7,837983.817,821842.81,1109617318,01/07/2014,Yiu Tung House
1108223903,17682.423,28.4,837494.304,821852.567,1109616626,01/07/2014,The Hong Kong Buddhist Hospital Block A
1108224210,9741.604,36.5,837823.988,821806.112,1109617163,01/07/2014,Wai Tung House
1108224171,4410.72,8.7,837903.334,821802.599,1109617257,01/07/2014,Tung Tau(II)Estate Multi-storey Car Park
1108224442,2454.062,13.9,837906.624,821762.331,1109617260,01/07/2014,Chi Tak Public School
1108224473,9738.038,36.4,837799.277,821752.638,1109617126,01/07/2014,Pak Tung House
1108224513,9009.729,51.1,838202.351,821741.279,1109617410,01/07/2014,Shung Ling Building Block A
1108224677,9006.276,51.8,838240.933,821714.561,1109617420,01/07/2014,Shung Ling Building Block B
