sampleid,x,y,accessibility,accessibility_relative
1,839274.4196,822398.2819,0.000607922,0.641804221
2,838869.6105,823048.3118,0.000809786,0.854918583
3,840233.5059,821563.7443,0.000432055,0.456135168
4,838126.4494,821926.6145,0.000476076,0.502610315
5,838264.4764,822767.2762,0.000652664,0.689039847
6,838372.1197,822717.6368,0.000723086,0.763387172
7,838129.1709,821911.3112,0.000477291,0.503892875
8,838434.5666,823003.6408,0.000835287,0.881841722
9,838802.0383,823414.1915,0.000560982,0.592248479
10,837319.5197,821901.734,0.000111333,0.117538574
11,838391.2664,822666.1144,0.000694738,0.733458812
12,838707.012,822709.0707,0.000823539,0.869438034
13,838424.5666,822321.6225,0.000488875,0.516122427
14,837685.4229,822835.2369,0.000127947,0.135078435
15,838771.99,823038.5511,0.000909308,0.959988193
16,838775.5237,823035.5839,0.000907517,0.958097091
17,837807.9508,822871.2042,0.000191268,0.201927707
18,838706.9618,823027.6554,0.000947208,1
19,838250.2273,821821.631,0.000479926,0.50667426
20,838893.3555,823101.2693,0.000759883,0.802234821
21,838506.0041,823216.2291,0.000737277,0.778369254
22,838195.814,821734.1657,0.000445894,0.470746095
23,839532.4492,822639.7031,0.000488343,0.515561034
24,838915.0576,823052.6714,0.000750117,0.791924785
25,838915.0576,823052.6714,0.000750117,0.791924785
26,839499.4927,822455.9094,0.000573491,0.605453883
27,838086.305,821740.0214,0.000424039,0.447672395
28,838894.5056,823123.04,0.00075069,0.792529313
