BUILDINGID,gfa,height,x,y
"1108225180",1939.447,10.900,840378.767,821605.546
"1108247512",33356.409,112.900,837389.006,821561.698
"1108221709",1337.485,13.200,839211.208,822445.769
"1108221866",166.520,8.900,840210.056,822402.482
"1108221698",326.461,8.300,839180.867,822453.269
"1108221808",2016.646,15.000,839195.014,822417.748
"1108222196",197.168,4.600,838269.822,822285.180
"1108222045",6095.298,27.000,839505.606,822338.247
"1108221903",144.410,17.100,839663.957,822392.588
"1108223705",80.762,4.400,837684.620,821917.330
"1108222552",20904.163,68.200,838597.541,822190.700
"1108220959",693.359,29.600,837836.692,822770.076
"1108221949",3245.362,10.100,839252.388,822363.618
"1108220823",104.188,5.100,838007.885,822829.315
"1108223260",12204.306,74.900,838114.094,822026.264
"1108222983",124.962,4.900,837640.558,822102.611
"1108223010",16567.543,90.800,838427.708,822089.681
"1108223569",25774.913,42.100,838130.295,821918.400
"1108221535",987.412,12.000,839053.609,822509.269
"1108220301",728.194,6.900,838258.967,823207.173
"1108221125",489.450,22.300,837856.586,822700.048
"1108222553",111.825,4.700,837850.882,822202.871
"1108222458",20031.540,74.200,838079.345,822203.610
"1108222465",25554.607,76.000,837806.312,822212.610
"1108222650",25356.130,72.900,837876.066,822165.047
"1108222588",6283.206,23.600,837993.940,822181.233
"1108222633",20097.372,74.600,838127.999,822169.576
"1108222582",148.814,4.000,838041.103,822195.614
"1108222737",20391.927,75.300,838175.286,822138.122
"1108222741",19454.113,74.800,838028.141,822137.683
"1108222885",16836.803,99.100,838082.060,822119.464
"1108222872",97.379,5.400,838135.778,822129.444
"1108223076",17369.551,104.300,838147.533,822074.786
"1108223161",17392.738,104.100,838130.827,822050.515
"1108223088",13702.717,83.000,838049.361,822072.054
"1108223187",3017.227,7.400,837616.292,822022.830
"1108223242",7090.902,18.500,838028.626,822022.824
"1108223269",45643.530,119.500,837575.508,822014.173
"1108223358",6833.748,21.600,838082.180,821992.294
"1108223560",5286.960,23.300,838268.233,821936.916
"1108223604",31546.263,80.800,837850.007,821922.325
"1108223612",18347.062,69.000,837913.894,821923.908
"1108223680",19800.025,74.200,837982.460,821908.174
"1108223727",17294.584,68.500,838019.064,821896.694
"1108223939",9541.590,37.200,837826.125,821860.090
"1108223873",32600.113,81.700,837909.667,821859.542
"1108223965",17865.106,68.700,837983.817,821842.810
"1108223903",17682.423,28.400,837494.304,821852.567
"1108224210",9741.604,36.500,837823.988,821806.112
"1108224171",4410.720,8.700,837903.334,821802.599
"1108224442",2454.062,13.900,837906.624,821762.331
"1108224473",9738.038,36.400,837799.277,821752.638
"1108224513",9009.729,51.100,838202.351,821741.279
"1108224677",9006.276,51.800,838240.933,821714.561
"1108224858",19339.878,73.500,837970.102,821680.041
"1108224773",10271.940,36.400,837830.144,821696.094
"1108224783",15425.675,36.700,837896.201,821662.393
"1108224908",14526.085,27.400,838083.336,821647.687
"1108225033",10473.283,68.200,838201.288,821637.946
"1108224999",10417.311,71.000,838230.858,821647.378
"1108225089",10676.756,36.300,837806.213,821630.973
"1108225086",26905.563,68.800,837977.078,821623.559
"1108225286",6874.598,25.900,838125.268,821561.951
"1108225527",8773.140,25.900,838166.764,821513.694
"1108224587",35629.307,112.900,838599.162,821722.920
"1108223924",41024.942,107.400,840514.446,821849.381
"1108224188",41024.952,107.800,840536.605,821796.274
"1108225072",158.093,3.300,837820.037,821643.539
"1810035263",196.249,5.800,839272.469,822888.265
"1108221183",796.309,5.000,838048.165,822655.305
"1108220819",20240.559,96.800,838851.380,822814.971
"1108220977",7657.915,24.200,837333.044,822759.170
"1108220939",12832.414,60.200,837275.542,822768.828
"1108221045",25281.820,100.500,837364.895,822712.694
"1108221032",24569.698,100.800,837198.851,822718.143
"1108221102",25234.630,102.300,837254.060,822691.331
"1108221131",26059.212,102.600,837155.614,822678.243
"1108221139",25658.745,101.000,837409.794,822675.350
"1108221114",79.263,5.300,837295.190,822702.172
"1108221704",971.175,6.500,839253.474,822444.975
"1108221427",15403.969,31.000,837484.069,822537.281
"1108221438",82.761,5.600,837435.862,822561.169
"1108221542",11675.021,18.200,837121.776,822499.109
"1108221490",6661.436,17.700,837417.277,822525.173
"1108221804",2771.841,12.700,839229.999,822412.410
"1108221606",1520.122,18.800,837155.271,822479.458
"1108221572",22146.923,102.000,837071.593,822489.493
"1108221699",14216.320,68.000,837032.864,822443.717
"1108221926",13612.244,65.200,837040.099,822373.648
"1108221928",15349.510,73.100,837123.488,822372.890
"1108220437",2373.914,12.800,839290.743,823082.505
"1108220427",7838.604,23.600,839139.337,823070.501
"1108220410",36321.917,98.500,838718.473,823083.139
"1108220432",1513.937,11.400,839108.306,823091.752
"1108220429",6451.055,15.600,839226.057,823091.596
"1108220407",2275.598,23.800,838830.554,823098.916
"1108220458",3255.994,23.700,839106.646,823071.913
"1108220403",36324.514,98.600,838645.636,823088.256
"1108220512",14089.682,62.800,838717.429,823025.471
"1108222044",15319.513,73.000,837149.279,822331.615
"1108221997",17351.123,61.000,837494.771,822358.084
"1108222004",13667.976,65.700,836998.963,822350.795
"1108222151",17349.588,61.800,837492.761,822300.711
"1108222177",15330.479,72.700,837115.243,822289.266
"1108222311",20610.937,98.700,837216.464,822254.330
"1108222309",21878.966,58.500,837399.860,822262.923
"1108221657",325.893,5.300,839605.770,822465.202
"1108220492",115.218,4.900,838616.102,823051.323
"1108220479",10617.965,20.100,839246.329,823036.573
"1108220499",18418.063,27.500,839308.523,823014.802
"1108220578",14587.970,28.200,839089.130,822964.727
"1108222403",2024.718,7.900,837141.475,822226.932
"1108222483",21270.846,99.100,837215.063,822209.106
"1108224440",213.293,3.600,837810.970,821766.118
"1108220574",4544.257,16.700,839199.800,822975.173
"1108220716",17790.862,27.700,839052.512,822844.342
"1108220674",52106.142,97.500,838774.771,822865.619
"1108221004",52421.961,97.700,838885.169,822719.153
"1108220741",39435.112,97.600,838645.606,822829.729
"1108220708",14590.583,28.000,839187.449,822851.577
"1108220809",11331.403,23.300,839120.084,822811.831
"1108220940",52525.345,97.600,838810.132,822752.639
"1108220988",72.701,5.800,839532.908,822757.548
"1108221005",23560.987,62.500,838714.928,822719.559
"1108221158",203.398,5.800,839559.004,822676.157
"1108221009",554.770,6.700,839535.046,822735.615
"1108221166",650.159,4.800,839534.142,822663.598
"1108221092",23672.680,62.500,838648.893,822698.366
"1108221192",32105.288,61.500,839590.450,822624.207
"1108221179",29672.351,55.300,839505.157,822629.514
"1108221331",27240.383,110.000,838724.937,822589.797
"1108221324",27076.067,110.600,838669.312,822596.506
"1108221360",26619.128,108.900,838773.503,822575.037
"1108221310",26989.814,110.100,838608.315,822602.047
"1108221468",22376.477,133.700,838834.730,822537.521
"1108221376",7970.699,21.600,839542.995,822573.788
"1108221463",23141.361,133.800,838868.655,822540.416
"1108221450",23750.853,109.700,839437.061,822543.272
"1108221545",23828.185,109.100,839450.674,822505.293
"1810044605",19357.262,108.300,840096.974,822196.098
"1810044562",21655.422,107.500,840028.907,822296.695
"1810044582",19312.465,107.500,840047.070,822272.626
"1810044603",18258.761,107.500,840064.321,822246.743
"1108221640",22939.000,109.400,839466.236,822466.059
"1108221573",1024.230,13.100,838867.872,822494.847
"1108221634",1028.676,13.600,838899.505,822474.610
"1108221681",21936.560,110.200,839430.140,822450.359
"1108221713",23839.362,109.200,839391.716,822439.543
"1108221747",15539.331,79.800,839353.682,822430.531
"1810045882",313.934,10.900,838708.119,822534.851
"1108221878",9049.690,13.300,839383.793,822366.752
"1108221836",17944.195,100.800,839447.965,822402.635
"1108221841",8075.761,75.800,839601.836,822407.271
"1108221800",8067.127,76.600,839568.408,822421.478
"1108221951",79.154,5.900,839631.225,822379.364
"1108221884",250.590,5.700,839362.770,822394.258
"1108221882",8175.934,76.200,839638.266,822391.866
"1108222065",718.595,13.100,839338.015,822333.969
"1108222117",2920.509,19.900,839358.737,822312.569
"1108222139",1023.427,7.000,839445.579,822299.598
"1108222451",3411.649,14.700,839476.536,822217.209
"1108224865",2778.597,19.200,838165.648,821673.805
"1109609274",29727.935,145.000,837879.063,821318.303
"1108220864",1038.687,10.500,838173.786,822798.557
"1108220870",238.826,7.500,838181.477,822813.552
"1108220975",29017.858,105.500,837815.982,822745.234
"1108221176",11622.426,18.500,837630.375,822634.820
"1108221474",23052.425,45.400,837841.454,822541.520
"1108221609",24612.114,58.300,838115.912,822473.449
"1108221745",3991.247,17.100,838061.354,822433.623
"1108221741",4886.473,16.500,837975.393,822428.851
"1109609190",25095.857,58.000,837989.274,822471.866
"1108219866",108.480,4.000,840315.662,824196.315
"1108219864",259.000,4.200,840192.335,824194.795
"1108220669",12556.761,27.200,838869.955,822875.144
"1810035302",236.288,6.100,839254.315,822836.105
"1108220859",1053.228,3.600,837245.983,822797.134
"1108224261",12713.853,83.300,838234.786,821790.951
"1108224429",7428.758,74.500,838277.156,821757.333
"1108224392",12681.119,83.300,838216.728,821764.823
"1108224560",7396.581,74.500,838263.335,821737.353
"1108219959",25136.440,115.300,838594.454,823624.548
"1108219951",25794.690,117.300,838553.708,823640.314
"1108219858",111.849,4.800,840417.793,824238.694
"1108220553",1590.297,20.800,838519.967,822998.459
"1108220510",511.085,12.500,838613.492,823032.040
"1108220498",11915.905,66.400,837476.830,823038.031
"1108220256",44970.362,107.900,838572.540,823224.237
"1108220349",25346.791,114.300,838845.292,823172.039
"1108220363",25347.341,114.400,839035.708,823158.805
"1108220315",42195.067,107.700,838464.632,823183.834
"1108220663",3874.995,21.700,838678.611,822895.621
"1108220612",543.638,24.400,838435.680,822961.671
"1108220597",75.993,5.500,838302.935,822975.151
"1108220606",439.329,23.000,838436.590,822967.782
"1108220649",1617.991,22.200,838666.740,822920.719
"1108220648",2602.812,11.400,838263.449,822922.559
"1108219982",27437.383,74.300,838666.617,823573.305
"1108219974",25159.530,115.100,838538.909,823599.669
"1108219996",30252.161,58.900,838752.248,823554.113
"1108220480",51044.908,98.600,837838.480,823026.885
"1108220357",25348.746,114.200,838892.686,823168.753
"1108220365",25347.344,114.200,838987.510,823162.178
"1108220579",51679.450,98.200,837794.363,822962.026
"1108220631",962.612,25.700,838415.011,822922.087
"1108220749",342.231,21.500,838334.701,822849.404
"1108220763",332.328,22.100,838371.850,822848.974
"1108220717",3266.984,10.300,838028.846,822856.200
"1108220671",635.295,22.500,838455.712,822901.535
"1108220752",266.616,17.300,838362.288,822849.369
"1108220025",49415.363,112.700,838942.396,823480.476
"1108220047",20634.084,97.300,838597.233,823443.938
"1108220083",20702.023,97.000,838579.878,823386.790
"1108220141",91.090,4.700,838563.763,823332.399
"1108220147",116.738,3.200,838785.450,823327.032
"1108220082",272.929,12.200,837993.561,823399.954
"1108220213",174.655,5.300,839175.745,823258.024
"1108220360",25340.652,114.200,838940.089,823165.472
"1108220625",4676.447,14.600,837981.987,822938.466
"1108220575",52841.621,99.000,837676.017,822957.455
"1108220607",1496.129,22.600,838460.814,822959.857
"1108220666",107.180,3.300,836974.728,822905.305
"1108220577",1888.516,22.000,838534.011,822978.541
"1108220608",596.761,23.900,838685.011,822963.915
"1108220632",270.013,6.500,838337.929,822942.060
"1108220642",1101.729,24.800,838432.793,822926.354
"1108220610",13530.764,21.300,838318.617,822951.289
