rand_point_id,x,y
"0",840647.040574254,822070.621918181
"1",838709.281303406,823927.982919482
"2",837289.227778627,821871.069506068
"3",838836.665952276,823840.54642841
"4",836904.045078734,823366.900424576
"5",840739.434198239,822723.252352053
"6",840075.515896351,821710.856878393
"7",840374.344687395,824226.097089087
"8",837313.930851482,822223.030632452
"9",840069.365535435,822131.767622696
"10",840651.497320246,824112.05805965
"11",840196.072603468,824171.524152945
"12",838775.314481012,822641.660801486
"13",840074.191284032,823227.670441067
"14",840255.565073598,822840.344862354
"15",837118.46022204,822444.152249291
"16",839923.084083376,822616.645512385
"17",838274.545738497,822278.799292831
"18",840929.039630817,821757.859320951
"19",839303.788500032,821821.84807224
"20",839344.500015914,821701.594459109
"21",838165.709038135,823083.673814845
"22",837914.265146511,821345.309759498
"23",838031.427171947,821739.363976279
"24",837477.051979942,822056.197588114
"25",839212.563408842,822805.243883687
"26",839753.876001913,821824.911461004
"27",837867.495463226,823724.971441648
"28",840929.053158529,822644.576594036
"29",840605.851441629,822293.158619716
"30",839518.17842775,821772.573598454
"31",838065.791848762,822690.28612339
"32",840769.638346069,823065.959054911
"33",840301.819994088,821692.044020217
"34",837735.28017981,822535.84884192
"35",836867.931637855,823171.612481309
"36",838596.398004158,822011.961539859
"37",840697.254310951,823030.694928784
"38",838757.435675716,823343.874753102
"39",837896.198009175,821569.783004081
"40",837397.071430177,822744.453264015
"41",839652.397520032,823208.537609148
"42",838768.376370931,823180.635539467
"43",839737.176210414,822438.316799693
"44",840768.812662194,823799.574999705
"45",840219.212458279,824206.025917565
"46",838484.704821563,823631.626161857
"47",838319.823326418,822542.676783846
"48",840122.405818941,822127.784625559
"49",840716.164436579,822397.0717302
"50",840169.237557628,824187.637896905
"51",839427.324265103,823878.551754697
"52",837736.214566339,823365.81905901
"53",840043.327082409,823783.741195647
"54",839255.878436361,821899.85209904
"55",837441.455421534,822394.290383214
"56",837171.273896701,823466.540915647
"57",839689.313340259,821870.004743843
"58",838961.404759528,822569.383382179
"59",837502.275541849,823212.277432313
"60",837344.436160833,821804.178622939
"61",837956.35579816,823483.905286227
"62",840088.817709123,821887.222119333
"63",839336.880490236,823838.9955613
"64",837910.667785966,822247.637846727
"65",837263.222818509,823011.718529463
"66",837130.052533686,822905.781843576
"67",840834.708321424,821695.560901837
"68",840600.202220126,822911.422325585
"69",838191.387275055,822601.129264865
"70",838549.442726428,822380.620717233
"71",839874.61744711,822630.555936018
"72",840458.629823153,823896.079173162
"73",839668.762472247,823498.160419328
"74",840931.899292962,821944.377009493
"75",840713.013943748,822183.829380795
"76",840631.035736166,823598.883590829
"77",838798.395612603,823568.981235763
"78",840352.941666755,824099.395573976
"79",837552.920708762,822125.038852173
"80",839156.894163592,821951.84170381
"81",839333.884422229,823326.109692421
"82",837919.064357856,821991.193581775
"83",839182.439587055,822563.942149236
"84",839240.752678604,822724.483477736
"85",840285.457866749,821828.53661443
"86",839242.204594543,821943.540145521
"87",836997.237707373,823277.352002238
"88",839050.8366433,823676.439856954
"89",837789.394871832,823332.593758299
"90",839896.00101622,823385.403431972
"91",838870.42936457,822327.094710363
"92",838014.894535447,822321.135779926
"93",839996.496614863,822809.511080439
"94",840787.463366907,822742.144114143
"95",838234.698624652,821521.941498008
"96",840701.163815436,823935.527372046
"97",838688.524851844,823368.483765283
"98",838708.713524804,823258.038273745
"99",839314.075560783,823290.807319153
"100",840013.790305511,823533.169007091
"101",839598.697709803,821846.670770804
"102",837300.249271961,823050.4546198
"103",838345.540482516,821547.784089371
"104",837494.315054674,821966.875542528
"105",840126.522230441,824192.985307222
"106",840669.028085868,822379.810974189
