typeCode,estateName,phaseName,address,nUnitPrice,postMinNUnitPrice,postMaxNUnitPrice,unitPrice,postMinUnitPrice,postMaxUnitPrice,minOpDate,maxOpDate,phaseCount,buildingCount,unitCount,blgHeight,lat,lng
3-YAPPWPPJPW,日出康城,,康城路1號,14623,11443,27463,14623,9245,20705,2008-12-01T00:00:00,2022-04-30T00:00:00,16,66,19267,54,22.29596486,114.2719867
3-VOOFFRFARR,嘉湖山莊,,天湖路1號,10533,9221,26304,10533,7030,19863,1991-12-19T00:00:00,1997-12-22T00:00:00,6,58,15842,35,22.45297382,114.0007762
3-UDDCFRDSRR,美孚新邨,,百老匯街22-24號,13335,7475,33006,13335,8162,13455,1968-10-09T00:00:00,1978-05-16T00:00:00,8,99,13115,20,22.33685208,114.1402104
3-OVDUURFSRJ,太古城,,太古灣道,18764,14605,56797,18764,12593,47561,1976-12-08T00:00:00,1987-05-13T00:00:00,9,61,12696,24,22.28617121,114.2181635
3-XSHNIHSXHT,沙田第一城,,得利街4號,16790,11489,21408,16790,9627,17671,1980-10-01T00:00:00,1987-10-28T00:00:00,7,52,10642,33,22.38679293,114.2036078
3-MZDIIHHAHN,黃埔花園,,必嘉街121號,15862,13974,21609,15862,12814,19251,1985-12-05T00:00:00,1991-01-09T00:00:00,10,88,10285,0,22.30438166,114.1901119
3-SDDSGPWAPK,海怡半島,,海怡路6號,16290,14358,51630,16290,11258,41215,1991-11-22T00:00:00,1995-03-28T00:00:00,4,34,9812,35,22.24351319,114.1485094
2-KEPPWPPRPA,山景邨,,鳴琴路1號,4416,10453,11173,4416,,,1983-03-01T00:00:00,1986-03-01T00:00:00,0,9,8645,3,22.39668062,113.9652747
3-LIDHTHXXHT,愉景灣,,大嶼山,10242,8535,26266,10242,7299,21352,1982-06-26T00:00:00,2021-07-31T00:00:00,18,647,8521,6,22.29585993,114.0170634
2-BESPWPPXPD,朗屏邨,,朗屏路1號,5164,5577,10874,5164,,,1986-07-01T00:00:00,1989-05-01T00:00:00,0,15,8491,0,22.44926712,114.0231544
3-EWAPBPKEPP,麗港城,,麗港街1號,14062,13342,23211,14062,10651,18634,1990-12-21T00:00:00,1994-12-09T00:00:00,4,38,8069,25,22.30683969,114.2273506
2-ABPPWPPJPS,長安邨,,擔杆山路1號,6321,,,6321,,,1987-12-01T00:00:00,1989-03-01T00:00:00,0,10,7338,0,22.36140154,114.1009121
2-SDPPWPPAPK,利東邨,,利東邨道5號,8051,,,8051,,,1987-01-01T00:00:00,1988-07-01T00:00:00,0,8,7268,0,22.24157254,114.1545824
2-DEPPWPPHPG,太和邨,,大埔太和路12號,8329,,,8329,,,,,0,9,6913,0,22.45100123,114.1622435
2-KEPPWPPSPA,良景邨,,田景路31號,4814,5381,10620,4814,,,1988-02-01T00:00:00,1990-08-01T00:00:00,0,8,6852,3,22.40712616,113.9632194
3-YAPPWPPEPG,新都城,,貿業路8號,16336,14286,23292,16336,10177,16593,1996-12-23T00:00:00,2000-04-01T00:00:00,3,21,6768,38,22.32226109,114.2568823
2-EYPPWPPRPS,竹園北邨,,穎竹街8號,5773,14447,14447,5773,,,1987-10-01T00:00:00,1989-09-01T00:00:00,0,8,6736,0,22.34603041,114.1936009
2-EYPPWPPEPA,東頭(二)邨,,東頭村道183號,9126,,,9126,,,1982-01-01T00:00:00,1993-03-01T00:00:00,0,20,6613,12,22.33495911,114.1917456
2-SBYYBPEVPG,康怡花園,,康愉街31-45號,17472,13556,45510,17472,11058,35968,1985-12-19T00:00:00,1987-06-23T00:00:00,0,32,6612,0,22.28193641,114.2158625
2-BSPPBPSEPP,天盛苑,,天靖街3號,7987,9593,12711,7987,9397,9483,1999-12-28T00:00:00,2000-02-24T00:00:00,0,17,6580,0,22.44812651,114.0026378
2-EWPPWPPEPK,翠屏(北)邨,,翠屏道19號,5598,10158,13718,5598,,,,1994-10-01T00:00:00,0,13,6460,26,22.31483996,114.2300031
2-SGKEPPGYPE,杏花邨,,盛泰道100號,16531,14286,20000,16531,12257,17056,1986-09-08T00:00:00,1989-11-10T00:00:00,0,48,6323,21,22.27612227,114.2396041
2-BSPPGPSEPP,天頌苑,,天榮路3號,7115,7844,11730,7115,6152,8772,1999-12-16T00:00:00,2001-04-23T00:00:00,0,15,6080,0,22.4607401,114.0008927
3-AEESBPPSPA,麗城花園,,青山公路荃灣段530-625號,11967,10755,16484,11967,8906,14184,1987-07-14T00:00:00,1991-04-09T00:00:00,3,19,6016,0,22.37180488,114.1012463
2-DBSPWPPHPD,恆安邨,,恆錦街1號,6117,11287,12147,6117,,,,,0,7,5936,4,22.41727385,114.228556
