1st 200m 1st point _3432516207T20050430_IFC Mall (Hong Kong Station),3432516207T20050430,IFC Mall (Hong Kong Station),國際金融中心商場（香港站）,3.8,Photogrammetry,34.400002,Photogrammetry,30.600002,x
2nd 200m 1st point _3430115966T20050430_World-wide House,3430115966T20050430,World-wide House,環球大廈,3.7,Photogrammetry,109.0,3D Project,105.3,x
2nd 200m 2nd point_3437915919T20050430_Chater House,3437915919T20050430,Chater House,遮打大廈,3.7,Photogrammetry,127.5,Photogrammetry,123.8,x
3rd 200m 1st point _3445915874T20050430_Mandarin Oriental Hotel,3445915874T20050430,Mandarin Oriental Hotel,文華東方酒店,3.7,Photogrammetry,83.400002,Photogrammetry,79.700002,x
3rd 200m 2nd point_3442015820T20050430_Prince's Building,3442015820T20050430,Prince's Building,太子大廈,3.7,Photogrammetry,84.099998,3D Project,80.399998,x
4th 200m 1st point _3463015827T20050430_The Hong Kong Club Building,3463015827T20050430,The Hong Kong Club Building,香港會所大廈,4.0,LiDAR,91.900002,Photogrammetry,87.900002,x
4th 200m 2nd point_3468115836P20130111_,3468115836P20130111,,,4.7,Building Plan,54.200001,Photogrammetry,49.500001,x
6th 200m 1st point_3491115582T20050430_Lippo Centre Tower 1,3491115582T20050430,Lippo Centre Tower 1,力寶中心第一座,16.5,Photogrammetry,187.300003,3D Project,170.800003,x
6th 200m 2nd point _3488615525T20050430_The High Court,3488615525T20050430,The High Court,高等法院,14.0,Photogrammetry,106.400002,Photogrammetry,92.400002,x
7th 200m 1st point _3507115501T20050430_United Centre,3507115501T20050430,United Centre,統一中心,22.9,Photogrammetry,140.399994,3D Project,117.49999399999999,x
7th 200m 2nd point_3504015440T20090312_,3504015440T20090312,,,21.299999,Photogrammetry,26.700001,Photogrammetry,5.400002000000001,x
8th 200m 1st point __,,,,0,No data,0,No data,0,x
9th 200m 1st point _3544515469T20190110_One Hennessy,3544515469T20190110,One Hennessy,,18.9,Building Plan,152.800003,Building Plan,133.900003,x
9th 200m 3rd point _3543015417T20050430_Wing Cheong Building,3543015417T20050430,Wing Cheong Building,永昌大廈,4.5,LiDAR,51.5,3D Project,47.0,x
9th 200m 4th point _3545215413T20050430_OZO Wesley,3545215413T20050430,OZO Wesley,遨舍衛蘭軒,19.5,Photogrammetry,75.699997,Photogrammetry,56.199996999999996,x
10th 200m 1st point_3565715434T20050430_Sze Bo Building,3565715434T20050430,Sze Bo Building,四寶大廈,3.3,LiDAR,52.299999,Photogrammetry,48.999999,x
10th 200m 2nd point_3561215438T20050430_Kew Green Hotel Wanchai Hong Kong,3561215438T20050430,Kew Green Hotel Wanchai Hong Kong,香港灣仔睿景酒店,3.3,LiDAR,60.900002,Photogrammetry,57.600002,x
10th 200m 4th point _3564415394T20050430_Shanghai Industrial Investment Building,3564415394T20050430,Shanghai Industrial Investment Building,上海實業大廈,18.700001,Photogrammetry,88.099998,Photogrammetry,69.399997,x
11th 200m 1st point _3584215428T20050430_China Overseas Building,3584215428T20050430,China Overseas Building,中國海外大廈,18.200001,Photogrammetry,112.5,3D Project,94.299999,x
11th 200m 2nd point_3581515434T20050430_,3581515434T20050430,,軒尼詩大樓,3.5,LiDAR,53.299999,3D Project,49.799999,x
11th 200m 3rd point_3583415391T20050430_Southorn Centre,3583415391T20050430,Southorn Centre,修頓中心,3.8,LiDAR,118.900002,Photogrammetry,115.100002,x
11th 200m 4th point _3586115392P20050722_,3586115392P20050722,,,3.6,LiDAR,17.1,Photogrammetry,13.500000000000002,x
12th 200m 1st point_3606415453T20050430_Kwong Tak Mansion,3606415453T20050430,Kwong Tak Mansion,廣德大廈,3.7,LiDAR,47.0,Photogrammetry,43.3,x
12th 200m 2nd point _3602415449T20050430_Tung Wah Mansion,3602415449T20050430,Tung Wah Mansion,東華大廈,3.5,LiDAR,68.199997,3D Project,64.699997,x
12th 200m 3rd point_3603915415T20050430_Hang Seng Wanchai Building,3603915415T20050430,Hang Seng Wanchai Building,恒生灣仔大廈,3.5,LiDAR,51.200001,Photogrammetry,47.700001,x
12th 200m 4th point_3606915418T20050430_Jade House,3606915418T20050430,Jade House,玉滿樓,3.5,LiDAR,55.0,Photogrammetry,51.5,x
13th 200m 1st point_3627815479T20050430_Kwong Wah Mansion,3627815479T20050430,Kwong Wah Mansion,光華大廈,3.6,LiDAR,58.700001,Photogrammetry,55.100001,x
13th 200m 2nd point_3624615482T20050430_Chong Hing Building,3624615482T20050430,Chong Hing Building,祥興大廈,3.7,LiDAR,55.400002,3D Project,51.700002,x
14th 200m 2nd point_3643715527T20050430_Ying Lee Building,3643715527T20050430,Ying Lee Building,英利大廈,3.7,LiDAR,64.400002,Photogrammetry,60.700002,x
15th 200m 1st point_3665215605T20050430_BOC Wan Chai Commercial Centre,3665215605T20050430,BOC Wan Chai Commercial Centre,中銀灣仔商業中心,3.4,LiDAR,80.199997,Photogrammetry,76.79999699999999,x
15th 200m 2nd point_3662315592T20050430_Eastern Commercial Centre,3662315592T20050430,Eastern Commercial Centre,東區商業大廈,3.4,LiDAR,74.699997,Photogrammetry,71.29999699999999,x
15th 200m 3rd point_3662515555T20050430_Opulent Building,3662515555T20050430,Opulent Building,德興大廈,16.4,Photogrammetry,78.300003,Photogrammetry,61.900003000000005,x
15th 200m 4th point_3668115577T20050430_Yau Kwong Building,3668115577T20050430,Yau Kwong Building,友光大廈,3.8,LiDAR,57.799999,Photogrammetry,53.999999,x
16th 200m 1st point_3681715671T20050430_Kin Tak Fung Commercial Building,3681715671T20050430,Kin Tak Fung Commercial Building,建德豐商業大廈,3.5,LiDAR,67.0,Photogrammetry,63.5,x
16th 200m 2nd point _3682615634T20050430_Kam Cheung Building,3682615634T20050430,Kam Cheung Building,錦祥樓,4.1,LiDAR,26.0,3D Project,21.9,x
16th 200m 4th point_3685815649T20050430_Thai Kong Building,3685815649T20050430,Thai Kong Building,泰港大廈,3.8,LiDAR,67.300003,3D Project,63.50000300000001,x
17th 200m 1st point_3705015716T20050430_East Point Centre (New Wing),3705015716T20050430,East Point Centre (New Wing),東角中心（新翼）,19.0,Building Plan,86.900002,Building Plan,67.900002,x
17th 200m 2nd point_3702715678T20050430_The Goldmark,3702715678T20050430,The Goldmark,黃金廣場,3.9,LiDAR,88.900002,Photogrammetry,85.000002,x
