W0NE,General Post Office
W0SE,Jardine House
W0SW,Two Exchange Square
W0NW,IFC Mall
W1NE,
W1SE,Chater House
W1SW,
W1NW,World Wide House
W2NE,61-65 DES VOEUX ROAD CENTRAL
W2SE,55 DES VOEUX ROAD CENTRAL
W2SW,42 DES VOEUX ROAD CENTRAL
W2NW,48 DES VOEUX ROAD CENTRAL
W3NE,Dah Sing Life Building
W3SE,Hang Seng Bank Headquarters
W3SW,Central 88
W3NW,Hung Tak Building
W4NE,Nan Fung Tower
W4SE,
W4SW,Cheungs Building
W4NW,Li Po Chun Chambers
W5NE,Blissful Building
W5SE,238 DES VOEUX ROAD CENTRAL
W5SW,Tung Hip Commercial Building
W5NW,Tung Ning Building
W6NE,Kai Tak Commercial Building
W6SE,FWD Financial Centre
W6SW,Western Exchange Building
W6NW,Western Market
W7NE,
W7SE,21 CONNAUGHT ROAD WEST
W7SW,B2B Centre (Connaught Harbourfront House)
W7NW,
W8NE,9 DES VOEUX ROAD WEST
W8SE,Kingdom Power Commercial Building
W8SW,Western Centre
W8NW,Sing Kui Commercial Building
W9NE,108 DES VOEUX ROAD WEST
W9SE,
W9SW,ava128
W9NW,Lucky Commerical Centre
W10NE,Tak Tung House
W10SE,Luen Tak Building
W10SW,Wai Tak Building
W10NW,Wing Fat Mansion
W11NE,Tak May House
W11SE,Tung Che Commercial Centre
W11SW,Ching Tak Building
W11NW,251 DES VOEUX ROAD WEST
W12NE,295 DES VOEUX ROAD WEST
W12SE,290 DES VOEUX ROAD WEST
W12SW,Merit Court
W12NW,Bohemian House
W13NE,Kwan Yick Building Phase 2 Shopping Arcade
W13SE,Chung Ah Mansion
W13SW,Lucky Building
W13NW,Upton (???)
W14NE,Lun Fung Court
W14SE,408 DES VOEUX ROAD WEST
W14SW,Pacific Plaza
W14NW,"Hong Kong Plaza, 188 Connaught Road West"
W15NE,
W15SE,Mei Sun Lau
W15SW,Hong Kong Industrial Building
W15NW,
W16NE,Wo Fat Building
W16SE,Sum Way Mansion
W16SW,
W16NW,
