街段–大合併組,Large Street Block Group,街段–大合併組,Large Street Block Group,lsbg
街段–大合併組（英文名稱）,Name of Large Street Block Group (in English),街段–大合併組（英文名稱）,Name of Large Street Block Group (in English),lsbg_eng
街段–大合併組（中文名稱）,Name of Large Street Block Group (in Chinese),街段–大合併組（中文名稱）,Name of Large Street Block Group (in Chinese),lsbg_chi
總人口,Total population,總人口,Total population,t_pop
  按性別劃分的人口,Population  by sex,男性,Male ,pop_m
  按性別劃分的人口,Population  by sex,女性,Female,pop_f
性別比率（即男性數目與每千名女性相對的比率）,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),性別比率（即男性數目與每千名女性相對的比率）,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),sr
 按年齡組別劃分的人口,Population by age group,15歲以下,< 15 ,age_1
 按年齡組別劃分的人口,Population by age group,15至24歲,15 - 24,age_2
 按年齡組別劃分的人口,Population by age group,25至44歲,25 - 44,age_3
 按年齡組別劃分的人口,Population by age group,45至64歲,45 - 64,age_4
 按年齡組別劃分的人口,Population by age group,65歲及以上,65+ ,age_5
按出生地點劃分的人口,Population by place of birth,香港,Hong Kong,born_hk
按出生地點劃分的人口,Population by place of birth,中國內地／澳門／台灣,The mainland of China/ Macao/ Taiwan,born_chi
按出生地點劃分的人口,Population by place of birth,其他地方,Elsewhere,born_else
按種族劃分的人口,Population by ethnicity,華人,Chinese,ethn_chi
按種族劃分的人口,Population by ethnicity,菲律賓人,Filipino,ethn_phi
按種族劃分的人口,Population by ethnicity,印尼人,Indonesian,ethn_ind
按種族劃分的人口,Population by ethnicity,白人,White,ethn_wh
按種族劃分的人口,Population by ethnicity,其他(1),Others(1),ethn_oth
按婚姻狀況劃分的15歲及以上人口,Population aged 15 and over by marital status,曾經結婚,Ever married,ms_em
按婚姻狀況劃分的15歲及以上人口,Population aged 15 and over by marital status,從未結婚,Never married,ms_nm
按慣用交談語言劃分的5歲及以上人口(2),Population aged 5 and over by usual spoken language(2),廣州話,Cantonese,ul_can
按慣用交談語言劃分的5歲及以上人口(2),Population aged 5 and over by usual spoken language(2),普通話,Putonghua,ul_put
按慣用交談語言劃分的5歲及以上人口(2),Population aged 5 and over by usual spoken language(2),其他中國方言,Other Chinese dialects,ul_othchi
按慣用交談語言劃分的5歲及以上人口(2),Population aged 5 and over by usual spoken language(2),英語,English,ul_eng
按慣用交談語言劃分的5歲及以上人口(2),Population aged 5 and over by usual spoken language(2),其他語言,Other languages,ul_oth
按教育程度（最高就讀程度）劃分的15歲及以上人口,Population aged 15 and over by educational attainment (highest level attended),小學及以下,Primary and below,edu_pri_be
按教育程度（最高就讀程度）劃分的15歲及以上人口,Population aged 15 and over by educational attainment (highest level attended),中學,Secondary,edu_sec
按教育程度（最高就讀程度）劃分的15歲及以上人口,Population aged 15 and over by educational attainment (highest level attended),專上教育,Post-secondary,edu_psec
工作人口,Working population,工作人口,Working population,t_wp
按就業身分劃分的工作人口,Working population by employment status,僱員（包括外發工）,Employees　(including outworkers),wp_ee
按就業身分劃分的工作人口,Working population by employment status,僱主,Employers,wp_er
按就業身分劃分的工作人口,Working population by employment status,自營作業者,Self-employed,wp_se
按就業身分劃分的工作人口,Working population by employment status,無酬家庭從業員,Unpaid family workers,wp_fw
按工作地點劃分的工作人口,Working population by place of work,香港島,Hong Kong Island,plw_hk
按工作地點劃分的工作人口,Working population by place of work,九龍,Kowloon,plw_kln
按工作地點劃分的工作人口,Working population by place of work,新界,New Territories,plw_nt
按工作地點劃分的工作人口,Working population by place of work,在香港沒有固定工作地點／水上／於家中工作／香港以外地方,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,plw_oth
按每月主要職業收入（港元）劃分的工作人口（不包括無酬家庭從業員）,Working population (excluding unpaid family workers) by monthly income from main employment (HKS),"少於 10,000","Less than 10,000",mearn_xfw_sb_1
按每月主要職業收入（港元）劃分的工作人口（不包括無酬家庭從業員）,Working population (excluding unpaid family workers) by monthly income from main employment (HKS),"10,000 - 19,999","10,000 - 19,999",mearn_xfw_sb_2
按每月主要職業收入（港元）劃分的工作人口（不包括無酬家庭從業員）,Working population (excluding unpaid family workers) by monthly income from main employment (HKS),"20,000及以上","20,000 and over",mearn_xfw_sb_3
