Code,#,Quadrant,distance,Building CSUID,Building ID,English Building Name,Chinese Building Name,Centroid Longitude,Centroid Latitude,Floor Height,Floor Height Source,Roof Height,Roof Height Source,Building Height,Pre-fieldwork Notes,NOBUILDING,ISERROR,NONAME,,Number of storeys,Number of basements,Number of units,Year of Completion,Source,Address
N0NE,0,NE,1800,3582017442T20050430,1108244238,26 Nathan Road,彌敦道２６號,114.1725788,22.29587316,3.7,e,113.4,p,109.7,,FALSE,FALSE,FALSE,,28,0,26,1998,BMIS_auto,26 Nathan Road
N0SE,0,SE,1800,3584117371T20050430,1108244285,Sheraton Hong Kong Hotel & Towers,香港喜來登酒店,114.172826,22.29519842,19.6,e,60.6,p,41,,FALSE,FALSE,FALSE,,18,,,,Google Earth+Web,20 NATHAN ROAD
N0SW,0,SW,1800,3574217371T20050430,1108244290,The Peninsula Hotel Office Tower,半島酒店,114.1717747,22.29522526,3.2,l,120,e,116.8,,FALSE,FALSE,FALSE,,30,,,,Google Earth+Web,? SALISBURY ROAD
N0NW,0,NW,1800,3571817422T20050430,1108244258,The Kowloon Hotel,九龍酒店,114.1717514,22.29578211,3.8,e,60.5,3,56.7,,FALSE,FALSE,FALSE,,18,,,,11-SW-4B-19+Web,19-21 NATHAN ROAD
N1NE,1,NE,2000,3581017541T20050430,1108244148,Holiday Inn Golden Mile Hong Kong,香港金域假日酒店,114.1727522,22.29681551,16.2,e,57.2,e,41,,FALSE,FALSE,FALSE,,20,,,,11-SW-4B-19,50 NATHAN ROAD
N1SE,1,SE,2000,3582617623T20050430,1108244060,Mirador Mansion,美麗都大廈,114.1726141,22.29734715,4.5,l,55.5,p,51,,FALSE,FALSE,FALSE,,17,0,674,1959,BMIS_auto,58 NATHAN ROAD
N1SW,1,SW,2000,3575217537T20091005,1108244151,I Square,國際廣場,114.1718556,22.29699847,59.1,e,78.7,e,78.7,"Shares same building with NW, manually edited",FALSE,FALSE,FALSE,,21,,,2009,BMIS_auto,63 NATHAN ROAD
N1NW,1,NW,2000,3574817596T20091005,1108244082,I Square,國際廣場,114.1718556,22.29699847,59.1,e,134.4,e,134.4,"Shares same building with SW, manually edited",FALSE,FALSE,FALSE,,31,0,0,2009,BMIS_auto,63 NATHAN ROAD
N2NE,2,NE,2200,3580017785T20050430,1108243793,Comfort Building,安樂大廈,114.1723496,22.29900237,7.6,l,50.8,p,43.2,,FALSE,FALSE,FALSE,,13,0,78,1958,BMIS_auto,86 NATHAN ROAD
N2SE,2,SE,2200,3581117767T20050430,1108243826,HSBC Building Tsim Sha Tsui,尖沙咀滙豐大廈,114.1724534,22.29885126,5.9,l,60.1,e,54.2,Manually edited due to API failing to attribute tower to podium as a child attribute.,FALSE,FALSE,FALSE,,14,,,,Google Earth,82-84 NATHAN ROAD
N2SW,2,SW,2200,3573317753T20050430,1108243833,Kowloon Mosque and Islamic Centre,九龍清真寺暨伊斯蘭中心,114.1716925,22.29872915,10.3,l,26.4,p,16.1,Used for religious purposes,FALSE,TRUE,FALSE,,2,,,,Google Earth,105 NATHAN ROAD
N2NW,2,NW,2200,3573817856T20050430,1108243542,Park Lane Shopper's Boulevard,栢麗購物大道　（天台花園）,114.1717285,22.29961511,10.4,l,17.4,p,7,park facility,FALSE,TRUE,FALSE,,2,0,68,1985,BMIS_auto,111 NATHAN ROAD
N3NE,3,NE,2400,3578517970T20050430,1108243250,Miramar Shopping Centre,美麗華商場,114.1725665,22.30091032,25.8,p,61,e,35.2,,FALSE,FALSE,FALSE,,18,0,531,1993,BMIS_auto,132 NATHAN ROAD
N3SE,3,SE,2400,3581017926T20060822,1109609183,The Mira Hong Kong,,114.1724327,22.3001621,24.6,e,60.7,3,36.1,,FALSE,FALSE,FALSE,,18,,,,https://img.themirahotel.com/wp-content/uploads/2013/12/140127_The_Mira_Fact_Sheet_En.pdf,118-130 NATHAN ROAD
N3SW,3,SW,2400,,,,,,,,,,,,no structures.,TRUE,TRUE,FALSE,,0,,,,,
N3NW,3,NW,2400,3572917973T20050430,1108243228,Park Lane Shopper's Boulevard,栢麗購物大道,114.1716441,22.30084347,11.4,l,17,e,5.6,park facility,FALSE,TRUE,FALSE,,2,,,,Google Earth,143 NATHAN ROAD
N4NE,4,NE,2600,3577318200T20050430,1108242804,A. Kun Lock Building,均樂大廈,114.1720885,22.30276031,13.5,l,52.9,p,39.4,,FALSE,FALSE,FALSE,,11,0,26,1966,BMIS,178 NATHAN ROAD
N4SE,4,SE,2600,3577418180T20050430,1108242855,Good Results Building,收成樓,114.1721036,22.30257896,13.6,l,56.9,3,43.3,,FALSE,FALSE,FALSE,,12,0,25,1971,Google Earth+BMIS,176 NATHAN ROAD
N4SW,4,SW,2600,3572418091T20050430,1108242973,Park Lane Shopper's Boulevard,栢麗購物大道,114.1715796,22.30178578,12,l,16.9,p,4.9,park facility,FALSE,TRUE,FALSE,,2,,,,Google Earth,165 NATHAN ROAD
N4NW,4,NW,2600,3567718189T20050430,1108242808,Tsim Sha Tsui Police Station,尖沙咀警署,114.1712109,22.30260893,16,l,48.8,3,32.8,Government Building,FALSE,TRUE,FALSE,,11,,,,Google Earth,213 NATHAN ROAD
N5NE,5,NE,2800,3576018429T20050430,1108242144,238 Nathan Road,,114.1719403,22.30481452,23.9,e,87.1,p,63.2,,FALSE,FALSE,TRUE,,21,0,42,1999,BMIS_auto,238 NATHAN ROAD
N5SE,5,SE,2800,3576218372T20050430,1108242261,Prudential Centre,恆豐中心,114.1719781,22.30433141,25.8,e,66,p,40.2,,FALSE,FALSE,FALSE,,22,0,88,1982,BMIS,216-228 NATHAN ROAD
N5SW,5,SW,2800,3571218360T20050430,1108242382,Shamrock Hotel,新樂酒店,114.171439,22.30412979,9.5,l,48.8,p,39.3,,FALSE,FALSE,FALSE,,10,,,,Google Earth,223 NATHAN ROAD
N5NW,5,NW,2800,3570518390T20111115,1108242315,Pearl Oriental Tower,明珠廣場,114.1713733,22.30446197,24.7,b,79,p,54.3,,FALSE,FALSE,FALSE,,18,0,18,1993,BMIS_auto,225 NATHAN ROAD
N6NE,6,NE,3000,3573818584T20050430,1108241669,CHI Residences 314,,114.1717686,22.30622699,7,l,51.4,p,44.4,,FALSE,FALSE,FALSE,,25,0,25,1999,BMIS,314-316 NATHAN ROAD
N6SE,6,SE,3000,3574518563T20050430,1108241768,May Ming Building,美明大廈,114.1718084,22.30603969,7.1,l,47.8,p,40.7,,FALSE,FALSE,FALSE,,11,0,22,1965,BMIS_auto,312 NATHAN ROAD
N6SW,6,SW,3000,3569118567T20050430,1108241727,Hong Kiu Mansion,康僑大廈,114.1712864,22.30606425,6.8,l,55.2,3,48.4,,FALSE,FALSE,FALSE,,15,0,94,1964,BMIS_auto,311 NATHAN ROAD
N6NW,6,NW,3000,3569018578T20050430,1108241688,315 Nathan Road,,114.1712813,22.30617932,6.5,l,42.6,3,36.1,,FALSE,FALSE,TRUE,,10,0,20,1965,BMIS_auto,315 NATHAN ROAD
N7NE,7,NE,3200,3575318792T20080211,1108240652,Eaton Hotel,,114.1718235,22.30804235,20.9,p,32.6,p,11.7,,FALSE,FALSE,FALSE,,10,0,20,1965,BMIS_auto,380 NATHAN ROAD
N7SE,7,SE,3200,3567218718T20050430,1108240865,Manulife Provident Funds Place,宏利公積金大廈,114.1710816,22.30744805,17.8,p,59.1,p,41.3,,FALSE,FALSE,FALSE,,18,0,21,1999,BMIS_auto,345 NATHAN ROAD
N7SW,7,SW,3200,3573518740T20050430,1108240829,Nathan Hotel,彌敦酒店,114.171665,22.30762817,5.5,l,59.7,p,54.2,,FALSE,FALSE,FALSE,,16,,,,Google Earth,378 NATHAN ROAD
N7NW,7,NW,3200,3567418777T20050430,1108240658,Hang Shing Building,恒成大廈,114.1710676,22.30796114,20.4,p,60.7,p,40.3,,FALSE,FALSE,FALSE,,16,0,110,1975,BMIS_auto,363-373 NATHAN ROAD
N8NE,8,NE,3400,3571518994T20050430,1108240186,Chak Fung House,澤豐大廈,114.1715072,22.30991908,6,l,55.2,p,49.2,,FALSE,FALSE,FALSE,,16,0,90,1966,BMIS_auto,440-442 NATHAN ROAD
N8SE,8,SE,3400,3571818980T20050430,1108240221,Tang's Mansion,鄧氏大廈,114.1715383,22.30979024,5.9,l,45.6,p,39.7,,FALSE,FALSE,FALSE,,12,0,24,1962,BMIS_auto,438 NATHAN ROAD
N8SW,8,SW,3400,3565918941T20050430,1108240283,Kowloon Government Offices,九龍政府合署,114.1709227,22.3094561,19.6,p,67.6,p,48,Government Building,FALSE,TRUE,FALSE,,19,,,,Google Earth,405 NATHAN ROAD
N8NW,8,NW,3400,3563418972T20050430,1108240246,Tin Hau Temple,,114.1707203,22.30971456,6.1,l,13.3,3,7.2,Used for religious purposes,FALSE,TRUE,FALSE,,2,,,,Street View,56-58 TEMPLE STREET
N9NE,9,NE,3600,3568219177T20050430,1108239661,Bangkok Bank Building,盤谷銀行大廈,114.1711861,22.31156702,21.8,p,77.2,3,55.4,,FALSE,FALSE,FALSE,,24,0,48,1976,BMIS_auto,494-496 NATHAN ROAD
N9SE,9,SE,3600,3568419165T20050430,1108239696,Oxford Commercial Building,益南華廈,114.1712057,22.31148501,5.5,l,46.8,3,41.3,,FALSE,FALSE,FALSE,,24,0,24,1974,BMIS,486 NATHAN ROAD
N9NW,9,NW,3600,3563319168T20080704,1108239676,Casa Hotel,,114.1707248,22.31149723,5.4,l,54.8,p,49.4,,FALSE,FALSE,FALSE,,15,,,,Street View,487-489 NATHAN ROAD
N9SW,9,SW,3600,3563719151T20130220,1810095790,Casa Deluxe Hotel,,114.1707551,22.3113397,5.4,l,51.3,3,45.9,,FALSE,FALSE,FALSE,,14,,,,Street View,483-485A NATHAN ROAD
N10NE,10,NE,3800,3564819370T20050430,1108238725,Wing Kiu Building,永僑大廈,114.1708527,22.31335666,20.2,p,58,3,37.8,,FALSE,FALSE,FALSE,,16,,52,1969,BMIS,530 NATHAN ROAD
N10SE,10,SE,3800,3565119360T20050430,1108238831,Onward Building,康祐大廈,114.1708856,22.31321578,4.7,l,49.2,3,44.5,,FALSE,FALSE,FALSE,,13,0,26,1974,BMIS_auto,528 NATHAN ROAD
N10SW,10,SW,3800,3560619306T20050430,1108239101,Lai Kee Mansion,禮基大廈,114.1704589,22.31275516,4.5,l,49.8,p,45.3,,FALSE,FALSE,FALSE,,13,0,48,1967,BMIS_auto,521 NATHAN ROAD
N10NW,10,NW,3800,3559619384T20050430,1108238565,Bell House,寶寧大廈,114.1703284,22.31343911,4.4,l,70.4,p,66,,FALSE,FALSE,FALSE,,22,0,362,1969,BMIS,525 NATHAN ROAD
N11NE,11,NE,4000,3560919575T20050430,1108237754,Wofoo Commercial Building,和富商業大廈,114.1704887,22.31517131,5.1,l,82.3,3,77.2,,FALSE,FALSE,FALSE,,24,0,24,1997,BMIS_auto,576 NATHAN ROAD
N11SE,11,SE,4000,3561219563T20050430,1108237821,Kelly Commercial Centre,基利商業大廈,114.1705116,22.31506029,5.1,l,74.7,3,69.6,,FALSE,FALSE,FALSE,,22,0,30,1975,BMIS_auto,570-572 NATHAN ROAD
N11SW,11,SW,4000,3556119552T20050430,1108237866,Full Win Commercial Centre,富運商業中心,114.1700129,22.31495295,20.2,p,88.4,p,68.2,,FALSE,FALSE,FALSE,,24,1,26,1995,BMIS_auto,573 NATHAN ROAD
N11NW,11,NW,4000,3556119570T20180817,1810178822,Ladder Dundas,,114.1699784,22.31511715,21,e,94,e,73,,FALSE,FALSE,FALSE,,19,,,,http://www.ladder.com.hk/dundas/download/info.jpg,577-577A NATHAN ROAD
N12NE,12,NE,4200,3557019827T20050430,1108236167,Good Hope Building,好望角大廈,114.1701272,22.31730545,20.5,e,75.4,p,54.9,,FALSE,FALSE,FALSE,,22,0,189,1971,BMIS_auto+web,612 NATHAN ROAD
N12SE,12,SE,4200,3558119770T20050430,1108236428,Hollywood Plaza,荷李活商業中心,114.1702067,22.31690279,19.9,p,85.1,p,65.2,,FALSE,FALSE,FALSE,,22,0,345,1984,BMIS_auto,610 NATHAN ROAD
N12SW,12,SW,4200,3552419750T20050430,1108236423,Sun Hing Building,新興大廈,114.169569,22.31684557,19.9,p,88.1,e,68.2,,FALSE,FALSE,FALSE,,29,2,453,1966,BMIS_auto,607 NATHAN ROAD
N12NW,12,NW,4200,3551319795T20050430,1108236334,Fee Tat Commercial Centre,飛達商業中心,114.169553,22.31716285,4.8,e,89.8,e,85,,FALSE,FALSE,FALSE,,24,0,24,2002,BMIS_auto,613 NATHAN ROAD
N13NE,13,NE,4400,3553219969T20050430,1108235355,Rex Building,皇上皇大廈,114.1697238,22.31873573,5,e,56.9,p,51.9,,FALSE,FALSE,FALSE,,16,0,53,1963,BMIS_auto,648 NATHAN ROAD
N13SE,13,SE,4400,3553219960T20050430,1108235445,Toa Tak Building,陶德大廈,114.1697446,22.31862574,4.9,e,56.2,p,51.3,,FALSE,FALSE,FALSE,,16,0,16,1967,BMIS_auto,646 NATHAN ROAD
N13SW,13,SW,4400,3548619945T20050430,1108235450,Wu Sang House,胡社生行,114.1692747,22.31850095,32.8,e,91.1,3,58.3,,FALSE,FALSE,FALSE,,26,0,312,1966,BMIS,655 NATHAN ROAD
N13NW,13,NW,4400,3547619988P20060311,1108246338,HSBC Building Mongkok,,114.1691885,22.3188974,4.6,l,31.6,p,27,,FALSE,FALSE,FALSE,,17,,,1969,Google Earth+BMIS,673 NATHAN ROAD
N14NE,14,NE,4600,3550420171T20050430,1108233780,T.O.P This is our place,,114.169452,22.32058005,21.7,e,75.7,3,54,,FALSE,FALSE,FALSE,,23,1,110,1984,BMIS_auto,700 NATHAN ROAD
N14SE,14,SE,4600,3552120107P20060311,1108246239,Argyle Centre Phase 1,,114.1696267,22.31997164,4.7,l,20.5,p,72.6,,FALSE,FALSE,FALSE,,23,1,110,1984,BMIS_auto,65 ARGYLE STREET
N14SW,14,SW,4600,3544720145T20131018,1810106386,Le Diamant,金鑽璽,114.1688979,22.32032038,37.1,b,96.9,g,59.8,,FALSE,FALSE,FALSE,,20,0,21,1958,BMIS_auto,703 NATHAN ROAD
N14NW,14,NW,4600,3544320159T20050430,1108233928,Silvercorp Intl Tower,銀高國際大廈,114.1688884,22.32040137,19.9,e,83.8,3,63.9,,FALSE,FALSE,FALSE,,26,1,69,1994,BMIS_auto,707-713 NATHAN ROAD
N15NE,15,NE,4800,3545920417T20050430,1108232023,Pioneer Centre,始創中心,114.1690485,22.32255841,20.7,e,92,p,71.3,,FALSE,FALSE,FALSE,,25,0,0,1995,Google Earth+BMIS,750 NATHAN ROAD
N15SE,15,SE,4800,3546120325T20050430,1108232710,Mascot House,有成大廈,114.1690585,22.32192405,5.4,e,58,3,52.6,,FALSE,FALSE,FALSE,,17,0,62,1963,BMIS_auto,52 BUTE STREET
N15SW,15,SW,4800,3542220305T20050430,1108232776,Kingland Apartments,金輪大廈,114.1686103,22.32176889,4.8,e,60.6,p,55.8,,FALSE,FALSE,FALSE,,17,0,147,1958,BMIS_auto,46 BUTE STREET
N15NW,15,NW,4800,3539720348T20050430,1109261336,Carprio Mansion,嘉業大廈,114.1684319,22.32214633,13.9,e,48.7,e,34.8,,FALSE,FALSE,FALSE,,15,0,57,1979,BMIS_auto,1 LAI CHI KOK ROAD
N16NE,16,NE,5000,3545020598T20050430,1108230953,Mong Kok Police Station,旺角警署,114.1689185,22.32441914,5.3,l,40.8,3,35.5,Government Building,FALSE,TRUE,FALSE,,10,,,,Street View,142 PRINCE EDWARD ROAD WEST
N16SE,16,SE,5000,3536420523T20050430,1108231548,Edward Mansion,長榮大廈,114.168095,22.32372943,5.3,t,50,p,44.7,,FALSE,FALSE,FALSE,,15,0,136,1970,BMIS_auto,141 PRINCE EDWARD ROAD WEST
N16SW,16,SW,5000,3543820538T20050430,1108231496,Bijou Apartments,別樹華軒,114.1687745,22.32385622,16.3,p,99.6,p,83.3,,FALSE,FALSE,FALSE,,28,0,186,2003,BMIS_auto,157 PRINCE EDWARD ROAD WEST
N16NW,16,NW,5000,3536820574T20050430,1108231299,Kwan Ngan House,冠顏樓,114.1681496,22.32420912,5.4,l,48.6,3,43.2,,FALSE,FALSE,FALSE,,14,0,42,1983,BMIS,751A NATHAN ROAD
N17NE,17,NE,5200,3538020752T20050430,1108230402,Prosperity Commercial Building,中興商業大廈,114.1682647,22.32580155,5.5,t,48.5,e,43,,FALSE,FALSE,FALSE,,23,0,30,1994,BMIS_auto,786 NATHAN ROAD
N17SE,17,SE,5200,3538120743T20050430,1108230452,Tai Sang Bank Building,大生銀行大廈,114.1682715,22.32573051,5.5,t,51.4,3,45.9,,FALSE,FALSE,FALSE,,15,0,15,1981,BMIS_auto,784 NATHAN ROAD
N17SW,17,SW,5200,3533920737T20050430,1108230503,Amber House,安寶樓,114.1678362,22.32554891,17.8,p,51.5,3,33.7,,FALSE,FALSE,FALSE,,13,0,47,1978,BMIS,783 NATHAN ROAD
N17NW,17,NW,5200,3533220748T20050430,1108230410,Lee Tat Building,利達大樓,114.1678002,22.32576328,5.3,t,48.9,3,43.6,,FALSE,FALSE,FALSE,,14,0,56,1963,BMIS_auto,785 NATHAN ROAD
N18NE,18,NE,5400,3531220944T20050430,1108229291,Shing To Building,成都大廈,114.1675795,22.32753726,11.3,p,51.2,p,39.9,curved road,FALSE,FALSE,FALSE,,16,0,139,1979,BMIS_auto,32 TAI PO ROAD
N18SE,18,SE,5400,3531920915T20100526,1810000587,Emerald Twenty Eight,翠峰廿八,114.1676831,22.32729458,15.7,b,129,b,113.3,curved road,FALSE,FALSE,FALSE,,34,,53,2009,BMIS,28 TAI PO ROAD
N18SW,18,SW,5400,3524520930T20050430,1108229363,Hang Shing Building,恆盛大廈,114.1669699,22.32742151,5.3,l,51.3,p,46,curved road,FALSE,FALSE,FALSE,,14,0,28,1964,BMIS_auto,22 CHEUNG SHA WAN ROAD
N18NW,18,NW,5400,3526020949T20050430,1108229242,Tai Po House,大埔樓,114.1671124,22.32758326,5.5,l,40.6,p,35.1,curved road,FALSE,FALSE,FALSE,,12,0,47,1966,BMIS_auto,13 TAI PO ROAD
N19NE,19,NE,5600,3520121085T20110927,1108228236,Fairview Garden,景翠苑,114.1665059,22.32880536,13.7,b,72.4,b,58.7,,FALSE,FALSE,FALSE,,21,0,42,1999,BMIS_auto,27 TAI PO ROAD
N19SE,19,SE,5600,3524521080T20050430,1108228278,Yau Luen Apartments,友聯大樓,114.1669798,22.32875931,5.8,l,45.1,3,39.3,,FALSE,FALSE,FALSE,,11,0,88,1963,BMIS_auto,70A TAI PO ROAD
N19SW,19,SW,5600,3520721077T20050430,1108228341,33 Maple Street,,114.1665802,22.32871584,5.8,l,27.7,p,21.9,,FALSE,FALSE,TRUE,,6,0,13,1973,BMIS_auto,33 MAPLE STREET
N19NW,19,NW,5600,3524221102T20050430,1108228149,Hoi Cheung Building,海祥大廈,114.1669379,22.32896527,10.2,p,50.2,3,40,,FALSE,FALSE,FALSE,,15,0,123,1988,BMIS,72-74 TAI PO ROAD
N20NE,20,NE,5800,3513221299T20050430,1108226640,Pak Far Building,白花大廈,114.1658972,22.33077512,5.9,l,32.8,p,26.9,,FALSE,FALSE,FALSE,,7,0,42,1956,BMIS_auto,51 SHEK KIP MEI STREET
N20SE,20,SE,5800,3515921282T20050430,1108226735,Tung Lo Court Block B,東廬大樓Ｂ座,114.1662387,22.33044344,10.9,p,44.7,3,33.8,,FALSE,FALSE,FALSE,,12,0,204,1960,BMIS_auto,54 SHEK KIP MEI STREET
N20SW,20,SW,5800,3512021241T20050430,1108227078,45 Tai Po Road,,114.165718,22.33020099,5.8,l,24.3,3,18.5,Across main road (Tai Po Rd),FALSE,FALSE,TRUE,,13,0,25,1993,BMIS_auto,45 TAI PO ROAD
N20NW,20,NW,5800,3510421257T20050430,1108226958,1A Un Chau Steet,,114.1655774,22.33036555,5.8,l,35.6,3,29.8,Across main road (Tai Po Rd),FALSE,FALSE,TRUE,,8,0,46,1959,BMIS_auto,1A UN CHAU STREET
N21NE,21,NE,6000,3502121448T20050430,1108225865,Ka Shun Building,嘉順大廈,114.1647871,22.3320813,12.6,p,45.1,p,32.5,,FALSE,FALSE,FALSE,,11,0,45,1982,BMIS_auto,196 TAI PO ROAD
N21SE,21,SE,6000,3503721435T20050430,1108225903,Penta House,五聯大廈,114.1649091,22.3319439,6.7,l,42.9,3,36.2,,FALSE,FALSE,FALSE,,12,0,120,1963,BMIS_auto,190 TAI PO ROAD
N21SW,21,SW,6000,3499621412T20050430,1108226016,Hip Fook Building,協福大廈,114.1645211,22.33176821,16.1,p,44.2,p,28.1,,FALSE,FALSE,FALSE,,11,0,30,1983,BMIS_auto,63 TAI PO ROAD
