#,distance,rawMean,rawStDev,noErrMean,noErrSD,excludedMean,excludedSD,xRank,yRank,d^2
0,1800,23.5,6.4,23.5,6.4,23.5,6.4,1,32,961
1,2000,22.3,6.1,22.3,6.1,19.3,2.1,2,29,729
2,2200,7.8,6.7,13.5,0.7,13.5,0.7,3,13,100
3,2400,9.5,9.8,18,0,18,0,4,24,400
4,2600,9,4.7,11.5,0.7,11.5,0.7,5,8,9
5,2800,17.8,5.4,17.8,5.4,17.8,5.4,6,23,289
6,3000,15.3,6.8,15.3,6.8,15.3,6.8,7,19,144
7,3200,15,3.5,15,3.5,15,3.5,8,18,100
8,3400,12.3,7.4,14,2.8,14,2.8,9,15,36
9,3600,19.3,5.5,19.3,5.5,19.3,5.5,10,28,324
10,3800,16,4.2,16,4.2,16,4.2,11,20.5,90.25
11,4000,22.3,2.4,22.3,2.4,22.3,2.4,12,30,324
12,4200,24.3,3.3,24.3,3.3,24.3,3.3,13,33,400
13,4400,18.8,4.9,18.8,4.9,18.8,4.9,14,26,144
14,4600,23,2.4,23,2.4,23,2.4,15,31,256
15,4800,18.5,4.4,18.5,4.4,18.5,4.4,16,25,81
16,5000,16.8,7.8,19,7.8,19,7.8,17,27,100
17,5200,16.3,4.6,16.3,4.6,16.3,4.6,18,22,16
18,5400,19,10.1,19,10.1,14,2,19,15,16
19,5600,13.3,6.3,13.3,6.3,13.3,6.3,20,11.5,72.25
20,5800,10,2.9,10,2.9,10,2.9,21,3.5,306.25
21,6000,11.5,0.6,11.5,0.6,11.5,0.6,22,8,196
22,6200,5.5,6.4,11,1.4,11,1.4,23,6,289
23,6400,8.8,4.5,10,4.6,10,4.6,24,3.5,420.25
24,6600,8,4.2,8,4.2,8,4.2,25,2,529
25,6800,10.8,1,10.8,1,10.8,1,26,5,441
26,7000,5.3,0.5,5.3,0.5,5.3,0.5,27,1,676
27,7200,18.3,10.7,18.3,10.7,14,7.9,28,15,169
28,7400,30,5.4,30,5.4,25.5,0.7,29,34,25
29,7600,14.3,5.6,14.3,5.6,14.3,5.6,30,17,169
30,7800,16,8.5,16,8.5,16,8.5,31,20.5,110.25
31,8000,11.5,4.2,11.5,4.2,11.5,4.2,32,8,576
32,8200,17.5,11,17.5,11,12,0,33,10,529
33,8400,13.3,1.9,13.3,1.9,13.3,1.9,34,11.5,506.25
