Code,#,Quadrant,distance,Building CSUID,Building ID,English Building Name,Chinese Building Name,Centroid Longitude,Centroid Latitude,Floor Height,Floor Height Source,Roof Height,Roof Height Source,Building Height,Post-fieldwork notes,NOBUILDING,ISERROR,NONAME,ISOUTLIER,Number of storeys,Number of basements,Number of units,Year of Completion,Source,Address
S0NE,0,NE,200,3434916064T20050430,1103124226,One Exchange Square,交易廣場第一座,114.1583588,22.28344217,3.6,l,185.9,p,182.3,,FALSE,FALSE,FALSE,FALSE,50,0,100,1984,BMIS,8 CONNAUGHT PLACE
S0SE,0,SE,200,3432516207T20050430,1103123008,IFC Mall (Hong Kong Station),國際金融中心商場（香港站）,114.1581677,22.28462355,3.8,p,34.4,p,30.6,Public Transport (MTR),FALSE,TRUE,FALSE,TRUE,4,,,,Street View,8 FINANCE STREET
S0SW,0,SW,200,3446816065T20050430,1103124028,General Post Office,郵政總局,114.1595438,22.28356294,3.9,p,30.1,p,26.2,Government Building,FALSE,TRUE,FALSE,TRUE,3,,,,Street View,2 CONNAUGHT PLACE
S0NW,0,NW,200,3444516024T20050430,1103124531,Jardine House,怡和大廈,114.1591553,22.28300407,3.7,p,182,p,178.3,,FALSE,FALSE,FALSE,FALSE,48,1,108,1972,BMIS,1 CONNAUGHT PLACE
S1NE,1,NE,400,3429815844T20050430,1103125853,Gloucester Tower,告羅士打大廈,114.1577702,22.28150732,4,l,158.3,p,154.3,,FALSE,FALSE,FALSE,FALSE,44,2,264,1979,BMIS,15 QUEEN'S ROAD CENTRAL
S1SE,1,SE,400,3430115966T20050430,1103124903,World-wide House,環球大廈,114.1577892,22.28255406,3.7,p,109,3,105.3,,FALSE,FALSE,FALSE,FALSE,27,0,363,1980,BMIS,19 DES VOEUX ROAD CENTRAL
S1SW,1,SW,400,3437915919T20050430,1103125246,Chater House,遮打大廈,114.1584381,22.28223046,3.7,p,127.5,p,123.8,,FALSE,FALSE,FALSE,FALSE,31,3,31,2002,BMIS,8 CONNAUGHT ROAD CENTRAL
S1NW,1,NW,400,3436015848T20050430,1103125889,Alexandra House,歷山大廈,114.1585436,22.28149516,3.8,l,127.5,p,123.7,,,FALSE,FALSE,FALSE,35,0,310,1976,BMIS,18 CHATER ROAD
S2NE,2,NE,600,3442015710T20050430,1103126642,Standard Chartered Bank Building,渣打銀行大廈,114.159011,22.28043036,3.7,p,189.8,3,186.1,,FALSE,FALSE,FALSE,FALSE,32,1,,1989,BMIS,4-4A DES VOEUX ROAD CENTRAL
S2SE,2,SE,600,3435115710T20050430,1103126580,The Galleria,嘉軒廣場,114.1585176,22.28049694,3.7,p,185.4,p,181.7,,FALSE,FALSE,FALSE,FALSE,33,0,396,1991,BMIS,9 QUEEN'S ROAD CENTRAL
