#,distance,rawMean,rawStDev,noErrMean,noErrSD,excludedMean,excludedSD,xRank,yRank,d^2
0,200,26.3,26.3,49,1.4,,,,,#VALUE!
1,400,15,17.3,30,0,30,0,1,15.5,210.25
2,600,20.8,6.2,20.8,6.2,20.8,6.2,2,8,36
3,800,22.8,5,22.8,5,22.8,5,3,11,64
4,1000,17.8,13.7,23.7,8.4,23.7,8.4,4,13,81
5,1200,20.5,4.5,20.5,4.5,20.5,4.5,5,7,4
6,1400,20.5,11.6,25,5.7,25,5.7,6,14,64
7,1600,11.3,13,22.5,0.7,22.5,0.7,7,10,9
8,1800,19.3,4.6,19.3,4.6,19.3,4.6,8,6,4
9,2000,18,10,18,10,18,10,9,5,16
10,2200,12.8,3.2,12.8,3.2,12.8,3.2,10,2,64
11,2400,12.5,9.3,12.5,9.3,12.5,9.3,11,1,100
12,2600,16.3,12.4,16.3,12.4,16.3,12.4,12,4,64
13,2800,23.5,16.2,23.5,16.2,16,7.5,13,3,100
14,3000,29.8,12.4,30,15.1,30,15.1,14,15.5,2.25
15,3200,11.5,13.3,23,1.4,23,1.4,15,12,9
16,3400,10.8,12.5,21.5,2.1,21.5,2.1,16,9,49
