frame,length,angle
660,147.4109901,-0.718191838
661,164.0487732,-0.785398163
662,149.3050568,-0.889779316
663,194.4350791,-0.994205496
664,180.2359565,-1.11707395
665,564.3341209,-1.185683204
666,657.7841591,-1.239430684
667,693.7578828,-1.308336927
668,586.8219491,-1.361369262
669,961.6121879,-1.39624461
670,977.5070332,-1.431214083
671,1024.5316,-1.449467957
672,1048.680123,-1.466668078
673,982.7700647,-1.483176504
674,1004.502862,-1.466075711
675,910.7892182,-1.448620275
676,985.5683639,-1.431338642
677,958.48422,-1.396728503
678,498.4746734,-1.397402454
679,462.0822438,-1.361516776
680,453.5647694,-1.291588128
681,527.8115194,-1.238860385
682,225.8539351,-1.117049384
683,158.8080602,-1.028217003
684,127.2831489,-0.891147449
685,165.6804153,-0.836635331
686,134.8258136,-0.701385852
691,157.5436447,-0.140101724
697,425.0423508,0.767097378
698,453.5416188,0.888479772
699,630.3284858,0.873011137
700,638.3455177,0.960198699
701,577.4296494,1.064538865
702,616.5070965,1.135443052
703,688.3560125,1.22239767
704,571.9248202,1.274482763
705,874.4787019,1.34356892
706,880.3965016,1.396124128
707,709.9725347,1.464960969
708,894.4076252,1.483476846
709,964.3303376,1.501262041
710,981.3587519,1.501449074
711,1038.498917,1.501409826
712,962.6718028,1.483428067
713,1004.502862,1.466075711
714,561.777536,1.415304944
715,690.3339771,1.39755066
716,611.3010715,1.378213049
717,577.2347876,1.325817664
718,572.9310604,1.204875625
719,632.1534624,1.134742561
720,400.1699639,1.064668696
721,1105.808754,0.977777462
722,431.5194086,0.888817002
723,363.4528855,0.785398163
733,123.6648697,-0.525164096
734,156.4001279,-0.64477988
735,155.5634919,-0.785398163
736,140.9290602,-0.84061835
737,191.7002869,-0.959643012
738,164.7300823,-1.063697822
739,229.5059912,-1.134432394
740,560.8859064,-1.221416032
741,693.3815688,-1.273675827
742,710.1443515,-1.326159194
743,794.3261295,-1.36154947
744,976.9053178,-1.395886936
745,1050.198077,-1.431323183
746,971.426271,-1.431374154
747,1068.934516,-1.448878088
748,1023.660588,-1.448380019
749,1054.159381,-1.431850699
750,1033.772219,-1.413440113
751,985.1055781,-1.378775989
752,614.3427382,-1.325817664
753,581.1161674,-1.327487111
754,577.2910878,-1.273698311
755,522.6107538,-1.221207929
756,199.9124809,-1.098200411
757,180.0944197,-1.015139911
758,147.8986139,-0.890775603
759,169.1183018,-0.823037283
760,105.7591604,-0.698370221
761,146.1848145,-0.570926465
762,130.2497601,-0.504861372
771,541.0147872,0.768406335
772,452.8686344,0.87294808
773,629.4394331,0.855104861
774,658.3350211,0.959199282
775,676.490946,1.047616498
776,584.9888888,1.117851673
777,658.7268022,1.204385436
778,550.8865582,1.257082339
779,685.1642139,1.327587573
780,881.3813023,1.396321302
781,895.7795488,1.447687524
782,1013.558089,1.466022673
783,962.2104759,1.466680961
784,1018.894499,1.483335291
785,987.3869556,1.466290465
786,806.4917855,1.465205473
787,662.9668167,1.448312237
788,618.1528937,1.429585614
789,652.1265215,1.362273407
790,710.5666753,1.2913368
791,568.9191507,1.239596359
792,578.9343659,1.169760271
793,521.0230321,1.115732198
794,319.0235101,1.045429453
795,305.7384503,0.95739084
796,376.3841123,0.854965568
797,343.1573983,0.750360961
805,165.8945448,-0.243516676
807,166.2077014,-0.55796156
809,151.3208512,-0.785398163
810,205.8834622,-0.87481427
811,193.8685121,-0.979932501
812,183.0874108,-1.063167318
813,276.0235497,-1.133074836
814,407.0823013,-1.203975227
815,753.9084825,-1.256595964
816,961.7910376,-1.308921415
817,962.0192306,-1.361372805
818,972.7538229,-1.37944908
819,818.4130986,-1.396407253
820,877.7573697,-1.414075994
821,1004.347052,-1.413832112
822,1083.264049,-1.414146458
823,1034.602339,-1.396908002
824,1028.842068,-1.379119347
825,817.1034206,-1.327301782
826,713.4507691,-1.292496668
827,518.1245024,-1.291171112
828,515.163081,-1.238610301
829,208.9066777,-1.130698967
830,183.6981219,-1.04624851
831,153.2187978,-0.942959733
832,146.5776245,-0.838488324
833,162.6345597,-0.785398163
837,170.5197936,-0.230754871
838,178.2722637,-0.191895065
845,486.5634594,0.802838255
846,454.4931243,0.907051505
847,644.0504639,0.994421106
848,662.04305,0.977766535
849,656.2011887,1.064881954
850,574.4701907,1.222620207
851,612.4908163,1.205146346
852,698.4554388,1.274402655
853,719.3608274,1.326491972
854,814.3003132,1.396764378
855,895.0173183,1.413729766
856,1027.63077,1.448855329
857,1026.638203,1.448736846
858,1008.528631,1.448532093
859,1027.63077,1.448855329
860,960.2551744,1.431844772
861,1032.632558,1.39657291
862,1035.772658,1.360714456
863,1013.452022,1.309304086
864,444.4378472,1.273951653
865,680.5776958,1.186742898
866,488.0706916,1.132807613
867,672.0267852,1.047220563
868,959.894265,0.959387594
869,478.3513353,0.871240101
870,265.8721497,0.785398163
880,151.4496616,-0.525698027
881,136.1800279,-0.592075901
882,192.09633,-0.715402001
883,174.8971126,-0.837981225
884,162.8004914,-0.92483822
885,225.88714,-1.0159511
886,211.0923968,-1.098674344
887,539.0148421,-1.168584193
888,728.8525228,-1.222142543
889,767.4190511,-1.274596682
890,455.7246976,-1.324753268
891,604.4973118,-1.343873486
892,1056.49089,-1.378412791
893,934.1541629,-1.396496198
894,1068.316433,-1.395798783
895,1023.595623,-1.396010942
896,1033.941004,-1.379091146
897,1025.367251,-1.361542103
898,964.8067164,-1.325817664
899,533.8211311,-1.326726341
900,653.6765255,-1.23888647
901,546.9597791,-1.221869122
902,214.2825238,-1.132195671
