k,Easting,Northing
1-AADKGPWXPE,825592,825404
1-AAGSPPDXPE,826273,825643
1-ABBEGPWYPP,828814,824839
1-ABDSGPWYPP,828607,823406
1-AEABBPGYPG,830691,825477
1-AEABGPEXPK,830056,825548
1-AEADBPGXPK,830140,825598
1-AEADGPSXPK,830022,825705
1-AEAEWPGXPK,829935,825678
1-AEAGGPBXPB,831994,825300
1-AEAGPPKAPK,830103,825753
1-AEAGPPPXPK,830357,825730
1-AEAKWPBXPG,831095,824480
1-AEAPPPYJPK,829994,825908
1-AEASGPPXPB,831945,825396
1-AEASPPPJPK,830363,825714
1-AEAYBPWXPK,829941,825471
1-AEBBBPEXPK,830107,825634
1-AEBBBPWXPK,829922,825480
1-AEBDGPAXPK,829923,825504
1-AEBDWPGXPG,830746,825589
1-AEBGPPKYPK,830110,825756
1-AEBKBPGXPK,830047,825653
1-AEBKPPAXPK,830176,825604
1-AEBKPPEJPD,832052,825056
1-AEBPBPASEG,831718,825368
1-AEBPBPASSG,831704,825372
1-AEBPPPYSPK,829598,825592
1-AEBPWPEEPG,831175,824447
1-AEBPWPWXPK,829960,825572
1-AEBPWPWYPD,832057,825112
1-AEBSBPAVPG,831709,825441
1-AEBSBPDJPK,830123,825883
1-AEDABPYAPK,830136,825846
1-AEDAGPAYPG,831104,824496
1-AEDAPPESPK,830116,825725
1-AEDDPPKYPK,830055,825818
1-AEDGGPBSPB,831989,825373
1-AEDGGPEXPK,830049,825537
1-AEDKGPAXPK,829910,825519
1-AEDPBPYSPK,829591,826030
1-AEDPPPDXPK,829987,825647
1-AEDSWPWSPD,832370,825320
1-AEDWBPEXPK,830076,825585
1-AEDWBPWXPK,829948,825472
1-AEDYGPGSPK,830299,825502
1-AEEABPYAPK,830445,825606
1-AEEAGPDRPG,830705,825517
1-AEEAGPEXPK,830065,825564
1-AEEAWPSJPK,830210,825878
1-AEEAWPWJPD,832265,825698
1-AEEBBPGXPK,830114,825614
1-AEEBGPSXPK,830114,825876
1-AEEDGPDXPK,830031,825869
1-AEEDGPSXPK,830032,825714
1-AEEEBPAXPG,831772,825486
1-AEEEPPAHPG,831105,824463
1-AEEGBPEXPK,830103,825629
1-AEEGBPWXPK,829929,825481
1-AEEPPPYSPK,830030,825937
1-AEEPWPGXPK,829926,825683
1-AEEPWPSRPK,830003,825729
1-AEESGPDAPK,830130,825628
1-AEESPPEJPK,830182,825826
1-AEESPPYXPK,829599,825771
1-AEESWPWXPK,829957,825566
1-AEEWPPGAPG,830723,825519
1-AEEYWPGYPG,830746,825589
1-AEGAGPGXPK,830238,825547
1-AEGAPPWEPG,831064,824532
1-AEGDBPWXPK,829939,825477
1-AEGDPPGXPK,829866,825636
1-AEGEBPYJPK,829599,826024
1-AEGEWPWXPK,829951,825556
1-AEGGGPSAPK,830050,825761
1-AEGGPPKSPK,829928,825897
1-AEGGWPBAPG,831134,824569
1-AEGKGPEXPK,830059,825553
1-AEGKPPEVPD,832077,825101
1-AEGPGPPXPB,831959,825383
1-AEGSBPDSPK,830152,825856
1-AEGSWPGXPK,829928,825676
1-AEGWGPAXPK,829936,825492
1-AEGYGPDXPK,,
1-AEGYPPGSPG,830719,825506
1-AEGYWPBJPG,831077,824517
1-AEKAWPWXPD,832251,825708
1-AEKDBPDXPK,830171,825623
1-AEKDGPEXPK,830046,825531
1-AEKDPPPEPK,830264,825830
1-AEKGGPSHPK,830062,825766
1-AEKKGPYJPK,830482,825603
1-AEKKGPYXPK,830401,825651
1-AEKPGPEXPK,830074,825580
1-AEKPGPWXPK,829950,825467
1-AEKPPPYHPK,829955,825885
1-AEKSWPWJPD,832402,825422
1-AEKYPPPXPK,830193,825904
1-AEPAWPGXPK,829936,825672
1-AEPDGPGXPG,830755,825572
1-AEPDGPSOPK,830029,825726
1-AEPDWPDOPG,830695,825502
1-AEPEPPWVPG,831115,824582
1-AEPEPPYAPK,830046,825711
1-AEPEPPYXPK,830094,825721
1-AEPGGPEXPK,830053,825543
1-AEPGPPKRPK,830042,825802
1-AEPKBPDHPK,830169,825844
1-AEPPPPDXPK,829980,825646
1-AEPPWAPEPG,831249,824534
1-AEPPWBPXPK,830135,825547
1-AEPPWDPXPK,829919,825636
1-AEPPWEPEPK,830239,825236
1-AEPPWGPXPK,830142,825904
1-AEPPWKPAPK,830187,825262
1-AEPPWKPXPK,829874,825650
1-AEPPWPPEPA,827721,825530
1-AEPPWWPXPB,831714,825786
1-AEPSBPEVPK,830124,825652
1-AEPSBPGXPK,830019,825665
1-AEPSGPDVPK,830134,825625
1-AEPSPPYAPK,829513,825821
1-AEPWWPYXPG,831226,824591
1-AEPYGPSXPK,830018,825701
1-AESABPYEPK,829936,825911
1-AESABPYHPK,829941,825924
1-AESAPPESPK,830125,825735
1-AESBWPGXPK,829951,825668
1-AESEWPWXPD,832426,825476
1-AESEWPWYPD,832422,825507
1-AESGBPBXPK,830354,825871
1-AESGBPBYPK,830374,825826
1-AESGGPAXPK,829911,825509
1-AESGPPKRPK,830097,825763
1-AESGPPKXPK,830067,825780
1-AESKGPSEPK,829976,825918
1-AESKPPSXPK,830237,825965
1-AESPWPSEEK,830033,825782
1-AESPWPSESK,830023,825764
1-AESPWPSJPK,830011,825739
1-AESSBPAJPG,831707,825415
1-AESSPPYXPK,829546,825797
1-AESYGPEXPK,830044,825527
1-AESYGPKXPK,830315,825496
1-AEWAGPEXPK,830062,825559
1-AEWAPPESPK,830111,825710
1-AEWBGPBYPB,831990,825327
1-AEWBGPSXPK,830116,825869
1-AEWEBPYYPK,829554,825939
1-AEWGBPGXPK,830135,825601
1-AEWGBPWXPK,829932,825475
1-AEWGGPBJPB,831989,825343
1-AEWPBPDVPK,830089,825893
1-AEWPBPYEPK,829544,826066
1-AEWPPPEXPK,830183,825833
1-AEWSBPARPG,831751,825498
1-AEWSWPWXPK,829954,825561
1-AEWWPPGAPG,830764,825583
1-AEWYGPAXPK,829933,825497
1-AEWYGPKAPK,830008,825947
1-AEWYGPKEPK,829931,825938
1-AEWYGPKJPK,829947,825947
1-AEYABPYEEK,830172,825827
1-AEYABPYXEK,830159,825836
1-AEYABPYXSK,830156,825840
1-AEYDWPYOPG,831273,824556
1-AEYEBPDOPK,830161,825848
1-AEYEPPDXPK,829989,825642
1-AEYGGPSSPK,830042,825733
1-AEYKPPEYPD,832059,825092
1-AEYPBPYXPK,829588,826042
1-AEYSWPWXPD,832370,825352
1-AEYSWPWYPD,832393,825336
1-AEYWPPGXPG,830761,825578
1-AEYYGPEXPK,830041,825521
1-AEYYGPGHPK,830315,825496
1-AEYYGPKAPK,829920,825918
1-AEYYGPKEPK,829901,825906
1-AKBDGPSXPP,824625,825345
1-BDAGGPGXPS,831267,840415
1-BDAGPPEXPS,831232,840760
1-BDAKBPDXPB,841161,845057
1-BDAYBPKXPS,831127,840830
1-BDBABPDXPB,841025,845071
1-BDBAPPDXPS,831410,840544
1-BDBBPPDXPS,831423,840530
1-BDBDWPGXPS,831345,840613
1-BDBGGPBEPS,831182,840682
1-BDBGGPKXPS,831112,840664
1-BDBGPPDXPS,831428,840523
1-BDBKPPDXPS,831416,840537
1-BDBWPPDXPS,831449,840504
1-BDBYPPDXPS,831442,840511
1-BDDBGPAXPS,831414,840489
1-BDDPWPAXPS,831374,840490
1-BDDSGPKXPS,831120,840757
1-BDEAGPAXPS,831423,840495
1-BDEAWPAXPS,831367,840483
1-BDEBBPDXPS,831156,840539
1-BDEEGPKXES,831119,840740
1-BDEEGPKXSS,831119,840740
1-BDEPBPDXPS,831187,840530
1-BDEYGPAXPS,831408,840483
1-BDGAGPKYPS,831117,840720
1-BDGBPPEXPS,831223,840770
1-BDGEWPKXPS,831290,840551
1-BDGKBPDXEB,841127,845078
1-BDGKBPDXSB,841141,845060
1-BDGYGPKJPS,831097,840490
1-BDKBBPKXPS,831124,840445
1-BDKDBPKXPS,831119,840399
1-BDKDGPKXPS,831105,840612
1-BDKEBPEXPS,831285,840392
1-BDKGGPKYPS,831112,840664
1-BDKKGPAYPS,831417,840493
1-BDKKWPAYPS,831363,840479
1-BDKPGPKXPS,831125,840793
1-BDKWWPGXPS,831360,840598
1-BDPAPPDXPS,831407,840547
1-BDPBGPGXPS,831267,840415
1-BDPBPPDXPS,831420,840533
1-BDPBWPKYPS,831305,840536
1-BDPDPPDXPS,831433,840520
1-BDPDWPGXPS,831341,840616
1-BDPEPPBAPS,831226,840581
1-BDPGPPDXPS,831426,840526
1-BDPKPPDXPS,831415,840540
1-BDPKWPKXPS,831296,840543
1-BDPPBPPXPS,831244,840540
1-BDPPPPDXPS,831365,840591
1-BDPWPPDXPS,831446,840507
1-BDPWWPGXPS,831355,840603
1-BDPYPPDXPS,831440,840514
1-BDSABPKYPS,831133,840519
1-BDSDBPKYPS,831124,840418
1-BDSGBPKYPS,831124,840445
1-BDSKBPKYPS,831125,840476
1-BDSPGPAXPA,831962,840299
1-BDSSGPKYPS,831126,840776
1-BDSWBPKYPS,831127,840821
1-BDSYBPKXPS,831137,840847
1-BDWABPDXPB,840947,845067
1-BDWBBPKXPS,831124,840445
1-BDWEBPEXPS,831280,840389
1-BDWEWPKYPS,831290,840551
1-BDWGGPAYPS,831410,840486
1-BDWSWPAYPS,831371,840486
1-BDWYBPKXPS,831127,840826
1-BDYDPPEXPS,831245,840744
1-BDYGWPKXPS,,
1-BEPPWDPEPD,821227,833868
1-BEPPWDPEPW,821120,833058
1-BEPPWKPSPK,820974,834608
1-BESPWYPXPW,821238,833180
1-BGAKGPSEPS,815920,827701
1-BGAKGPSXPS,815930,827736
1-BGAKGPSYPS,815831,829278
1-BGAPWPGXPS,815612,828852
1-BGBBGPYXPS,815460,828566
1-BGBDPPWXPS,815556,828474
1-BGBKGPSVPS,815704,828644
1-BGBYBPAXPS,815456,828715
1-BGDAGPYXPS,815458,828545
1-BGDDGPDXPS,815472,828486
1-BGDKGPSXPS,815682,828796
1-BGDWPPWVPS,815705,828461
1-BGEKGPSAPS,815726,828483
1-BGEKGPSEPS,816000,827740
1-BGEKGPSJPS,815970,827792
1-BGEKGPSOPS,815904,827653
1-BGEKGPSRPS,815858,827767
1-BGEKGPSSPS,815871,827732
1-BGEKGPSVPS,815993,827701
1-BGEKGPSXPS,815716,828574
1-BGGKGPSJPS,815687,828718
1-BGGKGPSXPS,815698,828681
1-BGKKWPYXPS,815520,828482
1-BGPKGPSOES,815809,829169
1-BGPKGPSOSS,815813,829183
1-BGPKGPSSES,815822,829219
1-BGPKGPSSSS,815772,829196
1-BGPKGPSVPS,815761,829137
1-BGPPWAPXPS,815859,829460
1-BGPPWDPXPE,814731,829832
1-BGPPWSPXPS,815580,828426
1-BGPSWPYXPS,815569,828508
1-BGSKBPYXPS,815454,828479
1-BGSKGPSAPS,815811,829341
1-BGSKGPSHES,815804,829292
1-BGSKGPSHSS,815777,829222
1-BGSKGPSJPS,815742,829097
1-BGSKGPSOPS,815881,829311
1-BGSKGPSRPS,815845,829395
1-BGSKGPSSPS,815885,829352
1-BGSKGPSVPS,815816,829399
1-BGSKGPSXAS,815808,829158
1-BGSKGPSXES,815778,829094
1-BGSKGPSXSS,815801,829128
1-BGSKGPSYES,815807,829310
1-BGSKGPSYSS,815894,829396
1-BGSWGPYXPS,815468,828591
1-BGSYWPEJPS,815552,828418
1-BGWAGPSXPS,815782,829256
1-BGWWPPWXPS,815675,828488
1-BGYAGPSRPS,815911,829434
1-BSPBWPKXPP,818891,834833
1-BSPPWSPXPG,817601,832718
1-BWAGWPKVPS,820611,834071
1-BWAKGPBXPS,820770,834005
1-BWAKPPAJPS,820833,833724
1-BWAYGPKXPS,820494,833625
1-BWBEGPAXPS,821295,833671
1-BWBEPPYXPS,820662,833865
1-BWBGPPKXPS,820445,834202
1-BWBKGPBJPS,821177,833974
1-BWBPPPAAPS,820752,833679
1-BWBWBPYXPS,820737,833624
1-BWBWGPDXPS,820932,834066
1-BWBYPPYXPS,820588,833871
1-BWBYWPEXPS,821059,833731
1-BWDAPPKOPS,820671,833668
1-BWDAWPKJPS,821068,834064
1-BWDBPPARPS,820741,833726
1-BWDEWPPXPS,820906,834035
1-BWDGBPSXPS,820930,833774
1-BWDGPPAJPS,820627,833724
1-BWDGPPBYPS,820380,834106
1-BWDKGPBRPS,821171,833938
1-BWDKGPBYES,821265,834025
1-BWDKGPBYSS,821267,833951
1-BWDSPPBEPS,820686,834099
1-BWEAGPBEPS,820914,833946
1-BWEAPPYXPS,820633,833867
1-BWEBWPKEPS,820770,834068
1-BWEEBPEXPS,821074,833626
1-BWEGBPSXPS,820916,833772
1-BWEGPPAAPS,820666,833710
1-BWEGPPAJPS,820778,833583
1-BWEGPPAXPS,820795,833632
1-BWEKPPBRPS,820346,834067
1-BWEKPPKEPS,820666,833631
1-BWEPPPGYPS,821218,834002
1-BWESWPBSPS,821183,834023
1-BWEWBPYXPS,820959,833848
1-BWGAPPAAPS,820942,833722
1-BWGAPPASPS,820911,833723
1-BWGAWPKYPS,821106,834039
1-BWGBWPKHPS,820679,834069
1-BWGDGPSEPS,820847,833772
1-BWGEWPBXPS,821202,834031
1-BWGYGPDJPS,820935,834046
1-BWGYPPAYPS,820541,833721
1-BWKAPPBEPS,820455,834098
1-BWKBPPAHPS,820768,833725
1-BWKDPPAAPS,820583,833722
1-BWKEPPBRPS,820588,834104
1-BWKEPPKXPS,820307,834112
1-BWKKWPKYPS,821011,834065
1-BWKPPPBRPS,821055,834092
1-BWPAPPBSPS,820525,834098
1-BWPBBPAJPS,821178,833559
1-BWPBBPAXPS,821179,833569
1-BWPBWPKOPS,820814,834069
1-BWPBWPKRPS,820866,834036
1-BWPBWPKSES,820871,834067
1-BWPBWPKSSS,820883,834036
1-BWPBWPKVPS,820887,834067
1-BWPBWPKYPS,820830,834069
1-BWPGPPAXES,820738,833707
1-BWPGPPAXSS,820796,833704
1-BWPKGPBXPS,820781,833948
1-BWPKPPASPS,820874,833723
1-BWPKWPKXPS,821045,834062
1-BWPPBPSAPS,820896,833853
1-BWPPBPSXPS,820881,833857
1-BWPPPPBEPS,821085,834091
1-BWPPWPEJPS,821106,833714
1-BWPSBPSOPS,820881,833808
1-BWPWGPKXPS,820500,833659
1-BWPWPPYXPS,820741,833585
1-BWPYGPKXPS,820481,833660
1-BWPYPPKXES,820264,834179
1-BWPYPPKXSS,820366,834220
1-BWSBPPARPS,820798,833725
1-BWSBWPKHPS,820788,834069
1-BWSGPPAOPS,820787,833676
1-BWSSBPSYPS,820899,833774
1-BWWAGPBXPS,820836,833949
1-BWWBWPKXPS,820611,834071
1-BWWGBPBXPS,820988,833956
1-BWWGPPBYPS,820528,834116
1-BWWKGPBEPS,821185,833945
1-BWWKGPBXPS,821235,833936
1-BWWKWPKVPS,820906,834065
1-BWWSBPEXPS,821107,833626
1-BWWSGPAXPS,821316,833680
1-BWWWPPARPS,820491,833726
1-BWWYBPYAPS,820968,833771
1-BWWYBPYYPS,820950,833772
1-BWYAPPKEPS,820666,833655
1-BWYGPPAJPS,820604,833724
1-BWYKWPKRPS,820920,834066
1-BWYPWPBXPS,821180,834017
1-BWYSPPBRPS,820670,834096
1-BWYWGPSRPS,821129,833817
1-BYAKGPKJPS,832753,839998
1-BYBBWPGXPS,832741,839976
1-BYBDWPGXPS,832723,839992
1-BYBGWPGXPS,832733,839985
1-BYBKWPGXPS,832749,839969
1-BYBPWPGAPS,832818,839917
1-BYBPWPGRPS,832806,839917
1-BYBPWPGXPS,832825,839910
1-BYBSGPKSPS,832819,839928
1-BYBYWPGXPS,832714,840000
1-BYDBGPKRPS,832736,840015
1-BYEAGPKAPS,832768,839988
1-BYEEWPBXPS,832658,839902
1-BYEPWPBXPS,832679,839882
1-BYGEWPBXPS,832651,839905
1-BYGKGPKSPS,832750,840003
1-BYGPWPBXPS,832672,839885
1-BYKAWPBXPS,832643,839912
1-BYKBGPKXPS,832741,840010
1-BYPAWPBXPS,832648,839909
1-BYPBGPKAPS,832745,840006
1-BYPBWPGXPS,832744,839971
1-BYPBWPYXPS,832661,839975
1-BYPDWPGXPS,832728,839988
1-BYPEWPYXPS,832657,839971
1-BYPKPPWXPS,832674,839989
1-BYPKWPGXPS,832753,839964
1-BYPSGPKSPS,832833,839917
1-BYPSPPWXPS,832670,839983
1-BYPSWPBXPS,832671,839890
1-BYPYWPGXPS,832718,839997
1-BYPYWPYXPS,832664,839980
1-BYSGGPKJPS,832732,840020
1-BYWAGPKRPS,832758,839994
1-BYYEGPKSPS,832770,839983
1-BYYSWPBXPS,832661,839897
1-CJRRQRSXRD,821846,816397
1-CJVDURDXSD,822254,815880
1-CUCOQRVXRR,821136,807636
1-DBKPWDPEPA,838242,828576
1-DBPPWBPAPK,835912,826575
1-DBPPWDPAPK,835755,826388
1-DBPPWPPRPB,841173,830819
1-DBPPWSPXPB,838313,826852
1-DCCCQRQXRO,835346,834224
1-DCDCQROHRO,835001,834347
1-DCDFFRJXRO,835157,834354
1-DCDQURQXRO,835298,834277
1-DCDUFRQSRO,835118,834277
1-DCDUFRQVRO,835111,834283
1-DCFDFRJXRO,835118,834370
1-DCFFFRJXRO,835163,834355
1-DCFFURQXRO,835365,834270
1-DCFJQRORRO,835004,834319
1-DCFRFRQXRO,835097,834301
1-DCFSQRFXRO,835492,834203
1-DCFVQROHRO,835020,834290
1-DCJUFRQXRO,835128,834271
1-DCOCFRJXRO,835164,834349
1-DCODQROSRO,835020,834294
1-DCOSFRJXRO,835070,834396
1-DCQCQROJRO,834999,834337
1-DCQFQROSRO,835008,834323
1-DCQJFROJRO,835245,834132
1-DCQVFRVXRO,835257,834159
1-DCRDURQXRO,835340,834282
1-DCRFQRDXRO,835229,834192
1-DCRJQRVXRO,835027,834259
1-DCROFRQYRO,835098,834286
1-DCRRFRCXRD,836236,835301
1-DCRRURCXRO,834969,834411
1-DCRVQRDXRO,835202,834218
1-DCRVQRFERO,835448,834163
1-DCRVQRFJRO,835436,834150
1-DCRVQRFXRO,835471,834181
1-DCSDFRUXRO,835266,834289
1-DCSFFRJXRO,835154,834360
1-DCSFQROERO,835007,834331
1-DCSJFRJXRO,835129,834374
1-DCSJFRSXRO,835160,834291
1-DCSSURQXRO,835323,834284
1-DCUDQRDXRU,836842,833423
1-DCUFFRJXRO,835138,834369
1-DCUFFRSXRO,835159,834316
1-DCUJQROXRO,835008,834309
1-DCUJQRVXRO,835019,834256
1-DCUQFRUXRO,835253,834268
1-DCUQFRVXRO,835253,834148
1-DCUVFRJXRO,835087,834384
1-DCVDURDSRO,835198,834251
1-DCVRURFXRO,835121,834226
1-DCVUQRDXRO,835179,834225
1-DDRVFRDXRO,845938,826674
1-DDTLTHIAHM,825799,825412
1-DEPPWSPXPA,834926,834453
1-DEPPWSPXPE,834998,834816
1-DEPPWSPXPG,835044,834842
1-DESPWPPEPA,835323,834383
1-DFCVURUSRO,836358,826299
1-DFFUQROSRO,836547,826165
1-DFFVFRRXRO,836458,826406
1-DFJCQRFXRO,836367,826249
1-DFJVQRFVRO,836343,826212
1-DFJVQRFYRO,836325,826239
1-DFOQFRRXRO,836401,826384
1-DFQVQRFERO,836294,826284
1-DFRFFRRXRO,836470,826410
1-DFSCQRFSRO,836347,826290
1-DFURQROARO,836511,826350
1-DFUUQRCXRO,836485,826093
1-DJURUROYRQ,845712,819623
1-DMDHIHDXHZ,829944,825493
1-DMDLIHDJHX,831100,824560
1-DMDLIHLXHZ,829995,825559
1-DMDMIHMXHZ,830029,825495
1-DMDSIHXAHZ,829559,825889
1-DMDSIHXXHZ,829524,825902
1-DMDSTHHYHN,831985,825265
1-DMDXTHMXHZ,830034,825575
1-DMDZIHTXHZ,829984,825638
1-DMHDIHLXHZ,830026,825607
1-DMHDIHMXHZ,830028,825492
1-DMHDIHXYHZ,829514,825912
1-DMHHIHIXHZ,830021,825848
1-DMHITHMXHZ,830031,825569
1-DMHNIHTXHZ,829980,825632
1-DMHTIHDXHZ,829947,825486
1-DMHTZHHJHZ,829650,826162
1-DMHXIHTAHI,832279,825730
1-DMIDIHLXHZ,830024,825602
1-DMIDIHMXHZ,830027,825488
1-DMIDZHDXHZ,829947,825522
1-DMILZHLAHX,831132,824610
1-DMIMTHSXHZ,830241,825564
1-DMINIHTXHZ,829975,825628
1-DMISZHLXHD,828870,826354
1-DMITIHDXHZ,829955,825487
1-DMLHIHMXHZ,830032,825503
1-DMLIZHDXHZ,830034,825476
1-DMLLIHTXHZ,829957,825587
1-DMLMIHTXHZ,830007,825685
1-DMLSIHNXHZ,830051,825494
1-DMLSIHXJHZ,829639,825836
1-DMLTIHNXHZ,830079,825540
1-DMLTTHMJHI,832085,825034
1-DMLXTHSXHZ,830272,825548
1-DMMHIHMXHZ,830034,825507
1-DMMHZHDXHZ,829917,825536
1-DMMITHSYHZ,830334,825506
1-DMMIZHDXHZ,829973,825507
1-DMMLIHNXHX,831207,824491
1-DMMLIHTXHZ,829959,825592
1-DMMTTHIXHZ,829996,825642
1-DMMXZHHXHZ,829604,826184
1-DMMZTHMXHZ,830044,825591
1-DMNLIHMOHZ,829447,825882
1-DMNLIHMXHZ,829470,825930
1-DMNSIHTXHZ,829962,825599
1-DMNXIHMXHZ,830020,825475
1-DMNXZHDXHZ,829968,825510
1-DMSHZHMJHZ,830182,825758
1-DMSIIHTXHZ,829965,825604
1-DMSLTHDRHX,831770,825341
1-DMSLTHMXHZ,830018,825548
1-DMSNIHMXHZ,830022,825479
1-DMSNZHDXHZ,829963,825513
1-DMSNZHIJHZ,830117,825922
1-DMSXTHIXHZ,830112,825568
1-DMTHIHTXHZ,830016,825696
1-DMTIIHTXHZ,829969,825609
1-DMTITHSVHZ,830312,825522
1-DMTLTHMXHZ,830021,825554
1-DMTLZHSXHZ,829493,825991
1-DMTNIHMXHZ,830022,825483
1-DMTNZHDXHZ,829958,825516
1-DMTXIHNXHZ,830066,825520
1-DMTXTHIXHZ,830108,825572
1-DMXDTHDHHZ,830024,825804
1-DMXIZHSXHS,831610,823503
1-DMXLIHMRHZ,829432,825865
1-DMXLIHNXHZ,830047,825486
1-DMXTIHMXHZ,830031,825499
1-DMZLIHIJHZ,829918,825779
1-DMZMIHDXHZ,829957,825480
1-DMZNIHNXHZ,830064,825530
1-DMZNTHIXHZ,830105,825575
1-DMZNZHXXHZ,829895,825739
1-DMZSIHXXHZ,829572,825871
1-DMZSTHMXHZ,830024,825559
1-DMZXIHTXHZ,829974,825622
1-DMZZIHMXHZ,830025,825486
1-DMZZZHDXHZ,829952,825519
1-EAAABPYSPE,836331,820690
1-EAAEGPGYPA,837176,820848
1-EAAGGPYEPE,836357,820696
1-EAASWPKSPB,835939,820067
1-EAAWBPKYPA,836719,820767
1-EABABPBSPB,836084,819996
1-EABBBPSXPB,836041,819744
1-EABBWPEXPB,836117,819685
1-EABDGPEJPA,837012,820792
1-EABEGPKSPB,835947,820033
1-EABEPPYRPA,837442,820894
1-EABGPPEXPS,836301,820848
1-EABGWPPXPS,836328,820786
1-EABKBPAAPB,836085,820100
1-EABSPPPXPG,836966,818924
1-EADAGPGAPE,836100,820631
1-EADBBPDHPB,836077,819943
1-EADBGPGXPS,836296,820757
1-EADKBPWVPB,836083,819850
1-EADKPPEHPE,836255,820625
1-EADSGPSJPB,836047,819710
1-EADSPPPSPG,836972,818941
1-EADWGPWYPE,836382,820659
1-EADYGPEYPD,837154,819269
1-EAEAPPAJPB,836113,819672
1-EAEBBPYYPB,836063,819914
1-EAEBGPGSPA,837192,820848
1-EAEKWPYXPA,836449,820559
1-EAEPGPDXPS,836554,820816
1-EAEPPPGHPB,836063,820044
1-EAESWPWXPS,836470,820827
1-EAEWWPDVPB,836036,820054
1-EAEYGPWXPS,836395,820848
1-EAGBWPYSPB,836130,820001
1-EAGDGPYOPB,836082,819926
1-EAGGBPBOPB,836081,819999
1-EAGGGPGXPE,836096,820648
1-EAGGPPEJPA,837186,820782
1-EAGKWPDXPB,836044,820044
1-EAGPWPAXPS,836861,820888
1-EAGSBPWRPB,836072,819826
1-EAGSPPPXPG,836966,818924
1-EAGYPPYXPB,836025,820082
1-EAKBBPDXPK,836969,820150
1-EAKBGPWAPE,836390,820611
1-EAKBPPYOPB,836032,820063
1-EAKDPPKAPS,836140,820808
1-EAKEBPDOPK,836565,820168
1-EAKEGPDXPK,837049,820073
1-EAKEGPGHPB,836089,820057
1-EAKPBPBVPB,836087,819987
1-EAKSGPYVPB,836043,819909
1-EAKYGPBYPG,836945,818974
1-EAKYPPPXPS,836235,820815
1-EAPAGPKXPS,836608,820863
1-EAPBBPEJPB,836080,819783
1-EAPBBPYXPA,836446,820416
1-EAPBGPDRPB,836069,819966
1-EAPBPPKXPA,836649,820753
1-EAPBPPWEPB,836138,820012
1-EAPEBPYXPA,836445,820394
1-EAPEBPYXPB,836061,819899
1-EAPEGPKXSD,836922,819489
1-EAPEPPPRPG,837012,818964
1-EAPEWPPXPS,836300,820783
