k,Easting,Northing,Latitude(DDD.DDDD),Longitude(DDD.DDDD)
1-AADKGPWXPE,825592,825404,22.36777078,114.0732177
1-AAGSPPDXPE,826273,825643,22.36993317,114.0798283
1-ABBEGPWYPP,828814,824839,22.36268553,114.1045038
1-ABDSGPWYPP,828607,823406,22.34974384,114.1025009
1-AEABBPGYPG,830691,825477,22.36845413,114.1227253
1-AEABGPEXPK,830056,825548,22.36909312,114.1165595
1-AEADBPGXPK,830140,825598,22.36954494,114.1173749
1-AEADGPSXPK,830022,825705,22.37051079,114.1162288
1-AEAEWPGXPK,829935,825678,22.37026664,114.1153842
1-AEAGGPBXPB,831994,825300,22.36685946,114.135377
1-AEAGPPKAPK,830103,825753,22.37094454,114.1170151
1-AEAGPPPXPK,830357,825730,22.37073773,114.1194814
1-AEAKWPBXPG,831095,824480,22.35945194,114.1266511
1-AEAPPPYJPK,829994,825908,22.37234388,114.1159561
1-AEASGPPXPB,831945,825396,22.36772626,114.134901
1-AEASPPPJPK,830363,825714,22.37059327,114.1195397
1-AEAYBPWXPK,829941,825471,22.36839734,114.1154433
1-AEBBBPEXPK,830107,825634,22.36986992,114.1170544
1-AEBBBPWXPK,829922,825480,22.36847855,114.1152587
1-AEBDGPAXPK,829923,825504,22.36869529,114.1152684
1-AEBDWPGXPG,830746,825589,22.36946572,114.1232589
1-AEBGPPKYPK,830110,825756,22.37097166,114.117083
1-AEBKBPGXPK,830047,825653,22.37004129,114.1164717
1-AEBKPPAXPK,830176,825604,22.36959926,114.1177244
1-AEBKPPEJPD,832052,825056,22.36465615,114.1359408
1-AEBPBPASEG,831718,825368,22.36747282,114.1326971
1-AEBPBPASSG,831704,825372,22.36750891,114.1325611
1-AEBPPPYSPK,829598,825592,22.36948874,114.1121124
1-AEBPWPEEPG,831175,824447,22.35915417,114.1274279
1-AEBPWPWXPK,829960,825572,22.3693095,114.1156273
1-AEBPWPWYPD,832057,825112,22.36516187,114.1359892
1-AEBSBPAVPG,831709,825441,22.36813203,114.1326095
1-AEBSBPDJPK,830123,825883,22.37211858,114.1172088
1-AEDABPYAPK,830136,825846,22.3717845,114.1173351
1-AEDAGPAYPG,831104,824496,22.35959646,114.1267384
1-AEDAPPESPK,830116,825725,22.37069174,114.1171414
1-AEDDPPKYPK,830055,825818,22.37153136,114.1165488
1-AEDGGPBSPB,831989,825373,22.36751867,114.1353283
1-AEDGGPEXPK,830049,825537,22.36899375,114.1164916
1-AEDKGPAXPK,829910,825519,22.3688307,114.1151421
1-AEDPBPYSPK,829591,826030,22.37344409,114.1120426
1-AEDPPPDXPK,829987,825647,22.36998689,114.1158892
1-AEDSWPWSPD,832370,825320,22.36704096,114.1390277
1-AEDWBPEXPK,830076,825585,22.36942732,114.1167536
1-AEDWBPWXPK,829948,825472,22.3684064,114.1155112
1-AEDYGPGSPK,830299,825502,22.36867857,114.1189191
1-AEEABPYAPK,830445,825606,22.36961825,114.1203363
1-AEEAGPDRPG,830705,825517,22.36881539,114.122861
1-AEEAGPEXPK,830065,825564,22.36923764,114.1166469
1-AEEAWPSJPK,830210,825878,22.37207374,114.1180535
1-AEEAWPWJPD,832265,825698,22.37045426,114.1380072
1-AEEBBPGXPK,830114,825614,22.36968934,114.1171224
1-AEEBGPSXPK,830114,825876,22.37205534,114.1171214
1-AEEDGPDXPK,830031,825869,22.37199183,114.1163155
1-AEEDGPSXPK,830032,825714,22.3705921,114.1163259
1-AEEEBPAXPG,831772,825486,22.36853857,114.133221
