E0NE,3434916064T20050430,One Exchange Square
E0SE,3432516207T20050430,IFC Mall (Hong Kong Station)
E0SW,3446816065T20050430,General Post Office
E0NW,3444516024T20050430,Jardine House
S0NE,3434916064T20050430,One Exchange Square
S0SE,3432516207T20050430,IFC Mall (Hong Kong Station)
S0SW,3446816065T20050430,General Post Office
S0NW,3444516024T20050430,Jardine House
W0NE,3446816065T20050430,General Post Office
W0SE,3444516024T20050430,Jardine House
W0SW,3433916108T20050430,Two Exchange Square
W0NW,3432516207T20050430,IFC Mall (Hong Kong Station)
E1NE,3430115966T20050430,World-wide House
E1SE,,Connaught Rd Flyover
E1SW,,Connaught Rd Flyover
E1NW,3437915919T20050430,Chater House
S1NE,3429815844T20050430,Gloucester Tower
S1SE,3430115966T20050430,World-wide House
S1SW,3437915919T20050430,Chater House
S1NW,3436015848T20050430,Alexandra House
W1NE,,
W1SE,3437915919T20050430,Chater House
W1SW,,
W1NW,3430115966T20050430,World-wide House
E2NE,,
E2SE,3442015820T20050430,Prince's Building
E2SW,3445915874T20050430,Mandarin Oriental Hotel
E2NW,,Statue Square
S2NE,3442015710T20050430,Standard Chartered Bank Building
S2SE,3435115710T20050430,The Galleria
S2SW,,
S2NW,3442015820T20050430,Prince's Building
W2NE,3418516083T20050430,The Chinese Bank Building
W2SE,3421116068T20050430,Hip Shing Hong Centre
W2SW,3418516038T20050430,Tung Ming Building
W2NW,3416816060T20050430,Prosperous Building
E3NE,,Chater Garden
E3SE,,Chater Garden
E3SW,3468115836T20130111,CCB Tower
E3NW,3471615826T20050511,AIA Central
S3NE,3458315630T20050430,Cheung Kong Center
S3SE,3448415634T20050430,Former French Mission Building
S3SW,3447515691T20050430,HSBC Main Building
S3NW,3454715722T20050430,Bank of China Building
W3NE,3408616210T20050430,Dah Sing Life Building
W3SE,3413016183T20050430,Hang Seng Bank Headquarters
W3SW,3405416208T20050430,Central 88
W3NW,3403716230T20050430,Hung Tak Building
E4NE,,Open Area
E4SE,3468315577T20050430,Bank of China Tower
E4SW,,Chater Garden
E4NW,,Shatin-Central Link Construction Site
S4NE,3453715595T20050430,Cheung Kong Park
S4SE,3458315630T20050430,Cheung Kong Center
S4SW,3468315577T20050430,Bank of China Tower
S4NW,3457815511T20050430,Champion Tower
W4NE,3396016363T20050430,Nan Fung Tower
W4SE,,
W4SW,3389716308T20050430,Cheung's Building
W4NW,3391716388T20050430,Li Po Chun Chambers
E5NE,3488615525T20050430,The High Court
E5SE,,Hong Kong Park
E5SW,3486415616T20050430,Lippo Centre Tower 2
E5NW,3491115582T20050430,Lippo Centre Tower 1
S5NE,3439115454T20050430,Consulate General of the United States of America
S5SE,,
S5SW,3444815421T20050430,St. John's Building
S5NW,3437015410T20050430,The Helena May
W5NE,3373716417T20050430,Blissful Building
W5SE,3374316380T20160603,Continental Place
W5SW,3371816385T20050430,Tung Hip Commercial Building
W5NW,3372616430T20050430,Tung Ning Building
E6NE,3508215440T20050430,One Pacific Place
E6SE,,Open Area
E6SW,3507115501T20050430,United Centre
E6NW,,Harcourt Garden
W6NE,3356916504T20050430,Kai Tak Commercial Building
W6SE,3356816428T20050430,FWD Financial Centre
W6SW,3352416430T20050430,West Exchange Tower
W6NW,3353216474T20050430,Western Market
E7NE,,Flyover
E7SE,3517915413T20050430,JW Marriott Hotel
E7SW,,Flyover
E7NW,3529215500T20050430,Arsenal House (West Wing)
W7NE,,
W7SE,3341016523T20050430,Seaview Commercial Building
W7SW,3336316548T20050430,Connaught Harbourfront House
W7NW,,
N0NE,3582017442T20050430,26 Nathan Road
N0SE,3584117371T20050430,Sheraton Hong Kong Hotel & Towers
N0SW,3574217371T20050430,The Peninsula Hotel Office Tower
N0NW,3571817422T20050430,The Kowloon Hotel
E8NE,3545215413T20050430,OZO Wesley
E8SE,3542315414T20050430,Effectual Building
E8SW,3544515469T20190110,One Hennessy
E8NW,3549215457T20050430,Lockhart Exchange Building
W8NE,3323316583T20050430,No.9 Des Voeux Road West
W8SE,3321216511T20050430,Kingdom Power Commercial Building
W8SW,3318216518T20050430,Western Centre
W8NW,3318516544T20050430,Sing Kui Commercial Building
N1NE,3581017541T20050430,Holiday Inn Golden Mile Hong Kong
N1SE,3582617623T20050430,Mirador Mansion
N1SW,3575217537T20091005,I Square
N1NW,3574817596T20091005,I Square
E9NE,3568815384T20050430,Sun Hey Mansion
E9SE,3564415394T20050430,Shanghai Industrial Investment Building
E9SW,3565715434T20050430,Sze Bo Building
E9NW,3568715435T20050430,Hay Wah Building Block A
W9NE,3303616558T20050430,Chiu Chow Association Building
W9SE,3302716533T20050430,Yu Chu Lam Building
W9SW,3298216530T20161117,AVA128
W9NW,3298416570T20050430,Lucky Commercial Centre
N2NE,3580017785T20050430,Comfort Building
N2SE,3581117767T20050430,HSBC Building Tsim Sha Tsui
N2SW,3573317753T20050430,Kowloon Mosque and Islamic Centre
N2NW,3573817856T20050430,Park Lane Shopper's Boulevard
E10NE,3588715374T20050430,Southorn Garden
E10SE,3583415391T20050430,Southorn Centre
E10SW,3584215428T20050430,China Overseas Building
E10NW,3588115444T20050430,On Hong Commercial Building
W10NE,3284216568T20050430,Tak Tung House
W10SE,3282716540T20050430,Luen Tak Building
W10SW,3278416542T20050430,Wai Tak Building
W10NW,3279116569T20050430,Wing Fat Mansion
N3NE,3578517970T20050430,Miramar Shopping Centre
N3SE,3581017926T20060822,The Mira Hong Kong
N3SW,,
N3NW,3572917973T20050430,Park Lane Shopper's Boulevard
E11NE,3606915418T20050430,Jade House
E11SE,3603015391T20050430,Hang Seng Wanchai Building
E11SW,3602415449T20050430,Tung Wah Mansion
E11NW,3606415453T20050430,Kwong Tak Mansion
W11NE,3262316575T20050430,Tak May House
W11SE,3263716542T20050430,Tung Che Commercial Centre
W11SW,3260316549T20050430,Ching Tak Building
W11NW,3259716576T20050430,Wah Lap House
N4NE,3577318200T20050430,A. Kun Lock Building
N4SE,3577418180T20050430,Good Results Building
N4SW,3572418091T20050430,Park Lane Shopper's Boulevard
N4NW,3567718189T20050430,Tsim Sha Tsui Police Station
E12NE,3626515418T20050430,Emperor Group Centre
