E0NE,3434916064T20050430,One Exchange Square,8 CONNAUGHT PLACE,
E0SE,3432516207T20050430,IFC Mall (Hong Kong Station),8 FINANCE STREET,
E0SW,3446816065T20050430,General Post Office,2 CONNAUGHT PLACE,
E0NW,3444516024T20050430,Jardine House,1 CONNAUGHT PLACE,
S0NE,3434916064T20050430,One Exchange Square,8 CONNAUGHT PLACE,
S0SE,3432516207T20050430,IFC Mall (Hong Kong Station),8 FINANCE STREET,
S0SW,3446816065T20050430,General Post Office,2 CONNAUGHT PLACE,
S0NW,3444516024T20050430,Jardine House,1 CONNAUGHT PLACE,
W0NE,3446816065T20050430,General Post Office,2 CONNAUGHT PLACE,
W0SE,3444516024T20050430,Jardine House,1 CONNAUGHT PLACE,
W0SW,3433916108T20050430,Two Exchange Square,8 CONNAUGHT PLACE,
W0NW,3432516207T20050430,IFC Mall (Hong Kong Station),8 FINANCE STREET,
E1NE,3430115966T20050430,World-wide House,19 DES VOEUX ROAD CENTRAL,
E1SE,,Connaught Rd Flyover
E1SW,,Connaught Rd Flyover
E1NW,3437915919T20050430,Chater House,8 CONNAUGHT ROAD CENTRAL,
S1NE,3429815844T20050430,Gloucester Tower,15 QUEEN'S ROAD CENTRAL,
S1SE,3430115966T20050430,World-wide House,19 DES VOEUX ROAD CENTRAL,
S1SW,3437915919T20050430,Chater House,8 CONNAUGHT ROAD CENTRAL,
S1NW,3436015848T20050430,Alexandra House,18 CHATER ROAD,
W1NE,,
W1SE,3437915919T20050430,Chater House,8 CONNAUGHT ROAD CENTRAL,
W1SW,,
W1NW,3430115966T20050430,World-wide House,19 DES VOEUX ROAD CENTRAL,
E2NE,,
E2SE,3442015820T20050430,Prince's Building,10 CHATER ROAD,
E2SW,3445915874T20050430,Mandarin Oriental Hotel,5 CONNAUGHT ROAD CENTRAL,
E2NW,,Statue Square
S2NE,3442015710T20050430,Standard Chartered Bank Building,200 ABERDEEN MAIN ROAD,*
S2SE,3435115710T20050430,The Galleria,9 QUEEN'S ROAD CENTRAL,
S2SW,,
S2NW,3442015820T20050430,Prince's Building,10 CHATER ROAD,
W2NE,3418516083T20050430,The Chinese Bank Building,61-65 DES VOEUX ROAD CENTRAL,
W2SE,3421116068T20050430,Hip Shing Hong Centre,55 DES VOEUX ROAD CENTRAL,
W2SW,3418516038T20050430,Tung Ming Building,40-42 DES VOEUX ROAD CENTRAL,
W2NW,3416816060T20050430,Prosperous Building,48 DES VOEUX ROAD CENTRAL,
E3NE,,Chater Garden
E3SE,,Chater Garden
E3SW,3468115836T20130111,CCB Tower,3 CONNAUGHT ROAD CENTRAL,
E3NW,3471615826T20050511,AIA Central,1 CONNAUGHT ROAD CENTRAL,
S3NE,3458315630T20050430,Cheung Kong Center,2 QUEEN'S ROAD CENTRAL,*
S3SE,3448415634T20050430,Former French Mission Building,36 CAINE ROAD,*
S3SW,3447515691T20050430,HSBC Main Building,1 QUEEN'S ROAD CENTRAL,
S3NW,3454715722T20050430,Bank of China Building,2A DES VOEUX ROAD CENTRAL,
W3NE,3408616210T20050430,Dah Sing Life Building,99-103 DES VOEUX ROAD CENTRAL,
W3SE,3413016183T20050430,Hang Seng Bank Headquarters,83 DES VOEUX ROAD CENTRAL,
W3SW,3405416208T20050430,Central 88,88-98 DES VOEUX ROAD CENTRAL,
W3NW,3403716230T20050430,Hung Tak Building,106 DES VOEUX ROAD CENTRAL,
E4NE,,Open Area
E4SE,3468315577T20050430,Bank of China Tower,1 GARDEN ROAD,
E4SW,,Chater Garden
E4NW,,Shatin-Central Link Construction Site
S4NE,3453715595T20050430,Cheung Kong Park,2 QUEEN'S ROAD CENTRAL,
S4SE,3458315630T20050430,Cheung Kong Center,2 QUEEN'S ROAD CENTRAL,*
S4SW,3468315577T20050430,Bank of China Tower,1 GARDEN ROAD,
S4NW,3457815511T20050430,Champion Tower,3 GARDEN ROAD,
W4NE,3396016363T20050430,Nan Fung Tower,88 CONNAUGHT ROAD CENTRAL,
W4SE,,
W4SW,3389716308T20050430,Cheung's Building,1 WING LOK STREET,
W4NW,3391716388T20050430,Li Po Chun Chambers,189 DES VOEUX ROAD CENTRAL,
E5NE,3488615525T20050430,The High Court,38 QUEENSWAY,
E5SE,,Hong Kong Park
E5SW,3486415616T20050430,Lippo Centre Tower 2,89 QUEENSWAY,
E5NW,3491115582T20050430,Lippo Centre Tower 1,89 QUEENSWAY,
S5NE,3439115454T20050430,Consulate General of the United States of America,26 GARDEN ROAD,
S5SE,,
S5SW,3444815421T20050430,St. John's Building,33 GARDEN ROAD,
S5NW,3437015410T20050430,The Helena May,35 GARDEN ROAD,
W5NE,3373716417T20050430,Blissful Building,243 DES VOEUX ROAD CENTRAL,
W5SE,3374316380T20160603,Continental Place,290-292 KING'S ROAD,*
W5SW,3371816385T20050430,Tung Hip Commercial Building,244 DES VOEUX ROAD CENTRAL,
W5NW,3372616430T20050430,Tung Ning Building,2 HILLIER STREET,
E6NE,3508215440T20050430,One Pacific Place,88 QUEENSWAY,
E6SE,,Open Area
E6SW,3507115501T20050430,United Centre,95 QUEENSWAY,
E6NW,,Harcourt Garden
W6NE,3356916504T20050430,Kai Tak Commercial Building,159 CONNAUGHT ROAD CENTRAL,
W6SE,3356816428T20050430,FWD Financial Centre,308 DES VOEUX ROAD CENTRAL,
W6SW,3352416430T20050430,West Exchange Tower,322 DES VOEUX ROAD CENTRAL,
W6NW,3353216474T20050430,Western Market,323 DES VOEUX ROAD CENTRAL,
E7NE,,Flyover
E7SE,3517915413T20050430,JW Marriott Hotel,88 QUEENSWAY,
E7SW,,Flyover
E7NW,3529215500T20050430,Arsenal House (West Wing),1 ARSENAL STREET,*
W7NE,,
W7SE,3341016523T20050430,Seaview Commercial Building,21 CONNAUGHT ROAD WEST,
W7SW,3336316548T20050430,Connaught Harbourfront House,35-36 CONNAUGHT ROAD WEST,
W7NW,,
N0NE,3582017442T20050430,26 Nathan Road,554 NATHAN ROAD,*
N0SE,3584117371T20050430,Sheraton Hong Kong Hotel & Towers,20 NATHAN ROAD,
N0SW,3574217371T20050430,The Peninsula Hotel Office Tower,? SALISBURY ROAD,
N0NW,3571817422T20050430,The Kowloon Hotel,19-21 NATHAN ROAD,
E8NE,3545215413T20050430,OZO Wesley,22 HENNESSY ROAD,
E8SE,3542315414T20050430,Effectual Building,16 HENNESSY ROAD,
E8SW,3544515469T20190110,One Hennessy,298 HENNESSY ROAD,*
E8NW,3549215457T20050430,Lockhart Exchange Building,3 HENNESSY ROAD,
W8NE,3323316583T20050430,No.9 Des Voeux Road West,9 DES VOEUX ROAD WEST,
W8SE,3321216511T20050430,Kingdom Power Commercial Building,32-36 DES VOEUX ROAD WEST,
W8SW,3318216518T20050430,Western Centre,46 DES VOEUX ROAD WEST,
W8NW,3318516544T20050430,Sing Kui Commercial Building,27 DES VOEUX ROAD WEST,
N1NE,3581017541T20050430,Holiday Inn Golden Mile Hong Kong,50 NATHAN ROAD,
N1SE,3582617623T20050430,Mirador Mansion,58 NATHAN ROAD,
N1SW,3575217537T20091005,I Square,1 SQUARE STREET,*
N1NW,3574817596T20091005,I Square,1 SQUARE STREET,*
E9NE,3568815384T20050430,Sun Hey Mansion,68 HENNESSY ROAD,
E9SE,3564415394T20050430,Shanghai Industrial Investment Building,60 HENNESSY ROAD,
E9SW,3565715434T20050430,Sze Bo Building,59 HENNESSY ROAD,
E9NW,3568715435T20050430,Hay Wah Building Block A,71-85 HENNESSY ROAD,
W9NE,3303616558T20050430,Chiu Chow Association Building,81 DES VOEUX ROAD WEST,
W9SE,3302716533T20050430,Yu Chu Lam Building,63 KO SHING STREET,
W9SW,3298216530T20161117,AVA128,128 DES VOEUX ROAD WEST,*
W9NW,3298416570T20050430,Lucky Commercial Centre,103 DES VOEUX ROAD WEST,
N2NE,3580017785T20050430,Comfort Building,86 NATHAN ROAD,
N2SE,3581117767T20050430,HSBC Building Tsim Sha Tsui,82-84 NATHAN ROAD,
N2SW,3573317753T20050430,Kowloon Mosque and Islamic Centre,105 NATHAN ROAD,
N2NW,3573817856T20050430,Park Lane Shopper's Boulevard,111 NATHAN ROAD,
E10NE,3588715374T20050430,Southorn Garden,2 O'BRIEN ROAD,
E10SE,3583415391T20050430,Southorn Centre,130 HENNESSY ROAD,
E10SW,3584215428T20050430,China Overseas Building,139 HENNESSY ROAD,
E10NW,3588115444T20050430,On Hong Commercial Building,145 HENNESSY ROAD,
W10NE,3284216568T20050430,Tak Tung House,155 DES VOEUX ROAD WEST,
W10SE,3282716540T20050430,Luen Tak Building,180 DES VOEUX ROAD WEST,
W10SW,3278416542T20050430,Wai Tak Building,196 DES VOEUX ROAD WEST,
W10NW,3279116569T20050430,Wing Fat Mansion,179 DES VOEUX ROAD WEST,
N3NE,3578517970T20050430,Miramar Shopping Centre,132 NATHAN ROAD,
N3SE,3581017926T20060822,The Mira Hong Kong,118-130 NATHAN ROAD,
N3SW,,
N3NW,3572917973T20050430,Park Lane Shopper's Boulevard,143 NATHAN ROAD,
E11NE,3606915418T20050430,Jade House,11 FLEMING ROAD,
E11SE,3603015391T20050430,Hang Seng Wanchai Building,8 FLEMING ROAD,
E11SW,3602415449T20050430,Tung Wah Mansion,1M TUNG CHOI STREET,*
E11NW,3606415453T20050430,Kwong Tak Mansion,205-207 HENNESSY ROAD,
W11NE,3262316575T20050430,Tak May House,239 DES VOEUX ROAD WEST,
W11SE,3263716542T20050430,Tung Che Commercial Centre,246 DES VOEUX ROAD WEST,
W11SW,3260316549T20050430,Ching Tak Building,260 DES VOEUX ROAD WEST,
W11NW,3259716576T20050430,Wah Lap House,251 DES VOEUX ROAD WEST,
N4NE,3577318200T20050430,A. Kun Lock Building,178 NATHAN ROAD,
N4SE,3577418180T20050430,Good Results Building,176 NATHAN ROAD,
N4SW,3572418091T20050430,Park Lane Shopper's Boulevard,165 NATHAN ROAD,
N4NW,3567718189T20050430,Tsim Sha Tsui Police Station,18 TSUI WAN STREET,*
E12NE,3626515418T20050430,Emperor Group Centre,288 HENNESSY ROAD,
E12SE,3620715435T20050430,Caltex House,258 HENNESSY ROAD,
E12SW,3621815471T20050430,Easey Commercial Building,253 HENNESSY ROAD,
E12NW,3627815479T20050430,Kwong Wah Mansion,269 HENNESSY ROAD,
W12NE,3242116543T20050430,Tin Hing Building,6 CHIU KWONG STREET,
W12SE,3243716498T20050430,Siu Cheung Building,5 SIU CHEUNG FONG,
W12SW,3239216498T20050430,Liang Ga Building,296-302 DES VOEUX ROAD WEST,
W12NW,3237916537T20170223,Bohemian House,321 DES VOEUX ROAD WEST,*
N5NE,3576018429T20050430,238 Nathan Road,238 NATHAN ROAD,
N5SE,3576218372T20050430,Prudential Centre,216-228 NATHAN ROAD,
N5SW,3571218360T20050430,Shamrock Hotel,223 NATHAN ROAD,
N5NW,3570518390T20111115,Pearl Oriental Tower,225 NATHAN ROAD,*
E13NE,3647915504T20050430,Kuo Wah Building,340 HENNESSY ROAD,
E13SE,3641615485T20050430,W Square,314-324 HENNESSY ROAD,
E13SW,3642315523T20050430,Yick Wah Building,319 HENNESSY ROAD,
E13NW,3646715537T20050430,Luen Wo Building,337 HENNESSY ROAD,
W13NE,3225316505T20050430,Kwan Yick Building Phase II Block B,343 DES VOEUX ROAD WEST,
W13SE,3223316459T20050430,Chung Ah Building,352 DES VOEUX ROAD WEST,
W13SW,3220816451T20050430,Lucky Building,370 DES VOEUX ROAD WEST,
W13NW,3217516509T20150615,Upton,180 CONNAUGHT ROAD WEST,
N6NE,3573818584T20050430,CHI Residences 314,314-316 NATHAN ROAD,
N6SE,3574518563T20050430,May Ming Building,312 NATHAN ROAD,
N6SW,3569118567T20050430,Hong Kiu Mansion,311 NATHAN ROAD,
N6NW,3569018578T20050430,315 Nathan Road,315 NATHAN ROAD,
E14NE,3668115577T20050430,Yau Kwong Building,9 CANAL ROAD WEST,
E14SE,3662515555T20050430,Opulent Building,402-406 HENNESSY ROAD,
