Code,#,Quadrant,distance,Building CSUID,Building ID,English Building Name,Chinese Building Name,Centroid Longitude,Centroid Latitude,Floor Height,Floor Height Source,Roof Height,Roof Height Source,Building Height,Pre-fieldwork Notes,NOBUILDING,ISERROR,NONAME,ISOUTLIER,Number of storeys,Number of basements,Number of units,Year of Completion,Source,Address
E0NE,0,NE,200,3434916064T20050430,1103124226,One Exchange Square,交易廣場第一座,114.1583588,22.28344217,3.6,l,185.9,p,182.3,,FALSE,FALSE,FALSE,FALSE,50,0,100,1984,BMIS_auto,8 CONNAUGHT PLACE
E0SE,0,SE,200,3432516207T20050430,1103123008,IFC Mall (Hong Kong Station),國際金融中心商場（香港站）,114.1581677,22.28462355,3.8,p,34.4,p,30.6,public transport area,FALSE,TRUE,FALSE,TRUE,4,,,,Street View,8 FINANCE STREET
E0SW,0,SW,200,3446816065T20050430,1103124028,General Post Office,郵政總局,114.1595438,22.28356294,3.9,p,30.1,p,26.2,government building,FALSE,TRUE,FALSE,TRUE,3,,,,Street View,2 CONNAUGHT PLACE
E0NW,0,NW,200,3444516024T20050430,1103124531,Jardine House,怡和大廈,114.1591553,22.28300407,3.7,p,182,p,178.3,,FALSE,FALSE,FALSE,FALSE,48,1,108,1972,BMIS_auto,1 CONNAUGHT PLACE
E1NE,1,NE,400,3430115966T20050430,1103124903,World-wide House,環球大廈,114.1577892,22.28255406,3.7,p,109,3,105.3,,FALSE,FALSE,FALSE,FALSE,27,0,363,1980,BMIS_auto,19 DES VOEUX ROAD CENTRAL
E1SE,1,SE,400,,,Connaught Rd Flyover,,,,,,,,,no building ,TRUE,TRUE,FALSE,TRUE,0,,,,,
E1SW,1,SW,400,,,Connaught Rd Flyover,,,,,,,,,no building ,TRUE,TRUE,FALSE,TRUE,0,,,,,
E1NW,1,NW,400,3437915919T20050430,1103125246,Chater House,遮打大廈,114.1584381,22.28223046,3.7,p,127.5,p,123.8,,FALSE,FALSE,FALSE,FALSE,31,3,31,2002,BMIS_auto,8 CONNAUGHT ROAD CENTRAL
E2NE,2,NE,600,,, ,,,,,,,,,no building ,TRUE,TRUE,FALSE,TRUE,0,,,,,
E2SE,2,SE,600,3442015820T20050430,1103125983,Prince's Building,太子大廈,114.1591631,22.28122499,3.7,p,84.1,3,80.4,,FALSE,FALSE,FALSE,FALSE,26,1,229,1965,BMIS_auto,10 CHATER ROAD
E2SW,2,SW,600,3445915874T20050430,1103125448,Mandarin Oriental Hotel,文華東方酒店,114.1593912,22.28193604,3.7,p,83.4,p,79.7,,FALSE,FALSE,FALSE,FALSE,25,0,501,1963,https://photos.mandarinoriental.com/is/content/MandarinOriental/hong-kong-fact-sheet,5 CONNAUGHT ROAD CENTRAL
E2NW,2,NW,600,,,Statue Square,,,,,,,,,no building ,TRUE,TRUE,FALSE,TRUE,0,,,,,
E3NE,3,NE,800,,,Chater Garden,,,,,,,,,no building ,TRUE,TRUE,FALSE,TRUE,0,,,,,
E3SE,3,SE,800,,,Chater Garden,,,,,,,,,no building ,TRUE,TRUE,FALSE,TRUE,0,,,,,
E3SW,3,SW,800,3468115836T20130111,1810094197,CCB Tower,中國建設銀行大廈,114.1614723,22.28140311,44.2,b,137.2,b,93,,FALSE,FALSE,FALSE,FALSE,27,4,0,2012,BMIS_auto,3 CONNAUGHT ROAD CENTRAL
E3NW,3,NW,800,3471615826T20050511,1103126040,AIA Central,友邦金融中心,114.161831,22.28130955,4.7,p,173.6,p,168.9,,FALSE,FALSE,FALSE,FALSE,38,0,234,2005,BMIS_auto,1 CONNAUGHT ROAD CENTRAL
E4NE,4,NE,1000,,,Open Area,,,,,,,,,no building ,TRUE,TRUE,FALSE,#VALUE!,0,,,,,
E4SE,4,SE,1000,3468315577T20050430,1103127344,Bank of China Tower,中銀大廈,114.1615713,22.27927815,7,l,310.3,p,303.3,,FALSE,FALSE,FALSE,#VALUE!,72,0,65,1989,BMIS_auto+web,1 GARDEN ROAD
E4SW,4,SW,1000,,,Chater Garden,,,,,,,,,no building ,TRUE,TRUE,FALSE,#VALUE!,0,,,,,
E4NW,4,NW,1000,,,Shatin-Central Link Construction Site,,,,,,,,,no building ,TRUE,TRUE,FALSE,#VALUE!,0,,,,,
E5NE,5,NE,1200,3488615525T20050430,1103127939,The High Court,高等法院,114.1633293,22.27837692,14,p,106.4,p,92.4,government building,FALSE,TRUE,FALSE,TRUE,20,,,1985,Wikipedia,38 QUEENSWAY
