#,distance,rawMean,rawStDev,noErrMean,noErrSD,excludedMean,excludedSD,xRank,yRank,d^2
0,200,26.3,26.3,49,1.4,,,,,
1,400,14.5,16.8,29,2.8,29,2.8,1,25,576
2,600,12.8,14.7,25.5,0.7,25.5,0.7,2,17,225
3,800,16.3,19.3,32.5,7.8,32.5,7.8,3,28,625
4,1000,18,36,72,,,,,,
5,1200,27,21.3,44,2.8,42,,4,31,729
6,1400,20.3,23.8,40.5,7.8,35,,5,29.5,600.25
7,1600,17.5,20.2,35,,35,,6,29.5,552.25
8,1800,21.8,2.5,21.8,2.5,21.8,2.5,7,12,25
9,2000,20.8,5.5,20.8,5.5,20.8,5.5,8,11,9
10,2200,31.5,6.6,31.5,6.6,31.5,6.6,9,27,324
11,2400,20.3,7.1,20.3,7.1,20.3,7.1,10,9.5,0.25
12,2600,22.5,5.4,22.5,5.4,22.5,5.4,11,13.5,6.25
13,2800,15.8,5.2,15.8,5.2,15.8,5.2,12,1,121
14,3000,20.3,3.4,20.3,3.4,20.3,3.4,13,9.5,12.25
15,3200,18.8,4.3,18.8,4.3,18.8,4.3,14,6,64
16,3400,27.8,9.5,27.8,9.5,27.8,9.5,15,23,64
17,3600,18.5,4.5,18.5,4.5,18.5,4.5,16,5,121
18,3800,12.3,14.3,24.5,3.5,24.5,3.5,17,15,4
19,4000,3,6,,,,,,,
20,4200,12.8,24.2,49,,,,,,
21,4400,29.8,7.4,29.8,7.4,29.8,7.4,18,26,64
22,4600,20.8,10.9,25.7,5.7,25.7,5.7,19,18,1
23,4800,26.3,2.5,26.3,2.5,26.3,2.5,20,20,0
24,5000,25.8,12.2,25.8,12.2,25.8,12.2,21,19,4
25,5200,24.8,3.3,24.8,3.3,24.8,3.3,22,16,36
26,5400,18.3,3.6,18.3,3.6,18.3,3.6,23,4,361
27,5600,27.3,1.5,27.3,1.5,27.3,1.5,24,22,4
28,5800,19.5,3.3,19.5,3.3,19.5,3.3,25,7,324
29,6000,18,9.3,16.3,10.7,22.5,0.7,26,13.5,156.25
30,6200,13.5,15.6,27,0,27,0,27,21,36
31,6400,28.5,4.4,28.5,4.4,28.5,4.4,28,24,16
32,6600,19.8,9.9,19.8,9.9,19.8,9.9,29,8,441
33,6800,16,7.4,16,7.4,16,7.4,30,2.5,756.25
34,7000,11,8.5,16,9.9,16,9.9,31,2.5,812.25
