distance,kmb1,mtr1,hr
"1800",6.545299053192140,12.305659294128418,26.667
"1801",6.565583229064942,12.359321594238281,26.667
"1802",6.585258960723878,12.412937164306641,26.667
"1803",6.604321956634522,12.466503143310547,26.667
"1804",6.622769832611084,12.520014762878418,26.667
"1805",6.640601158142090,12.573466300964355,26.667
"1806",6.657812595367432,12.626854896545410,26.667
"1807",6.674401760101318,12.680178642272949,26.667
"1808",6.690367698669434,12.733426094055176,26.667
"1809",6.705707073211670,12.786599159240723,26.667
"1810",6.731108188629150,12.839695930480959,26.667
"1811",6.745125293731690,12.886461257934570,26.667
"1812",6.758511066436768,12.939316749572754,26.667
"1813",6.771262645721436,12.992075920104980,26.667
"1814",6.783380508422852,13.044742584228516,33.000
"1815",6.794862270355226,13.097309112548828,33.000
"1816",6.805707931518556,13.149773597717285,33.000
"1817",6.815916061401368,13.202128410339355,33.000
"1818",6.825487136840820,13.254370689392090,33.000
"1819",6.834418296813966,13.306503295898438,33.000
"1820",6.842710494995118,13.358511924743652,33.000
"1821",6.850364208221436,13.410399436950684,33.000
"1822",6.857377529144288,13.462160110473633,33.000
"1823",6.863751888275146,13.513789176940918,33.000
"1824",6.869486331939698,13.565287590026855,33.000
"1825",6.874582767486572,13.616645812988281,33.000
"1826",6.887925624847412,13.667863845825195,33.000
"1827",6.891661643981934,13.711280822753906,33.000
"1828",6.894758701324464,13.762135505676270,33.000
"1829",6.897217273712158,13.812840461730959,33.667
"1830",6.899039745330812,13.863386154174805,33.667
"1831",6.900225162506104,13.913774490356445,33.667
"1832",6.900777339935304,13.964000701904297,33.667
"1833",6.900694847106934,14.014059066772459,34.000
"1834",6.899981498718262,14.063949584960938,34.000
"1835",6.898637294769288,14.113665580749512,32.667
"1836",6.896663665771484,14.163206100463867,32.667
"1837",6.894064426422120,14.212561607360840,35.000
"1838",6.890840053558350,14.261735916137695,35.000
"1839",6.886992931365968,14.310724258422852,35.000
"1840",6.882524967193604,14.359522819519041,35.000
"1841",6.884359359741212,14.408123970031738,35.000
"1842",6.878561019897462,14.447563171386719,35.000
"1843",6.872148990631104,14.495705604553223,35.000
"1844",6.865126132965088,14.543643951416016,35.000
"1845",6.857494831085206,14.591378211975098,35.000
"1846",6.849259853363038,14.638897895812988,35.000
"1847",6.840422153472900,14.686208724975586,35.000
"1848",6.830986022949220,14.733300209045410,35.000
"1849",6.820955276489258,14.780171394348145,35.000
"1850",6.810333251953126,14.826824188232422,35.000
"1851",6.799124240875244,14.873250007629395,35.000
"1852",6.787331104278564,14.919445991516113,35.000
"1853",6.774958610534668,14.965412139892578,35.000
"1854",6.762010097503662,15.011142730712891,35.000
"1855",6.748491287231446,15.056633949279785,35.000
"1856",6.739157676696778,15.101884841918945,35.000
"1857",6.724398612976074,15.146895408630373,35.000
"1858",6.709081172943116,15.181352615356445,35.000
"1859",6.693312644958496,15.225806236267090,35.000
"1860",6.677190303802490,15.270004272460938,35.000
"1861",6.660716533660890,15.313953399658203,35.000
"1862",6.643891811370850,15.357642173767090,35.000
"1863",6.626719951629640,15.401069641113281,35.000
"1864",6.609203815460206,15.444232940673828,35.000
"1865",6.591344833374024,15.487131118774414,35.000
"1866",6.573147773742676,15.529762268066406,35.000
"1867",6.554616928100586,15.572119712829590,35.000
"1868",6.535878181457520,15.614204406738281,35.000
"1869",6.517005443572998,15.656013488769531,35.000
"1870",6.497996807098390,15.697540283203123,35.000
"1871",6.478853702545166,15.738787651062012,35.000
"1872",6.462285995483398,15.779749870300291,35.000
"1873",6.442795276641846,15.808887481689453,35.000
"1874",6.423173427581788,15.849216461181641,35.000
"1875",6.403419494628906,15.889253616333008,35.000
"1876",6.383606910705566,15.928996086120605,35.000
"1877",6.363860607147218,15.968442916870117,35.000
"1878",6.344179153442384,16.007591247558594,35.000
"1879",6.324562549591064,16.046434402465820,35.000
"1880",6.324562549591064,16.084976196289062,35.000
"1881",6.305010318756104,16.123210906982422,35.000
"1882",6.285437583923340,16.161138534545898,35.000
"1883",6.265785694122314,16.198753356933594,35.000
"1884",6.246051311492920,16.236055374145508,35.000
"1885",6.226231098175050,16.273040771484375,35.000
"1886",6.206324100494386,16.309709548950195,35.000
"1887",6.187987804412842,16.346059799194336,35.000
"1888",6.167917728424072,16.369361877441406,35.000
"1889",6.147754192352296,16.405012130737305,35.000
"1890",6.127494812011720,16.440340042114258,35.000
"1891",6.107136249542236,16.475332260131836,35.000
"1892",6.086680412292480,16.509998321533203,35.000
"1893",6.066122055053712,16.544332504272461,35.000
"1894",6.045463562011720,16.578330993652344,35.000
"1895",6.024701595306396,16.611991882324219,35.000
"1896",6.003837108612062,16.645317077636719,35.000
"1897",5.982868671417236,16.678297042846680,35.000
"1898",5.961795330047608,16.710939407348633,35.000
"1899",5.940619468688966,16.743236541748047,35.000
"1900",5.919337272644044,16.775184631347656,35.000
"1901",5.897950649261476,16.806783676147461,35.000
"1902",5.876460075378418,16.838035583496094,35.000
"1903",5.856105327606202,16.868936538696289,35.000
"1904",5.834417343139648,16.885580062866211,35.000
"1905",5.812625885009766,16.915721893310547,35.000
"1906",5.790732860565186,16.945508956909180,35.000
"1907",5.768737792968750,16.974939346313477,35.000
"1908",5.746642589569092,17.004005432128906,35.000
"1909",5.724451065063478,17.032712936401367,35.000
"1910",5.702163696289062,17.061056137084961,35.000
"1911",5.679781913757324,17.089031219482422,35.000
"1912",5.657307147979736,17.116641998291016,35.000
"1913",5.634740352630616,17.143882751464844,35.000
"1914",5.612085819244386,17.170757293701172,35.000
"1915",5.589344978332520,17.197259902954102,35.000
"1916",5.566519260406494,17.223386764526367,35.000
"1917",5.543611526489258,17.249139785766602,35.000
"1918",5.521530628204346,17.274517059326172,35.000
"1919",5.498476505279542,17.284543991088867,35.000
"1920",5.475347518920898,17.309122085571289,35.000
"1921",5.452147006988526,17.333320617675781,35.000
"1922",5.428879261016846,17.357135772705078,35.000
"1923",5.405547618865968,17.380573272705078,35.000
"1924",5.382155895233154,17.403625488281250,35.000
"1925",5.358706474304200,17.426290512084961,35.000
"1926",5.335205554962158,17.448570251464844,35.000
"1927",5.311656951904298,17.470464706420898,37.333
"1928",5.288065433502198,17.491968154907227,37.333
"1929",5.264435291290284,17.513082504272461,37.333
"1930",5.240772247314454,17.533803939819336,37.333
"1931",5.217079639434814,17.554130554199219,37.333
"1932",5.193364620208740,17.574068069458008,38.500
"1933",5.169631481170654,17.593610763549805,38.500
"1934",5.146309852600098,17.612758636474609,38.500
"1935",5.122543811798096,17.615486145019531,38.500
"1936",5.098776340484620,17.633802413940430,38.500
"1937",5.075013637542726,17.651716232299805,38.500
"1938",5.051260948181152,17.669233322143555,38.500
"1939",5.027525424957276,17.686349868774414,38.500
"1940",5.003814697265626,17.703065872192383,38.500
"1941",4.980134010314942,17.719379425048828,38.500
"1942",4.956491947174072,17.735290527343750,38.500
"1943",4.932893753051758,17.750795364379883,38.500
