Code,#,Quadrant,distance,Building CSUID,Building ID,English Building Name,Chinese Building Name,Centroid Longitude,Centroid Latitude,Floor Height,Floor Height Source,Roof Height,Roof Height Source,Building Height,Post-fieldwork notes,NOBUILDING,ISERROR,NONAME,ISOUTLIER,Number of storeys,Number of basements,Number of units,Year of Completion,Source,Address,Building Name (Old),Address (Old),Number of Storeys (Old),h/s ratio (temp)
W0NE,0,NE,200,3446816065T20050430,1103124028,General Post Office,郵政總局,114.1595438,22.28356294,3.9,p,30.1,p,26.2,,FALSE,TRUE,FALSE,TRUE,3,,,,Street View,2 CONNAUGHT PLACE,General Post Office ,to be confirmed,govt ,2.911111111
W0SE,0,SE,200,3444516024T20050430,1103124531,Jardine House,怡和大廈,114.1591553,22.28300407,3.7,p,182,p,178.3,,FALSE,FALSE,FALSE,FALSE,48,,,,Fieldwork,1 CONNAUGHT PLACE,Jardine House ,,48,1.238194444
W0SW,0,SW,200,3433916108T20050430,1103123897,Two Exchange Square,交易廣場第二座,114.15824,22.28389293,3.6,l,185.9,p,182.3,,FALSE,FALSE,FALSE,FALSE,50,,,,Fieldwork,8 CONNAUGHT PLACE,Two Exchange Square ,,50,1.215333333
W0NW,0,NW,200,3432516207T20050430,1103123008,IFC Mall (Hong Kong Station),國際金融中心商場（香港站）,114.1581677,22.28462355,3.8,p,34.4,p,30.6,,FALSE,TRUE,FALSE,TRUE,4,,,,Street View,8 FINANCE STREET,Chow Sang Sang (IFC),,0,2.55
W1NE,1,NE,400,,,,,,,,,,,,,TRUE,FALSE,FALSE,TRUE,0,,,,,,0,,road ,
W1SE,1,SE,400,3437915919T20050430,1103125246,Chater House,遮打大廈,114.1584381,22.28223046,3.7,p,127.5,p,123.8,,FALSE,FALSE,FALSE,FALSE,30,,,,Fieldwork,8 CONNAUGHT ROAD CENTRAL,Chater House ,,30,1.375555556
W1SW,1,SW,400,,,,,,,,,,,,,TRUE,FALSE,FALSE,TRUE,0,,,,,,0,,road ,
W1NW,1,NW,400,3430115966T20050430,1103124903,World-wide House,環球大廈,114.1577892,22.28255406,3.7,p,109,3,105.3,,FALSE,FALSE,FALSE,FALSE,30,,,,Fieldwork,19 DES VOEUX ROAD CENTRAL,World Wide House ,,30,1.17
W2NE,2,NE,600,3418516083T20050430,1103124097,The Chinese Bank Building,華人銀行大廈,114.1567764,22.28367579,3.6,p,75,p,71.4,"To be changed, waiting confirmation",FALSE,FALSE,FALSE,FALSE,29,,,,Fieldwork,61-65 DES VOEUX ROAD CENTRAL,Chinachem Tower ,,29,0.820689655
W2SE,2,SE,600,3421116068T20050430,1103124289,Hip Shing Hong Centre,協成行中心,114.1568775,22.28345818,3.6,p,123.6,3,120,,FALSE,FALSE,FALSE,FALSE,22,,,1995,Fieldwork+BMIS,55 DES VOEUX ROAD CENTRAL,Hip Shing Hong Centre ,,26,1.818181818
