街段–小合併組,街段–小合併組（英文名稱）,街段–小合併組（中文名稱）,總人口,家庭住戶數目,有人居住的屋宇單位數目
Small Street Block Group,Name of Small Street Block Group (in English),Name of Small Street Block Group (in Chinese),Total population,Domestic households,Occupied quarters
ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq
11101S,111/01-02 and 111/37-38,111/01-02 及 111/37-38,1766,418,433
11103,111/03,111/03,1539,670,670
11104,111/04,111/04,2269,818,810
11105,111/05,111/05,1210,428,428
11106,111/06,111/06,1032,414,424
11107,111/07,111/07,2189,721,742
11108,111/08,111/08,649,280,280
11109,111/09,111/09,879,383,391
11110,111/10,111/10,1041,399,409
11111,111/11,111/11,2102,868,868
11112,111/12,111/12,2888,1204,1185
11113S,111/13 and 111/15,111/13 及 111/15,1058,402,402
11114S,111/14 and 111/40-42,111/14 及 111/40-42,1637,660,671
11116S,111/16-17,111/16-17,8962,2544,2578
11118S,111/18-20,111/18-20,2910,1069,1069
11121,111/21,111/21,1660,729,740
11122,111/22,111/22,5175,2053,2042
11123,111/23,111/23,909,382,382
11124,111/24,111/24,1265,470,482
11125,111/25,111/25,1830,737,725
11126,111/26,111/26,8674,3205,3520
11127,111/27,111/27,805,302,322
11128,111/28,111/28,858,353,353
11129S,111/29-30,111/29-30,1092,393,393
11131S,111/31-32,111/31-32,713,313,313
11135S,111/35 and 111/43,111/35 及 111/43,1668,595,736
11139,111/39,111/39,2149,678,685
11144S,111/44 and 111/46-49,111/44 及 111/46-49,709,164,164
11145,111/45,111/45,537,165,165
11150,111/50,111/50,2097,615,615
11201S,"112/01, 112/48 and 112/54-56","112/01, 112/48 及 112/54-56",466,130,130
11202,112/02,112/02,934,350,326
11203,112/03,112/03,2564,997,997
11204S,112/04 and 112/10,112/04 及 112/10,622,240,240
11205,112/05,112/05,2824,970,994
11206,112/06,112/06,2740,1130,1142
11207,112/07,112/07,695,273,285
11208,112/08,112/08,3351,1235,1213
11209,112/09,112/09,6017,2425,2425
11211,112/11,112/11,432,209,209
11212,112/12,112/12,435,215,215
11213S,112/13-14,112/13-14,1123,328,390
11217S,112/17-19,112/17-19,1265,514,523
11220,112/20,112/20,466,155,155
11221S,112/21-22,112/21-22,1252,434,411
11223,112/23,112/23,1563,606,606
11224,112/24,112/24,2045,576,571
11225,112/25,112/25,484,196,196
11226S,112/26-27 and 112/30,112/26-27 及 112/30,1722,587,598
11228,112/28,112/28,1138,489,498
11229,112/29,112/29,820,365,365
11231,112/31,112/31,1204,458,438
11232,112/32,112/32,1617,580,583
11233,112/33,112/33,670,353,355
11234,112/34,112/34,767,262,303
11235,112/35,112/35,1204,506,506
11236,112/36,112/36,675,274,283
11237,112/37,112/37,1208,561,561
11238,112/38,112/38,969,343,356
11239,112/39,112/39,1216,575,575
11240,112/40,112/40,1019,432,432
11241,112/41,112/41,868,295,305
11242,112/42,112/42,603,175,175
11243,112/43,112/43,1524,520,531
11244,112/44,112/44,1735,691,691
11245,112/45,112/45,1324,526,535
11246,112/46,112/46,436,187,187
11252S,112/52-53,112/52-53,1160,413,413
11302,113/02,113/02,746,296,296
11303S,113/03-04 and 113/26,113/03-04 及 113/26,1969,740,790
11305,113/05,113/05,4050,1726,1721
11306,113/06,113/06,669,266,279
11307,113/07,113/07,632,361,361
11308S,"113/08, 113/14 and 113/17","113/08, 113/14 及 113/17",561,307,307
11309,113/09,113/09,1181,496,512
11310,113/10,113/10,598,280,280
11311,113/11,113/11,694,317,317
11312S,113/12-13,113/12-13,408,250,250
11315,113/15,113/15,977,373,398
11316,113/16,113/16,582,217,217
11318,113/18,113/18,1146,500,223
11319,113/19,113/19,1202,480,480
11320,113/20,113/20,1583,735,735
11321,113/21,113/21,1219,548,548
11322,113/22,113/22,810,440,447
11323,113/23,113/23,1371,528,551
11324,113/24,113/24,1236,493,500
11325,113/25,113/25,409,225,225
11328,113/28,113/28,1000,350,350
11403S,"114/03-10, 114/14-16, 114/20 and 114/32-34","114/03-10, 114/14-16, 114/20 及 114/32-34",1344,602,614
11417S,114/17-18,114/17-18,408,237,237
11419,114/19,114/19,592,238,248
11421,114/21,114/21,550,242,254
11422S,"114/22, 114/25-26 and 114/31","114/22, 114/25-26 及 114/31",785,442,442
11423S,114/23-24,114/23-24,1080,526,535
11427,114/27,114/27,1584,578,585
11428,114/28,114/28,1027,517,534
11429,114/29,114/29,498,231,231
11430,114/30,114/30,481,242,254
11501S,115/01-02,115/01-02,1188,463,463
11503S,115/03-04 and 115/06-07,115/03-04 及 115/06-07,738,336,348
11601S,116/01 and 116/07-08,116/01 及 116/07-08,1842,702,703
11602,116/02,116/02,1403,439,437
11603,116/03,116/03,6696,2338,2389
11604,116/04,116/04,1065,348,365
11605,116/05,116/05,1807,645,641
11606,116/06,116/06,1280,351,569
12102S,121/02-17 and 121/19-21,121/02-17 及 121/19-21,1158,471,495
12201S,122/01-03,122/01-03,879,375,384
12204S,122/04-06,122/04-06,1079,473,472
12207S,122/07-09,122/07-09,406,227,227
12210S,122/10-14 and 122/18-21,122/10-14 及 122/18-21,849,389,379
12215S,122/15-17,122/15-17,1041,467,475
12222S,122/22-23,122/22-23,880,437,437
12224S,122/24 and 123/01-23,122/24 及 123/01-23,695,310,302
12401S,"124/01, 124/05-06 and 124/08-16","124/01, 124/05-06 及 124/08-16",554,197,221
13101S,131/01-06,131/01-06,449,196,196
13107,131/07,131/07,889,395,395
13108,131/08,131/08,1054,486,486
13109,131/09,131/09,777,341,341
13110S,"131/10-11, 131/14 and 131/19-20","131/10-11, 131/14 及 131/19-20",1443,741,741
